rank	username	minecraft:dropped/minecraft:smooth_stone
1	thewindmillman	225383
2	noam464	10851
3	Hyp3rion_	8825
4	Ezekson	4462
5	Frozil12	3139
6	eitanzaki	3124
7	Spacewardharpy7	2974
8	Ze1ig	1720
9	Smoke____	1103
10	fred870d	842
11	Shogunite	832
12	rarrq	800
13	Skylord_Luke	777
14	Blaiku	668
15	oxfordschool	667
16	mwrty	576
17	EcksD	545
18	lillips	391
19	MilleGrug	366
20	lordpipe	339
21	NotKaden_	320
22	thescout7	287
23	EveryonesUncle	280
24	Freak_Genius	272
24	stahouo	272
26	_czarny	267
27	Kakolbus	262
28	kekhon	259
29	luckykill123	256
30	Ecplosive	220
31	Werbe	203
32	Fullut	196
33	EcksDofficial	193
34	emrekn	192
34	Sky_light_KING	192
36	set67	155
37	Njensen7	147
38	beeperbeeper5	141
39	heckface	132
39	mariominejedi	132
41	chipklip	130
42	Truckoss	129
43	Racengan	128
43	TheMiddayMoon	128
43	Steelynan	128
46	sadvavilloso	125
47	EMC_	124
47	Strangemonkey71	124
49	fanofbands101	122
49	Comma__	122
49	Kynigito	122
52	Eraxa	119
53	Sral7	118
54	VentiHilton	108
55	TechnoNinja64	106
56	ImpavidArcher	99
57	Blackberry1310	86
58	jnp_gaming	82
59	Fuad_R	81
60	seramalen	80
61	KingMatthew506	79
62	anbbang	77
63	Mahoose	75
63	HellsSponge	75
63	Blu3beast	75
66	YungMaki	74
67	Stiar	73
68	Nicserso	71
69	egglapras	70
70	TheSecondLord	69
71	Groundler	68
71	Hermanni__	68
73	ApophisNova	67
73	MyNamaSheff	67
75	Merv__	65
75	Myszoaz	65
77	Healthing	64
77	Lez_	64
77	Jimi7hits	64
77	GravitySaint	64
81	AltnumberF4	55
82	Toiton	54
83	fallingemma	52
83	FlashMigma	52
83	Airem_Core	52
86	MyNameIsJobo	48
87	Fildyr	46
88	WyngGoy	42
88	JayToe	42
90	Killercatty78	39
91	Sheldor097	38
92	Jackattack53	35
93	SteveCraftBlocks	34
94	zylanzagreat	33
95	Nagasaki_Riku	32
95	tsitrawhy	32
95	Miko_Fullbuster	32
98	Segotep999	31
99	titanlax	30
100	SaucyDark	29
101	BlueZabu	28
102	masskedman	27
103	Di_infiri	26
104	Cowison	25
105	Sleek_Storm_721	22
106	Xclax101	21
107	Inbefour	20
108	Minimize501	19
109	r123moore	18
110	Franco093	16
110	HolyVenom	16
112	_Karmaa	15
113	jcool7	14
114	Afinnity	12
114	UCP_TheKingK	12
116	Gundam_Steven	10
116	TheDankPlatypus	10
116	domagawha	10
119	I_Am_Mushkin	9
119	redikul	9
119	PigDab	9
119	xo_Marren_xo	9
119	IdeallyGrey	9
119	FallenCorps	9
125	burbankbuilder28	8
125	NameGenerat0r	8
125	PlasticOtari	8
128	joethahobo	7
128	ProfessorBee	7
130	PhantomsGhost_	6
130	hm947	6
130	Marbz_	6
130	Akoot_	6
130	Kowcio_	6
135	gaziter10	5
135	500am	5
135	Patwannabegamer	5
135	Arceus1975	5
135	AlexxO_o	5
135	AlphaWolfPlaysMC	5
135	iHuntWeeaboos	5
135	BumbleBeever	5
135	33sudo	5
135	Deguns123	5
145	awesomeoneme	4
145	Smashic	4
145	himak1	4
145	ROY4LE	4
145	XboxPanda	4
145	CollinMH06	4
145	Zythose	4
145	Rebytre	4
145	Soap_Bender	4
145	fluddd	4
155	Groovy_MoonBird	3
155	Tommhh	3
155	diamondgolem35	3
155	T045RTY	3
155	youhjjhhhjj	3
155	NinjaKnifeKill	3
155	ShedJr_	3
155	Stynxy	3
155	Xalithia	3
155	Paintz	3
155	Snowflowe	3
155	RobotMinion101	3
155	Moofyman	3
155	Zoniak1	3
155	_Hayt	3
155	Jiminie	3
155	560cool	3
155	sp00ky_ghost977	3
155	Kferno	3
155	cichy096	3
155	kinas45y5	3
176	soundad	2
176	DinoDoctor_	2
176	Incinere	2
176	RebelAndroid	2
176	dimitri0s	2
176	Shadoko_	2
176	m_be9	2
176	Inchef	2
176	Issachan	2
176	Bumpy419	2
176	Mattesco	2
176	TheShyPig	2
176	lizardfightclub	2
176	The_Quack_Dealer	2
176	NotMeowMix	2
176	ediballbearings	2
176	Fizznut909	2
176	GlitchyPlate810	2
176	Dogcorn69420	2
176	Soffbord	2
176	SirBreadward	2
176	Zoeyfortnite	2
176	calamariclam_I	2
176	561cool	2
200	_Virify_	1
200	KarlKaek	1
200	Begformurrcy	1
200	bigstankyy	1
200	BlancoFlaco	1
200	Sabby65	1
200	Wooptey	1
200	SyntheticSurgeon	1
200	CoffeeNoir	1
200	Da_Boss_Rani	1
200	Stright_	1
200	InfernalMound	1
200	SDMNAEK	1
200	Rich_Kat	1
200	Megarboh	1
200	corvidpartyfor6	1
200	shyshyannne	1
200	lordsaladito	1
200	Masssonnn	1
200	SellyZ	1
200	noyan121	1
200	fr_ser	1
200	CruncyIsTaken	1
200	Onennon	1
200	jewbacaman	1
200	KeruNatsema	1
200	RodSerlingCringe	1
200	Lord_Jord	1
200	fw3xywashere	1
200	Babushka0430	1
200	Darkgon	1
200	JESS_THE_RERE	1
200	Barlycorn	1
200	SkateboardR6	1
200	MovingFish7	1
200	Godspirit249	1
200	Bonzaidalek	1
200	ayamefag	1
200	starbits140	1
200	Soplight	1
200	SSytex_X	1
200	a_smol_bean	1
200	xX_Stalin69_Xx	1
200	Enderslayerxz3	1
200	Tristankill	1
