rank	username	minecraft:dropped/minecraft:soul_sand
1	Hyp3rion_	79015
2	Zythose	30540
3	Frozil20	26089
4	thewindmillman	23594
5	noam464	22128
6	Jackattack53	15519
7	Blaiku	8990
8	eitanzaki	5851
9	hanaryheatwave	3496
10	EcksD	2563
11	PigDab	2495
12	lillips	1740
13	Tyrannosplart	1371
14	Spacewardharpy7	1212
15	NomadicRobin_	1205
16	Di_infiri	1183
17	TechnoNinja64	1172
18	Xalithia	1041
19	Ryan_GEMS	1020
20	beeperbeeper5	876
21	AdmiralSmoke	851
22	sxc_	829
23	lizardfightclub	663
24	Racengan	630
25	mwrty	614
26	YungMaki	601
27	Fullut	569
28	Hisiste	515
29	gcaisawesome	473
30	PazinGaming	410
31	_Mythic____	395
32	Eraxa	384
33	Segotep999	362
34	RebelAndroid	361
35	sadvavilloso	340
36	Alteriity	323
37	joethahobo	293
37	Spenduh	293
39	Werbe	292
39	Kowcio_	292
41	TheSecondLord	261
41	Onennon	261
43	mihimihimihi	251
44	Winklepicker279	240
45	thescout7	222
46	RadarHz	212
47	rarrq	211
48	AstreaTSS	206
49	Vizzoid	204
50	Enderxz3	201
51	HolyVenom	197
52	Bumpy419	195
53	Iamthejo	188
54	Lez_	159
55	Manaateee	152
56	Blackberry1310	148
57	Kakolbus	146
58	Groundler	145
59	EMC_	143
60	Corbsman	142
61	set67	141
62	Megarboh	136
63	HellsSponge	135
64	ImDisconnected_	128
65	pixelviolin	127
66	zToasty69z	124
67	Huwulling	112
68	pintsizedrogue	110
69	diamondgolem35	106
70	Zaridey	105
70	AlexxO_o	105
72	Badenbeele	103
73	TheSeismicDuck	102
74	ConnorDanky_	101
75	ShedJr_	99
76	ECstardust	97
77	Blu3beast	95
78	Skippeh	94
79	fw3xy74	84
79	EveryonesUncle	84
81	DarkS0L	83
81	PlasticOtari	83
83	jnp_gaming	81
84	Lutres_	77
85	hm947	75
86	MrKrabOnCoke	74
87	monky_irl	73
88	I_Am_Mushkin	71
88	xxPipperDipperxx	71
88	Zoeyfortnite	71
91	Krowuss	69
92	CliffEmAll	68
92	AuroraSkies	68
92	lordpipe	68
95	HesDemonPants	67
96	FirsTimeGamingTV	66
96	M_Patata	66
96	Lord_Jord	66
96	GravitySaint	66
96	MasterNueve	66
96	OfficerAnvil	66
102	livingdaydreams	65
102	CalebDHawk	65
104	MattieHD	64
104	Z3braYTIL	64
104	TheTrueClipse	64
104	Vindogster	64
104	iSammael	64
104	Moetis	64
110	MilleGrug	63
111	Tiberonus	62
112	T045RTY	60
113	1_jR	59
114	Kura2218	58
114	djancak	58
116	Mahoose	56
117	Cocoamallows	55
118	500am	54
119	arcanemagic	52
120	Groovy_MoonBird	49
121	12Magner05	48
121	yheece	48
121	SaintJosie	48
124	Apollo_993	47
124	Guillemet	47
126	Cowison	45
127	k_ce	43
128	Hamsanders	41
128	Smashic	41
128	xzvu	41
131	w3nd3lbo3	40
131	surfinggiraffejp	40
133	SSytex_X	39
134	Wowful	37
134	xolstoi	37
136	Wooptey	36
136	FreakGenius	36
136	MightyWertu	36
136	Kubeusz2010	36
140	kekhon	34
141	Chromary	33
141	Luigipunch989	33
143	chipklip	32
143	Inchef	32
143	__tomato	32
143	Nicserso	32
147	SyntheticSurgeon	31
147	SammiWolfGirl	31
149	Swexti	30
150	himak1	29
151	_Virify_	28
151	Mobstr	28
153	TheEnderMan548	27
154	NieToksikpl	26
154	gustarlep	26
156	LeonelSalamanca	25
156	_i_ERROR_i_	25
156	diggydog67	25
159	Killercatty78	24
159	luseis	24
159	Nargotah	24
162	fluddd	23
162	Druid95	23
164	mattybeewrapss	22
164	Nicky_H225	22
164	PortlyPete69	22
167	lotarp	21
167	NameGenerat0r	21
167	MirielThePastor	21
167	trexgb	21
171	The11thDoctor	20
171	Russiancat1	20
173	trixterrx	19
173	Skylord_Luke	19
173	Ezekson	19
176	ROY4LE	18
177	UncreativeArtist	17
177	SellyZ	17
177	XboxPanda	17
177	mariominejedi	17
177	Rebytre	17
177	stavgod	17
177	Legendosh	17
184	Jindong	16
184	boog4loo	16
184	Quincannon	16
187	Snowflowe	15
187	impossibleteapot	15
187	Luminad3	15
187	MS_Pryxx	15
191	Historical_Sand	14
191	gaziter10	14
191	SkateboardR6	14
194	ITDV	13
194	shockdocta	13
194	F_Uhre	13
194	Ender_Souls	13
194	Xclax101	13
194	Juh1s	13
200	Ssor69	12
200	eviltunix	12
200	Heisenbberrg	12
203	ImpavidArcher	11
203	excelsionprime	11
203	Touched_Bread	11
203	whoaluv	11
203	Arceus1975	11
203	bluefragmentt	11
209	ZaneABrain	10
209	ccwildfire1	10
209	_Nuf	10
209	IamCL4SSY	10
209	Strangemonkey71	10
209	2blox_	10
215	m_be9	9
215	fade_emerge78823	9
215	_Magdo_	9
215	Fuad_R	9
215	Quaintster	9
215	WyngGoy	9
215	33sudo	9
215	fffMike	9
215	00000000-0000-0000-0009-01ff0c3e5e4f	9
224	NatalieTW	8
224	ExtraDumb	8
224	Myszoaz	8
224	Da_Boss_Rani	8
224	bloodbiter	8
224	r123moore	8
224	FishyBoy3811	8
224	IdeallyGrey	8
224	brofrickcheaters	8
224	NATE_the_HALO	8
224	Sheldor097	8
224	alderban107	8
224	TheOuterCore	8
237	Moofyman	7
237	ougstur	7
237	MustaLoordi	7
237	tartanboy	7
241	bigstankyy	6
241	BlancoFlaco	6
241	NinjaKnifeKill	6
241	theonlymagikarp	6
241	_Karmaa	6
241	El_Jalapeno	6
241	ProfessorDiaper	6
241	ayamefag	6
241	Hermanni__	6
241	Aryamanee	6
251	Bandito_Roamer	5
251	ProbablyNick	5
251	elmer1234	5
251	Cryptacity	5
251	ThePoliteG	5
251	Secret_Canary	5
251	AngalexikCZ	5
251	LeauVox4921	5
251	TheDankPlatypus	5
251	GoofyBread	5
251	bloomkieren	5
262	Iagoku	4
262	fr0stss	4
262	Comma__	4
262	MinttyFressh	4
262	__TheNorseMan__	4
262	prizm_	4
262	shadowthemonkey	4
262	Marbz_	4
262	RyuNeko932000	4
262	Eczbox	4
262	HAIRYCLOUD626	4
262	jewbacaman	4
262	Deathkob	4
262	Soplight	4
262	obzii	4
262	Eczbek	4
278	AuroraValkyrie	3
278	gren_ben	3
278	Hpdinosaur	3
278	Incinere	3
278	ivorico	3
278	Kkanot	3
278	Awyrlas	3
278	Rumpletaezer	3
278	Donutt	3
278	Kouridragon	3
278	KeruNatsema	3
278	masskedman	3
278	The_slideV3	3
278	wwwwinnebagoooo	3
278	MakeHistory157	3
278	Dogcorn69420	3
278	_KuruKuru	3
278	Weepingbiel	3
278	vandmanden	3
297	Elprone266	2
297	JohnnyFyes	2
297	SmashingPump	2
297	shineh10	2
