rank	username	minecraft:dropped/minecraft:spectral_arrow
1	Hyp3rion_	72397
2	thewindmillman	33933
3	noam464	15228
4	Blaiku	9422
5	Jackattack53	7187
6	eitanzaki	4099
7	PigDab	1253
8	gcaisawesome	1139
9	EcksD	840
10	mihimihimihi	799
11	lillips	606
12	Segotep999	525
13	YungMaki	495
14	_Mythic____	435
15	beeperbeeper5	429
16	itburb	409
17	Huwulling	392
18	lordpipe	354
19	Kowcio_	353
20	excelsionprime	326
21	Spenduh	310
22	RebelAndroid	277
23	hanaryheatwave	255
24	rezi	245
25	Lez_	238
26	_Huge_Male_	231
27	Racengan	224
28	ECstardust	211
29	CLG_Kata	208
30	groofles	203
31	PazinGaming	202
32	Da_Boss_Rani	195
33	Spacewardharpy7	194
34	CliffEmAll	189
35	Jimb0nat0r	170
36	NATE_the_HALO	169
37	Winklepicker279	158
38	Fuad_R	140
39	set67	136
40	MightyWertu	128
40	CattSoup	128
42	Soplight	124
43	AlexxO_o	120
44	Touched_Bread	104
45	LeEricc	101
46	AdmiralSmoke	99
47	UCP_TheKingK	98
48	SvenskaHugo	92
49	luseis	85
50	oscminus	84
51	Eraxa	82
52	Hahaa_0	64
53	hbaoo	63
54	Mattesco	62
55	TheSecondLord	61
56	SoosAmongus	60
57	trixterrx	53
58	Werbe	52
59	Ezekson	47
60	Enderxz3	46
61	Alteriity	44
62	MineMaster0012	42
63	ConnorDanky_	38
64	Akoot_	37
65	Kakolbus	34
66	Mahoose	33
66	LeGold	33
68	k_ce	30
68	Deu_Stew	30
68	Manaateee	30
71	Inchef	29
72	12Magner05	28
73	00000000-0000-0000-0009-01ff0c3e5e4f	25
74	joethahobo	22
75	SpacesickPrism	21
76	Frozil20	19
76	diamondgolem35	19
76	shadowthemonkey	19
76	Luigipunch989	19
80	kekhon	18
81	Smashic	16
82	Jonafrog99	15
82	GooseWithin	15
84	_Razaria	13
84	SteveCraftBlocks	13
84	Fullut	13
87	T045RTY	12
88	500am	11
89	Mr_Byzantine	10
89	Cellcorgi649	10
89	CuzIm2Kev	10
92	jessewegottacook	9
93	FreakGenius	8
93	Nicserso	8
95	lotarp	7
95	Secret_Canary	7
95	__TheNorseMan__	7
95	Chromary	7
95	SolicitedPuma101	7
100	Kubeusz2010	6
101	teslawolf38	5
101	Blackberry1310	5
103	pintsizedrogue	4
103	EnderKill98	4
103	xxPipperDipperxx	4
103	Di_infiri	4
103	CaptainDeadBread	4
108	Badenbeele	3
108	gren_ben	3
108	ImpavidArcher	3
108	MrKrabOnCoke	3
108	BobDeBouwer1337	3
108	_Dean_123	3
108	mwrty	3
108	mimbo1211	3
108	Krowuss	3
108	fw3xy74	3
108	Lunkuku	3
119	H0UNDFRMH3LL	2
119	lunathelemon	2
119	Z3braYTIL	2
119	NomadicRobin_	2
119	Sorry_Arey	2
119	weabis	2
119	kalzor	2
119	GravitySaint	2
119	Meeerkat	2
119	djancak	2
119	lcvezra	2
119	SammiWolfGirl	2
119	obzii	2
119	TechnoNinja64	2
133	Napoleonpancake	1
133	Merv__	1
133	Sleek_Storm_721	1
133	lorywithay	1
133	MC_Gamer_Geek	1
133	MinttyFressh	1
133	4774	1
133	Awyrlas	1
133	NotKaden_	1
133	Paintz	1
133	thatbeanyboi	1
133	SuperPooch06	1
133	Snowflowe	1
133	Zythose	1
133	Skylord_Luke	1
133	F_Uhre	1
133	Samificator	1
133	NameGenerat0r	1
133	AstreaTSS	1
133	CheifJumbo	1
133	pixelviolin	1
133	DracZSenpai	1
133	xzvu	1
133	Hermanni__	1
133	SirBreadward	1
133	OfficerAnvil	1
133	Iamthejo	1
133	HesDemonPants	1
133	PlasticOtari	1
133	Biites	1
