rank	username	minecraft:dropped/minecraft:spruce_sign
1	obzii	292
2	beeperbeeper5	234
3	eitanzaki	110
4	Chromary	90
5	Eraxa	85
6	set67	68
7	kekhon	67
8	Jackattack53	63
9	noam464	62
10	lordpipe	60
11	TechnoNinja64	59
12	HellsSponge	57
13	Mahoose	56
14	chipklip	44
15	joethahobo	38
15	Xclax101	38
17	Blackberry1310	35
18	loveseeker	34
18	WET_WET_WET	34
20	Spacewardharpy7	33
21	ROY4LE	32
22	Segotep999	31
23	SteveCraftBlocks	29
24	KarlKaek	28
25	rarrq	25
25	m_be9	25
25	KingMatthew506	25
28	EcksDofficial	23
29	BlancoFlaco	22
29	Mattesco	22
31	Blu3beast	21
31	Frozil12	21
33	Skylord_Luke	20
33	oxfordschool	20
35	surfinggiraffejp	19
35	Soap_Bender	19
35	Toriankel	19
35	PlasticOtari	19
35	Zoeyfortnite	19
40	Hyp3rion_	18
40	Sky_light_KING	18
40	lillips	18
43	Di_infiri	17
43	Werbe	17
45	Tommhh	16
45	bigstankyy	16
45	CyrusIsTired	16
45	Maenara	16
45	Freak_Genius	16
45	Skippeh	16
51	Warlord324	15
51	stahouo	15
51	anbbang	15
54	Groovy_MoonBird	14
54	TheSecondLord	14
56	thescout7	13
56	Diavri	13
56	TheShyPig	13
56	Dusk_95	13
56	Smoke____	13
61	Historical_Sand	12
61	Comma__	12
61	xxPipperDipperxx	12
61	Arceus1975	12
61	MyNameIsDakar	12
61	Ze_BaronKrigler	12
67	The_Quack_Dealer	11
67	Nicserso	11
67	Enderslayerxz3	11
70	JohnnyFyes	10
70	jacxhadow	10
70	PigDab	10
70	kinas45y5	10
74	ImpavidArcher	9
74	hm947	9
74	Malorn_Aetherius	9
74	gabriels543	9
74	audiocracked	9
74	_Karmaa	9
74	PortlyPete69	9
74	HesDemonPants	9
82	500am	8
82	Fullut	8
82	Smashic	8
82	Awyrlas	8
82	NomadicRobin_	8
82	EveryonesUncle	8
82	IAmTheWalrus910	8
82	YungMaki	8
82	AltnumberF4	8
82	MeetTheWollo	8
92	Jovaphobic	7
92	Inchef	7
92	The11thDoctor	7
92	DarlaMeow	7
92	SvenskaHugo	7
92	VentiHilton	7
98	diamondgolem35	6
98	selectrix	6
98	Akoot_	6
98	Blaiku	6
98	Teebone15	6
103	H72l9w	5
103	Patwannabegamer	5
103	RodSerlingCringe	5
103	_Bguette_	5
103	Quaintster	5
103	Racengan	5
103	UCP_TheKingK	5
103	CalebDHawk	5
103	EcksD	5
112	pintsizedrogue	4
112	q_wq	4
112	Incinere	4
112	fr0stss	4
112	Swexti	4
112	Da_Boss_Rani	4
112	Ssor69	4
112	Cryptacity	4
112	Uzbeki_John	4
112	fallingemma	4
112	Rebytre	4
112	xo_Marren_xo	4
112	thgrocks	4
112	Deathkob	4
112	KG1999	4
112	Spenduh	4
112	Winston_Ingram	4
112	Miko_Fullbuster	4
130	Paint	3
130	TheMilkerOfCats	3
130	SaucyDark	3
130	Wooptey	3
130	ProfessorBee	3
130	_Dean_123	3
130	CarbonatedCola	3
130	Nach0Bear	3
130	Covalents	3
130	Touched_Bread	3
130	UncleDanDan	3
130	FennYuzuna	3
130	Marbz_	3
130	burbankbuilder28	3
130	Onennon	3
130	FishyBoy3811	3
130	LexMakesHistory	3
130	JESS_THE_RERE	3
130	Fuad_R	3
130	GlitchMixed	3
130	SkateboardR6	3
130	OG_Songsee	3
130	pixelviolin	3
130	__tomato	3
130	Luigipunch989	3
130	Detrov	3
130	Njensen7	3
130	Steelynan	3
130	SirBreadward	3
130	2blox	3
160	soundad	2
160	ItsColin11	2
160	TildaAndrea	2
160	Zippyzam	2
160	Natty	2
160	awesomeoneme	2
160	ShedJr_	2
160	gaziter10	2
160	Ozixar	2
160	MinttyFressh	2
160	slkiey	2
160	mwrty	2
160	egglapras	2
160	Xalithia	2
160	zemey	2
160	Paintz	2
160	BlueZabu	2
160	Winklepicker279	2
160	Zythose	2
160	Bumpy419	2
160	ApophisNova	2
160	Afinnity	2
160	groofles	2
160	wobn	2
160	MinuteMira	2
160	Shogunite	2
160	StinkyDiplomat	2
160	Templar_David	2
160	Bloo2406	2
160	fluddd	2
160	wwwwinnebagoooo	2
160	NebulousBadger	2
160	layabout100	2
160	2c19c699-1659-42a9-8736-134c5a6d6d2a	2
160	Kowcio_	2
160	MineMaster0012	2
160	Soplight	2
160	brofrickcheaters	2
160	SSytex_X	2
160	CoryJJ	2
160	PlzNoBM	2
160	Sheldor097	2
160	fffMike	2
160	jcool7	2
160	Hermanni__	2
160	MyNamaSheff	2
206	TheBiggestFeller	1
206	_Virify_	1
206	_NieToksikpl_	1
206	RoskobiOne	1
206	jspwn	1
206	Merv__	1
206	RebelAndroid	1
206	Jahara	1
206	buss081	1
206	MOSS000	1
206	tsohomie	1
206	Unitas_isa	1
206	ChampPog_	1
206	SDMNAEK	1
206	YungJakobo	1
206	Nicky_H225	1
206	Guillemet	1
206	Enigma0251	1
206	redikul	1
206	Kkanot	1
206	Cambo5000	1
206	LotusProject	1
206	theonlymagikarp	1
206	r123moore	1
206	Dyosy	1
206	XboxPanda	1
206	Kakolbus	1
206	Karetoko	1
206	Crasswolf	1
206	0nly_sn1per	1
206	mariominejedi	1
206	Windo_licker	1
206	AssaultZone	1
206	fr_ser	1
206	XLIFluid	1
206	kensingtonhope	1
206	yaboo88	1
206	DaKaveMan	1
206	_Boipl_	1
206	pappaberg	1
206	Judah_Ra	1
206	HAIRYCLOUD626	1
206	Truckoss	1
206	fred870d	1
206	wrinkledpiglet	1
206	SvenskaAlvar	1
206	theofiel	1
206	Lord_Jord	1
206	Joestra	1
206	ChampBoii	1
206	yulgur1	1
206	ese_wn_po	1
206	NameGenerat0r	1
206	QueenShuvi	1
206	Cyntrical	1
206	RedcatVII	1
206	NotMeowMix	1
206	sp00ky_ghost977	1
206	stavgod	1
206	carbo_bro	1
206	sadvavilloso	1
206	SammiWolfGirl	1
206	Poppy235	1
206	_3Stump_	1
206	Xi_J1nping	1
206	_KuruKuru	1
206	Ezekson	1
206	BreadBacon	1
206	Legendosh	1
206	jnp_gaming	1
206	x86assembly	1
206	vandmanden	1
206	YoshikageBites	1
206	WYFYoyo	1
206	trexgb	1
206	00000000-0000-0000-0009-01f73aa9620f	1
