rank	username	minecraft:dropped/minecraft:stone
1	PigDab	823991
2	Blaiku	650570
3	Spacewardharpy7	430073
4	gcaisawesome	418603
5	thewindmillman	308532
6	noam464	178397
7	Ezekson	173623
8	EcksD	148751
9	YungMaki	120542
10	Werbe	116836
11	Hisiste	104510
12	lordpipe	94857
13	joethahobo	93345
14	Frozil20	91266
15	eitanzaki	88219
16	12Magner05	72899
17	Jackattack53	62149
18	Hyp3rion_	61262
19	Iamthejo	55851
20	Di_infiri	54468
21	EMC_	53048
22	TheSecondLord	46685
23	kekhon	38557
24	Chromary	37708
25	beeperbeeper5	33014
26	RealGroot	29860
27	Swexti	27474
28	Skippeh	26891
29	Blu3beast	25026
30	Mahoose	24047
31	Steelynan	22545
32	FelixPSY375	21129
33	diamondgolem35	19839
34	PhantomsGhost_	19568
35	TechnoNinja64	18907
36	livingdaydreams	17830
37	Winklepicker279	16823
38	FreakGenius	16503
39	ProfessorBee	16322
40	Fullut	16154
41	thescout7	15860
42	TheShyPig	15626
43	MilleGrug	15245
44	Smoke____	15113
45	Blackberry1310	15104
46	jnp_gaming	14819
47	Kakolbus	14810
48	Fuad_R	14380
49	Snowflowe	13242
50	Kura2218	13045
51	RebelAndroid	13028
52	lillips	12634
53	Mattesco	12321
54	Franco093	12315
55	set67	11495
56	xzvu	11315
57	ImpavidArcher	11304
58	Groundler	11215
59	xolstoi	10803
60	Hermanni__	9657
61	500am	9390
62	NomadicRobin_	9330
63	Racengan	9169
64	Eraxa	8834
65	r123moore	8420
66	Inchef	8288
67	EveryonesUncle	8287
68	Solar_Power	8228
69	Akoot_	8125
70	Zoeyfortnite	7788
71	vandmanden	7645
72	Eczbek	7480
73	MangoTheFish	7405
74	HellsSponge	7339
75	RoofTyler	7307
76	claivin	7217
77	SammiWolfGirl	7195
78	Lez_	7167
79	PortlyPete69	7112
80	weabis	6992
81	Kowcio_	6963
82	jcool7	6749
83	fluddd	6694
84	Skylord_Luke	6462
85	NameGenerat0r	5898
86	SpaceGrenadier	5879
87	Onennon	5848
88	fkGrim	5635
89	CalebDHawk	5449
90	Cocoamallows	5274
91	mihimihimihi	5253
92	fr_ser	5200
93	hcb238	5158
94	Esme_1	5092
95	Mythic1130	5090
96	Smashic	4670
97	ShedJr_	4567
98	UCP_TheKingK	4464
99	_Dean_123	4447
100	Zythose	4434
101	T045RTY	4330
102	Rasmanden	4280
103	Cowison	4248
104	Arceus1975	4175
105	Lord_Jord	4079
106	Enderxz3	4048
107	CoffeeNoir	4003
108	IamCL4SSY	3891
109	xxPipperDipperxx	3874
110	abramgray	3852
111	mwrty	3828
112	WET_WET_WET	3803
113	_Virify_	3789
114	Maenara	3771
115	FishyBoy3811	3749
116	Quaintster	3697
117	MightyWertu	3681
118	laron58	3622
119	ConnorDanky_	3518
120	PlzNoBM	3517
121	BobDeBouwer1337	3488
122	The_slideV3	3474
123	DTwenty	3438
124	rarrq	3340
125	KarlKaek	3339
126	hm947	3294
127	Rumpletaezer	3271
128	M_Patata	3249
129	I_Am_Mushkin	3206
130	6king6colt6	3159
131	Tyrannosplart	3098
132	Hoid_the_Roamer	3087
133	The_Quack_Dealer	3064
134	Soplight	2989
135	pintsizedrogue	2952
136	XboxPanda	2946
137	Scathra	2940
138	SmashingPump	2930
139	OverallConcept	2929
140	SellyZ	2908
141	Historical_Sand	2817
142	FishisTTV	2747
143	binman420	2657
144	_Nuf	2647
145	drunkeeez	2637
146	SeverianTheLame	2598
147	fw3xywashere	2588
148	Marbz_	2583
149	Majonezzon	2543
150	El_Jalapeno	2519
151	Elastiq	2510
152	Kubeusz2010	2440
153	Deathkob	2310
154	SSytex_X	2299
155	Incinere	2290
156	luseis	2282
157	asspharte	2267
158	pixelviolin	2265
159	pappaberg	2218
160	Njensen7	2216
161	CadenSteele	2206
162	DaviusMaximoose	2205
163	KingMatthew506	2187
164	2Stout	2146
165	Bumpy419	2145
166	groofles	2137
167	MattieHD	2118
168	Afinnity	2075
169	Mewar	2058
170	SaucyDark	2035
171	SvenskaHugo	2029
172	TheThomas69	2028
173	Inbefour	1940
174	ThiccExotic	1939
175	Xclax101	1909
176	GoofySilly	1873
177	Rebytre	1869
178	ClemenPine	1864
179	ReSynced	1838
180	BodaciousCake	1820
181	boog4loo	1805
182	Kyrum2169	1795
183	NatalieTW	1774
184	peach0s	1731
185	anbbang	1690
186	F_Uhre	1662
187	SuperPooch06	1623
188	emrekn	1611
189	WyngGoy	1558
190	titanlax	1555
191	FirsTimeGamingTV	1525
192	ZA07	1494
193	peachfuzz1267	1492
194	Ze1ig	1488
195	gusstationwerker	1481
195	Powowowow	1481
197	SlothInASuit	1464
198	Hiryu27	1461
199	ApophisNova	1446
199	MyNamaSheff	1446
201	bloodbiter	1420
202	gaziter10	1417
203	Kferno	1383
204	Natty	1370
205	Ssor69	1359
206	LeGold	1351
207	Krasnal1337	1344
208	Erased_Identity	1331
209	malgosia14	1330
210	Mobstr	1280
211	Eraza	1241
212	ProbablyNick	1212
213	MOSS000	1171
214	PlasticOtari	1168
215	MasterNueve	1158
216	SquadMonster	1157
217	fffMike	1135
218	MakeHistory157	1125
219	BronkerBrum	1123
220	Vorlice	1121
221	Soap_Bender	1118
222	Nicserso	1082
223	_Yonk_	1073
224	Vizzoid	1062
225	jushykins	1057
226	aao001	1030
227	TheEnderMan548	1021
228	bieeee	1017
229	Yahir091	1012
230	bladeefan2009	1010
231	LeauVox4921	1007
231	__tomato	1007
233	monky_irl	998
234	BumbleBeever	966
235	bigstankyy	962
236	ssleepless	934
237	IdeallyGrey	922
238	TooManyDuck	920
239	BlancoFlaco	912
240	Leyna3	909
241	Wooptey	890
242	Sleek_Storm_721	877
243	Merv__	873
243	mattybeewrapss	873
245	m_be9	872
246	obzii	866
247	ITDV	854
248	burbankbuilder28	839
249	Flores991	825
250	CrateOfBoxes	818
251	verynothing	814
252	Sqwishy	796
253	DarlaMeow	788
254	h2p_emrld	778
255	H72l9w	774
256	_Tilariel_	771
257	Smiguli_	768
258	EtherealEspresso	761
259	Dusk_95	760
260	Jimi7hits	759
261	Voxin2K	738
262	ExtraDumb	736
263	Uzbeki_John	732
264	Iagoku	723
265	SteveCraftBlocks	710
266	Z3braYTIL	704
266	Azmodan_246	704
268	NotKaden_	683
269	mariominejedi	675
270	Fuhrer_Teemo	667
271	Corbsman	663
272	_Karmaa	660
273	OffWithTheirHead	655
274	EfficientC52	652
274	Sheldor097	652
276	Healthing	637
277	Sral7	631
278	Jiminbub	630
279	AltnumberF4	625
280	IforgotCS_Source	620
281	tuckerdoodle	617
282	Groovy_MoonBird	615
283	Hpdinosaur	611
284	epiksk8erduck	610
285	RobotMinion101	609
286	sxc_	603
287	dudcreeper	584
288	prizm_	583
289	TheOuterCore	570
290	JohnnyFyes	569
290	diggydog67	569
292	brofrickcheaters	563
293	33sudo	560
294	layabout100	550
295	TheWildMateo	549
296	FazeObama69	533
297	Quotary	527
298	heckface	524
299	Katthaj	517
300	Wowful	515
