rank	username	minecraft:dropped/minecraft:stone_brick_slab
1	mihimihimihi	4031
2	Frozil20	3757
3	PigDab	1337
4	Soplight	1333
5	EcksD	1308
6	Warlord324	1271
7	mwrty	1162
8	Masssonnn	1124
9	set67	1015
10	TechnoNinja64	976
11	Blu3beast	795
12	FreakGenius	729
13	eitanzaki	722
14	beeperbeeper5	719
15	noam464	667
16	lillips	647
17	Badenbeele	577
18	diamondgolem35	544
19	Werbe	537
20	Hisiste	531
21	Steelynan	528
22	HellsSponge	509
23	ApophisNova	490
23	MyNamaSheff	490
25	DarlaMeow	466
26	obzii	447
27	kekhon	424
28	Groundler	402
29	_Virify_	401
30	YungMaki	399
31	Akoot_	385
32	Jackattack53	371
33	PazinGaming	342
34	AdmiralSmoke	324
35	Spenduh	320
36	lordpipe	301
37	Skylord_Luke	291
38	cog	280
39	Ssor69	274
40	Ryan_GEMS	272
41	Ezekson	268
42	k_ce	266
43	Xalithia	265
44	12Magner05	250
45	VentiHilton	245
46	Fullut	232
47	alderban107	219
48	Mahoose	201
49	Kowcio_	196
50	_Dean_123	192
50	WET_WET_WET	192
52	Ninzyyy	178
53	EveryonesUncle	167
54	livingdaydreams	158
55	rarrq	153
56	jushykins	146
57	IamCL4SSY	144
58	PhantomsGhost_	141
59	BlueZabu	140
60	Zetsey	135
61	Cowison	130
62	XboxPanda	129
63	Uzbeki_John	128
64	Blackberry1310	127
65	Di_infiri	124
65	Zythose	124
65	luseis	124
68	thescout7	118
69	benediktine1	117
70	Kakolbus	106
71	thewindmillman	99
72	r123moore	96
73	Comma__	92
74	Archsam	91
75	Quaintster	85
76	Kyrum2169	84
77	Andy__Dufresne	80
77	Blaiku	80
77	CalebDHawk	80
80	Lez_	77
81	Onennon	66
82	Merv__	65
82	_i_ERROR_i_	65
84	q_wq	64
84	felincaus	64
84	xolstoi	64
87	MovingFish7	63
87	MrTentacles2169	63
89	Legendosh	61
90	Megarboh	60
90	the_russell1611	60
92	burbankbuilder28	58
93	Xclax101	55
94	sxc_	54
94	Shogunite	54
96	Eraza	52
97	Arceus1975	50
97	CrateOfBoxes	50
99	Jokerman369	48
99	Chromary	48
101	Tolhart	45
101	ConnorDanky_	45
103	TheSecondLord	44
103	Segotep999	44
103	Zoeyfortnite	44
106	ExtraDumb	43
106	Shin69	43
106	ReyTheLegend	43
109	ImpavidArcher	37
110	weabis	36
111	MattieHD	35
112	fkGrim	34
112	skrongus	34
114	Luminad3	33
115	TheShyPig	32
115	Spacewardharpy7	32
115	Druid95	32
115	Eraxa	32
115	__tomato	32
120	pixelviolin	31
121	SellyZ	29
121	whoaluv	29
123	500am	28
124	fluddd	27
125	cichy096	26
126	Matek_	25
127	jacxhadow	24
127	Cocoamallows	24
129	_Huge_Male_	23
129	Inchef	23
129	0Vyp_	23
129	Nekomin0	23
129	jcool7	23
134	pappaberg	22
134	YungWali	22
136	Maenara	21
136	SvenskaHugo	21
138	Historical_Sand	20
138	RobotMinion101	20
138	Leyna3	20
138	El_Jalapeno	20
138	djancak	20
138	laron58	20
144	DermeinUser	19
145	NieToksikpl	18
145	boog4loo	18
145	audiocracked	18
148	TheDankPlatypus	17
148	M_Patata	17
148	SkateboardR6	17
148	MasterNueve	17
152	Hyp3rion_	16
152	Rebytre	16
152	wobn	16
152	QuacksonThe3rd	16
152	Racengan	16
152	stavgod	16
158	prizm_	15
158	Bumpy419	15
158	TheWildMateo	15
161	selectrix	14
161	Dakar_	14
161	_Karmaa	14
161	Leithz6	14
161	Luigipunch989	14
161	UrbanPlanningEx	14
167	Nicserso	13
167	Jimb0nat0r	13
169	xxPipperDipperxx	12
169	Voxin2K	12
169	Fuad_R	12
169	iSammael	12
173	TildaAndrea	11
173	SaucyDark	11
173	Chickenchaser2	11
173	m_be9	11
173	_Nuf	11
173	The11thDoctor	11
179	Mr_Byzantine	10
179	H72l9w	10
179	FirsTimeGamingTV	10
179	SteveCraftBlocks	10
179	LAVA129	10
179	ooga47	10
179	lcvezra	10
179	TheGameArchitect	10
187	joethahobo	9
187	ProfessorBee	9
187	paranoid_plant	9
187	HolyVenom	9
187	Tyrannosplart	9
187	07shiny	9
187	Enderxz3	9
187	MirielThePastor	9
187	Sral7	9
196	SaltineDream	8
196	Jovaphobic	8
196	Rich_Kat	8
196	Touched_Bread	8
196	avalan64	8
196	Soap_Bender	8
202	EMC_	7
202	lunathelemon	7
202	Kynigito	7
205	ItsHydroMC	6
205	fade_emerge78823	6
205	fr_ser	6
205	SvenskaSara	6
205	Hiryu27	6
205	groofles	6
205	AlphaWolfPlaysMC	6
205	Syropatathe	6
205	The_slideV3	6
214	Krasnal1337	5
214	Incinere	5
214	T045RTY	5
214	SquadMonster	5
214	bloodbiter	5
214	Boboczus	5
214	Mewar	5
214	eiC_	5
214	Ecplosive	5
214	MyNameIsJobo	5
214	HeraclesOGU	5
214	silverpopcorn	5
214	Jij0	5
214	anbbang	5
214	Biites	5
229	pintsizedrogue	4
229	seanitoo	4
229	soundad	4
229	Natty	4
229	Kkanot	4
229	ROY4LE	4
229	NotKaden_	4
229	purpolepickle	4
229	FishyBoy3811	4
229	Fakiuss	4
229	gustarlep	4
229	sp00ky_ghost977	4
229	UCP_TheKingK	4
229	xzvu	4
229	FishisTTV	4
244	Sabby65	3
244	Wooptey	3
244	youhjjhhhjj	3
244	corvidpartyfor6	3
244	4774	3
244	Nach0Bear	3
244	Tiktola01	3
244	SlinkyPinky	3
244	Optiprimus	3
244	IdeallyGrey	3
244	tsitrawhy	3
244	SSytex_X	3
256	Groovy_MoonBird	2
256	Alteriity	2
256	redikul	2
256	Kamflame10	2
256	UncreativeArtist	2
256	Covalents	2
256	CollinMH06	2
256	yaboo88	2
256	epiksk8erduck	2
256	Inbefour	2
256	censorsheep	2
256	RedcatVII	2
256	wwwwinnebagoooo	2
256	SammiWolfGirl	2
256	PortlyPete69	2
256	UltraZombie	2
256	Sheldor097	2
256	Soffbord	2
256	striker90333	2
256	trexgb	2
256	JayToe	2
277	SmashingPump	1
277	KarlKaek	1
277	Ryker	1
277	ZaneABrain	1
277	MrKrabOnCoke	1
277	Dblikstad	1
277	Whiterooster001	1
277	TinMaster	1
277	shdesolt	1
277	BreadFruggis	1
277	Smashic	1
277	RIPB0ZO	1
277	drunkeeez	1
277	FennYuzuna	1
277	thatbeanyboi	1
277	legal_tax_evader	1
277	King_Pancake1	1
277	killmeiamtraitor	1
277	kars0n	1
277	k1ngGilgamesh	1
277	F_Uhre	1
277	Mattesco	1
277	MousePlays	1
277	DC_XII	1
