rank	username	minecraft:dropped/minecraft:stone_bricks
1	thewindmillman	90106
2	Ezekson	10407
3	Spacewardharpy7	8759
4	PigDab	7276
5	beeperbeeper5	3393
6	EcksD	3220
7	XboxPanda	3165
8	Incinere	2663
9	diamondgolem35	2560
10	12Magner05	2497
11	Chromary	2389
12	kekhon	2351
13	Werbe	2283
14	Skylord_Luke	2171
15	Frozil20	1973
16	Blu3beast	1856
17	Smoke____	1821
18	YungMaki	1703
19	eitanzaki	1685
20	EveryonesUncle	1654
21	lordpipe	1475
22	Akoot_	1441
23	_Virify_	1362
24	Zoeyfortnite	1301
25	obzii	1285
26	HellsSponge	1239
27	Segotep999	1182
28	RobotMinion101	1100
29	TheSecondLord	1097
30	rarrq	1064
31	Kowcio_	1057
32	EcksDofficial	991
33	h2p_emrld	963
34	Xclax101	962
35	oxfordschool	865
36	Freak_Genius	832
37	fffMike	828
38	noam464	808
39	ApophisNova	797
39	MyNamaSheff	797
41	__tomato	756
42	Masssonnn	746
43	Blaiku	703
44	MrKrabOnCoke	699
45	NotKaden_	680
46	Shogunite	647
47	Groundler	609
48	bbrothers_5	599
49	MightyWertu	592
50	SammiWolfGirl	538
51	thescout7	532
52	wTXop	529
53	Racengan	526
54	Soap_Bender	521
55	_Cloverbelle_	515
56	Di_infiri	512
56	drumine	512
58	gcaisawesome	511
59	_Karmaa	506
60	Jackattack53	493
61	Blackberry1310	486
62	Skippeh	479
63	burbankbuilder28	478
64	EMC_	474
65	Fullut	468
66	Euclidoris	412
67	joethahobo	399
68	PhantomsGhost_	371
68	Arceus1975	371
70	chipklip	367
71	fw3xywashere	361
72	Xalithia	354
73	Nach0Bear	346
74	M_Patata	322
74	MasterNueve	322
76	YungJakobo	320
76	DarkDescent2392	320
78	Kferno	319
79	ShedJr_	303
80	loveseeker	301
80	groofles	301
82	CrateOfBoxes	296
82	HolyVenom	296
84	kars0n	286
85	_Dean_123	279
85	lcvezra	279
87	Spenduh	278
88	set67	274
89	Rumpletaezer	270
90	SquadMonster	269
91	NameGenerat0r	268
92	Mahoose	264
93	__Auspicious	249
94	TechnoNinja64	245
95	r123moore	240
96	Maenara	236
96	Kubeusz2010	236
98	Rebytre	233
99	Bandito_Roamer	232
100	impossibleteapot	225
101	SuperPooch06	219
101	Quaintster	219
103	Dedalus36	218
103	Smashic	218
105	DontHaveKick	209
106	Rich_Kat	207
107	Cowison	201
107	mwrty	201
109	JEWISHBadenBeele	199
110	Russiancat1	194
111	123louis456	192
112	Warlord324	183
113	awesomeoneme	178
114	anbbang	175
115	Sral7	174
116	Zetsey	170
117	binman420	169
117	UCP_TheKingK	169
119	Eraxa	166
120	Sleek_Storm_721	165
120	iSammael	165
122	AnnieBathory	160
122	dendydoom	160
124	mihimihimihi	159
124	stavgod	159
124	MeetTheWollo	159
127	error10101	153
127	Malorn_Aetherius	153
127	Toiton	153
130	FirsTimeGamingTV	152
130	07shiny	152
132	egglapras	151
133	The_Quack_Dealer	146
134	WyngGoy	145
135	laron58	141
136	jnp_gaming	138
137	AlphaWolfPlaysMC	135
138	Miko_Fullbuster	134
139	fr0stss	132
139	LAVA129	132
141	Nekomin0	129
141	Yahrto	129
143	lewieinnit	128
143	jimintyy	128
143	_Nuf	128
143	LotusProject	128
143	Uzbeki_John	128
143	surfinggiraffejp	128
143	Stiar	128
143	stuy9	128
143	RasseThePanda	128
143	Hisiste	128
153	kinas45y5	127
154	Onennon	126
154	lillips	126
156	Lez_	125
156	2blox	125
158	ayqq	123
159	Menthas	121
160	NomadicRobin_	114
161	Bumpy419	113
162	Ecplosive	112
163	Inchef	109
164	PeteO1995	103
165	squigglybones	102
165	PortlyPete69	102
167	MovingFish7	99
168	benediktine1	97
169	jedi_george	96
169	RedcatVII	96
171	prizm_	95
172	censorsheep	91
172	Cocoamallows	91
174	sxc_	90
175	The_slideV3	89
175	jcool7	89
177	Soplight	88
178	Legendosh	85
179	BoraMC	82
179	Zaridey	82
181	ProfessorBee	81
181	eviltunix	81
181	ProbsNotNova	81
184	_Bguette_	80
185	Nargotah	79
185	blackmage426	79
187	MattieHD	78
188	DinoDoctor_	77
189	AltnumberF4	76
190	DermeinUser	74
190	fr_ser	74
192	TheDankPlatypus	73
192	SkateboardR6	73
194	pintsizedrogue	72
194	TooManyDuck	72
194	Paleshield	72
197	Swexti	70
197	jacxhadow	70
199	SlayerCrypto	69
200	fallingemma	67
200	cwartzo	67
202	Tommhh	66
202	redikul	66
204	masskedman	65
204	CSG_Haru	65
204	CalebDHawk	65
207	AuroraValkyrie	64
207	Alteriity	64
207	Ao_Ken	64
207	ConcretePirate	64
207	DebbieBrunswick	64
207	dartwaffle	64
207	Dan_Scha	64
207	madderfall	64
207	CookTheChef3	64
207	GlitchyPlate810	64
207	Hermanni__	64
207	TheOnlyRake	64
219	Ardennes	63
220	Wooptey	61
220	NieToksikpl	61
220	trexgb	61
223	the__Reaper4999	60
224	Megarboh	59
224	UrbanPlanner1978	59
226	ChrisKyleST3	56
227	500am	55
227	PlzNoBM	55
229	livingdaydreams	54
229	Vellu21	54
231	dudcreeper	53
231	KlausVonStiglitz	53
233	heysushii	51
233	H72l9w	51
233	ROY4LE	51
233	Fuhrer_Teemo	51
237	ZaneABrain	49
237	TheShyPig	49
237	Nicserso	49
240	6king6colt6	48
240	Auseawesome	48
240	MinttyFressh	48
243	Da_Boss_Rani	46
244	I_Am_Mushkin	45
244	Comma__	45
244	cog	45
244	Nagasaki_Riku	45
244	SvenskaHugo	45
249	itburb	43
249	SSytex_X	43
251	Vizzoid	41
251	Zythose	41
251	ToastedGamingYT	41
251	KliBeast21	41
251	PlasticOtari	41
256	Minimize501	40
256	Leyna3	40
256	Dusk_95	40
259	DarlaMeow	39
260	whoaluv	38
260	the_russell1611	38
260	Wanjibon	38
263	Sleepy_Time_	36
264	Swalt	34
264	Kkanot	34
266	Ssor69	33
267	fkGrim	32
268	T045RTY	30
268	Hyp3rion_	30
268	Luminad3	30
271	Wowful	29
271	Fildyr	29
273	DTwenty	28
273	DarkLawD	28
275	gilesmcriles	27
276	BlueZabu	26
276	stahouo	26
278	SyntheticSurgeon	25
279	Mimiir345	24
279	BobDeBouwer1337	24
279	WET_WET_WET	24
282	Sabby65	23
282	Nostrom	23
282	UltraZombie	23
285	Lutres_Torane	22
286	Natty	21
287	AssFullaCum	20
288	selectrix	19
288	Mister3z	19
288	Quincannon	19
288	Matorz	19
288	00000000-0000-0000-0009-01ff0c3e5e4f	19
293	Mewar	18
293	Invisie	18
293	sp00ky_ghost977	18
293	Sheldor097	18
293	JayToe	18
298	Groovy_MoonBird	17
298	CoffeeNoir	17
298	The_SlideV5	17
