rank	username	minecraft:dropped/minecraft:stripped_dark_oak_log
1	EveryonesUncle	256
2	500am	246
3	HolyVenom	182
4	SvenskaHugo	65
5	_Cloverbelle_	41
6	thescout7	40
7	pintsizedrogue	33
8	Mahoose	26
9	xzvu	21
10	NieToksikpl	16
11	eitanzaki	13
11	kekhon	13
11	burbankbuilder28	13
11	Enderxz3	13
15	Faart	12
16	KarlKaek	11
16	rarrq	11
16	Manaateee	11
19	Lez_	10
19	Akoot_	10
19	iSammael	10
22	ImpavidArcher	9
23	SquadMonster	8
23	noam464	8
23	okCrypto	8
23	SammiWolfGirl	8
27	lorpus	7
27	0Vyp_	7
27	Rebytre	7
30	_Huge_Male_	6
30	FreakGenius	6
30	Spacewardharpy7	6
30	AdmiralSmoke	6
34	Norrhede	5
34	SuperPooch06	5
34	weabis	5
37	k_ce	4
37	JohnnyFyes	4
37	teslawolf38	4
37	T045RTY	4
37	TheDankPlatypus	4
37	Werbe	4
37	RobotMinion101	4
37	luseis	4
37	NameGenerat0r	4
37	Blu3beast	4
37	Nycteus_	4
37	Zetsey	4
37	Sheldor097	4
50	Euclidoris	3
50	thewindmillman	3
50	shrimp_flips	3
50	MilleGrug	3
54	PazinGaming	2
54	ECstardust	2
54	RebelAndroid	2
54	beeperbeeper5	2
54	Blackberry1310	2
54	Crowman1	2
54	gcaisawesome	2
54	Chromary	2
54	Elastiq	2
54	_Bguette_	2
54	Fuad_R	2
54	HellsSponge	2
54	fluddd	2
54	lordpipe	2
54	Leithz6	2
54	Eraxa	2
54	LeEricc	2
54	PortlyPete69	2
54	Steelynan	2
54	TheOuterCore	2
54	anbbang	2
54	Ezekson	2
54	2blox_	2
77	Groovy_MoonBird	1
77	Frozil20	1
77	diamondgolem35	1
77	itburb	1
77	SidorAlex	1
77	Saucepeh	1
77	Cryptacity	1
77	TheSecondLord	1
77	AngalexikCZ	1
77	2Stout	1
77	xxPipperDipperxx	1
77	mimbo1211	1
77	ImDisconnected_	1
77	Winklepicker279	1
77	Di_infiri	1
77	BronkerBrum	1
77	Hiryu27	1
77	thgrocks	1
77	Lord_Jord	1
77	NomadicRobin_	1
77	Mister3z	1
77	Russiancat1	1
77	The_Quack_Dealer	1
77	Lekol	1
77	censorsheep	1
77	Blaiku	1
77	Racengan	1
77	OffWithTheirHead	1
77	sp00ky_ghost977	1
77	_Mythic____	1
77	Kowcio_	1
77	Segotep999	1
77	_i_ERROR_i_	1
77	SpacesickPrism	1
77	CalebDHawk	1
77	Nicserso	1
77	TechnoNinja64	1
77	PlasticOtari	1
