rank	username	minecraft:dropped/minecraft:stripped_oak_log
1	eitanzaki	682
2	HellsSponge	242
3	MattieHD	128
4	Uzbeki_John	64
5	jnp_gaming	63
6	emrekn	39
7	EcksD	23
8	ElKaySVK	22
9	Werbe	20
9	AssEatrAndLicker	20
11	Blackberry1310	19
11	SammiWolfGirl	19
13	Natofthese	18
14	MovingFish7	16
15	lordpipe	15
16	Soap_Bender	14
17	eiC_	12
18	Kowcio_	11
19	noam464	10
19	SSytex_X	10
21	Mahoose	9
22	rarrq	7
22	500am	7
22	Awyrlas	7
22	XboxPanda	7
22	Pickel_Lord	7
22	lcvezra	7
28	CoffeeNoir	6
28	ratglock	6
28	Nicserso	6
28	Freedrik	6
32	Merv__	5
32	beeperbeeper5	5
32	EveryonesUncle	5
32	anbbang	5
32	Legendosh	5
37	G1ldor	4
37	M_Patata	4
37	Hiryu27	4
37	Onennon	4
37	Spacewardharpy7	4
42	FroggoTheDoggo	3
42	TheThomas69	3
42	HAIRYCLOUD626	3
42	Truckoss	3
42	fkGrim	3
42	wobn	3
42	Racengan	3
42	djancak	3
42	CalebDHawk	3
42	sebastiensaborio	3
52	nataliecool	2
52	T045RTY	2
52	Phlp	2
52	bloodbiter	2
52	YungJakobo	2
52	m_be9	2
52	kekhon	2
52	Fullut	2
52	Arceus1975	2
52	Skylord_Luke	2
52	dualvoidzz	2
52	epiksk8erduck	2
52	Akoot_	2
52	RoyalDorrr	2
52	Blaiku	2
52	Spenduh	2
52	stellarjay	2
52	Dogcorn69420	2
52	Kateesaur	2
52	Calbo_	2
52	diggydog67	2
73	ShowRegent	1
73	Jovaphobic	1
73	PhantomsGhost_	1
73	ImpavidArcher	1
73	hm947	1
73	_Razar	1
73	Wooptey	1
73	spaece	1
73	ShedJr_	1
73	fr0stss	1
73	TheSecondLord	1
73	Ravenbie	1
73	zMarciano	1
73	eclipseboi	1
73	_Dean_123	1
73	Mewar	1
73	TableTim	1
73	fallingemma	1
73	Marbz_	1
73	Di_infiri	1
73	Rumpletaezer	1
73	CaptainDeadBread	1
73	fred870d	1
73	wrinkledpiglet	1
73	OtariCharlie	1
73	Cattoh	1
73	_naturell	1
73	PuFY	1
73	NameGenerat0r	1
73	Freak_Genius	1
73	Blu3beast	1
73	fluddd	1
73	MightyWertu	1
73	Dusk_95	1
73	Omar_Alone	1
73	LordSpeed37	1
73	TheEnderman548	1
73	YungMaki	1
73	stahouo	1
73	fffMike	1
73	Vellu21	1
73	laron58	1
73	xorompole	1
73	Quotary	1
73	AltnumberF4	1
73	mountaingirl311	1
73	HesDemonPants	1
73	vandmanden	1
73	WYFYoyo	1
