rank	username	minecraft:dropped/minecraft:stripped_spruce_log
1	Kowcio_	364
2	HollieDaNugget	320
3	kekhon	211
4	Blackberry1310	209
5	_Virify_	187
6	Creativebuilder2	128
7	EMC_	114
7	NotKaden_	114
9	RealGroot	106
10	Shiirazu	92
11	set67	66
12	Inchef	61
13	Lez_	51
14	Blu3beast	48
15	weabis	46
16	Mahoose	44
17	SpacesickPrism	41
18	Fullut	36
18	EveryonesUncle	36
20	Uzbeki_John	35
21	TheSecondLord	34
22	Soap_Bender	31
23	eitanzaki	28
24	Groundler	27
24	Enderxz3	27
26	500am	26
27	hm947	22
27	beeperbeeper5	22
29	lordpipe	20
30	noam464	18
31	rarrq	17
31	Smashic	17
31	thescout7	17
34	AlexxO_o	16
35	XboxPanda	12
35	Racengan	12
37	ZigzagLily43042	11
38	Gemstuff	9
38	Spacewardharpy7	9
38	iSammael	9
38	Nicserso	9
38	WYFYoyo	9
43	NatalieTW	7
43	joethahobo	7
43	Jakobo1337	7
43	Akoot_	7
43	RoofTyler	7
43	jnp_gaming	7
49	BlancoFlaco	6
49	_Dean_123	6
49	Jackattack53	6
49	fkGrim	6
49	lillips	6
49	Fuad_R	6
49	OfficerAnvil	6
49	AltnumberF4	6
57	Kkanot	5
57	M_Patata	5
57	Jeteight	5
57	SaintJosie	5
57	alderban107	5
57	Kubeusz2010	5
63	Incinere	4
63	Zythose	4
63	Hiryu27	4
63	ogoa	4
63	Tyrannosplart	4
63	MyNameIsDakar	4
63	CalebDHawk	4
70	Frozil20	3
70	diamondgolem35	3
70	T045RTY	3
70	Natty	3
70	Huwulling	3
70	Da_Boss_Rani	3
70	mattybeewrapss	3
70	m_be9	3
70	Guillemet	3
70	MyNameIsJobo	3
70	Di_infiri	3
70	Jonte0599	3
70	DC_XII	3
70	Jimi7hits	3
70	binman420	3
70	Quaintster	3
70	FreakGenius	3
70	mihimihimihi	3
70	layabout100	3
70	Biites	3
90	heysushii	2
90	JohnnyFyes	2
90	q_wq	2
90	_Razaria	2
90	NieToksikpl	2
90	ProfessorBee	2
90	Awyrlas	2
90	gcaisawesome	2
90	thewindmillman	2
90	wTXop	2
90	Skylord_Luke	2
90	shrimp_flips	2
90	NameGenerat0r	2
90	El_Jalapeno	2
90	SkateboardR6	2
90	SSytex_X	2
90	gusstationwerker	2
90	SammiWolfGirl	2
90	Nekomin0	2
90	Hermanni__	2
110	Jovaphobic	1
110	k_ce	1
110	Bandito_Roamer	1
110	_Huge_Male_	1
110	RoskobiOne	1
110	SmashingPump	1
110	Merv__	1
110	Hpdinosaur	1
110	Zlatovlas	1
110	NinjaKnifeKill	1
110	Myszoaz	1
110	ccwildfire1	1
110	TheFlfthHorseman	1
110	Malorn_Aetherius	1
110	TheThomas69	1
110	Demiurging	1
110	NotMeanttoChange	1
110	KGTV	1
110	orxngejuice	1
110	Patwannabegamer	1
110	olliebollie48	1
110	BlueZabu	1
110	Winklepicker279	1
110	CollinMH06	1
110	fr_ser	1
110	gabriels543	1
110	SuperPooch06	1
110	Chromary	1
110	Rumpletaezer	1
110	Arceus1975	1
110	burbankbuilder28	1
110	Bumpy419	1
110	ApophisNova	1
110	Werbe	1
110	Mattesco	1
110	FishyBoy3811	1
110	zToasty69z	1
110	groofles	1
110	Deathkob	1
110	MAns_44	1
110	MustaLoordi	1
110	Nycteus_	1
110	GravitySaint	1
110	the__Reaper4999	1
110	OffWithTheirHead	1
110	MovingFish7	1
110	SexcMf	1
110	Danielbe	1
110	YungMaki	1
110	Soplight	1
110	Juh1s	1
110	Fizznut909	1
110	lcvezra	1
110	obzii	1
110	Sheldor097	1
110	anbbang	1
110	Ezekson	1
110	ConnorDanky_	1
110	BreadBacon	1
110	MyNamaSheff	1
110	Legendosh	1
110	HesDemonPants	1
110	UrbanPlanningEx	1
110	PlasticOtari	1
110	Zoeyfortnite	1
110	Smoke____	1
110	00000000-0000-0000-0009-01ff0c3e5e4f	1
