rank	username	minecraft:dropped/minecraft:warped_wart_block
1	thewindmillman	56357
2	noam464	20211
3	Hyp3rion_	2019
4	TheSecondLord	1767
5	Arceus1975	1486
6	joethahobo	926
7	diamondgolem35	771
8	FishisTTV	529
9	Blaiku	437
10	12Magner05	268
11	AdmiralSmoke	266
12	Luigipunch989	262
13	eitanzaki	219
14	rarrq	134
15	FreakGenius	132
16	groofles	109
17	Kowcio_	92
18	Mahoose	88
19	gcaisawesome	82
20	mihimihimihi	69
21	Blackberry1310	66
22	Fullut	58
23	CalebDHawk	56
24	Eraxa	55
25	Enderxz3	54
26	shadowthemonkey	36
26	0Vyp_	36
26	Dakar_	36
29	beeperbeeper5	29
30	pintsizedrogue	28
31	NomadicRobin_	27
32	sammidk	21
33	SmashingPump	19
33	ConnorDanky_	19
33	trexgb	19
36	SammiWolfGirl	18
37	Winklepicker279	17
37	lizardfightclub	17
39	MilleGrug	16
40	Frozil20	15
41	LeonelSalamanca	13
42	Wooptey	12
42	500am	12
42	Spacewardharpy7	12
45	Alteriity	9
45	Secret_Canary	9
45	AlexxO_o	9
45	djancak	9
49	Di_infiri	7
49	Steelynan	7
51	DinoDoctor_	6
51	TheEnderMan548	6
53	Decaying_Lotus	5
54	Travasaur	4
54	livingdaydreams	4
54	HolyVenom	4
54	Elastiq	4
58	BlancoFlaco	3
58	PhantomBionic	3
58	MrExplorer	3
58	Kakolbus	3
58	Chromary	3
58	AuroraSkies	3
64	soundad	2
64	Merv__	2
64	XboxPanda	2
64	Mattesco	2
64	Manaateee	2
64	Ze_BaronKrigler	2
64	EcksD	2
64	Jimb0nat0r	2
64	PlasticOtari	2
73	Groovy_MoonBird	1
73	q_wq	1
73	T045RTY	1
73	SyntheticSurgeon	1
73	CoffeeNoir	1
73	ShedJr_	1
73	Historical_Sand	1
73	Da_Boss_Rani	1
73	Crowman1	1
73	BobDeBouwer1337	1
73	_Dean_123	1
73	UncreativeArtist	1
73	paranoid_plant	1
73	r123moore	1
73	benediktine1	1
73	trixterrx	1
73	Jackattack53	1
73	burbankbuilder28	1
73	King_Pancake1	1
73	Silvo614	1
73	KliBeast21	1
73	Akoot_	1
73	EveryonesUncle	1
73	lillips	1
73	LexMakesHistory	1
73	DemTechAlpha	1
73	shrimp_flips	1
73	Nycteus_	1
73	Hisiste	1
73	SvenskaHugo	1
73	YungMaki	1
73	non089	1
73	_i_ERROR_i_	1
73	Kubeusz2010	1
73	Ezekson	1
73	scarletwarrior1	1
73	Biites	1
