rank	username	minecraft:dropped/minecraft:white_banner
1	beeperbeeper5	1322
2	Werbe	1215
3	EMC_	941
4	Sral7	864
5	Fuad_R	778
6	Smoke____	749
7	FirsTimeGamingTV	479
8	thewindmillman	454
9	noam464	434
10	RealGroot	421
11	Snowflowe	344
12	Da_Boss_Rani	164
13	AlexxO_o	161
14	eitanzaki	148
15	Soplight	139
16	ConnorDanky_	96
17	Lord_Jord	83
18	RebelAndroid	74
18	Spacewardharpy7	74
20	TechnoNinja64	73
21	dimondking777	71
22	Racengan	70
23	kekhon	56
24	EcksD	53
25	Lez_	40
26	binman420	36
26	HellsSponge	36
28	Huwulling	33
29	YungMaki	32
30	pintsizedrogue	25
31	Akoot_	24
31	Legendosh	24
33	TheSecondLord	22
33	WyngGoy	22
35	lordpipe	21
36	ImpavidArcher	19
36	hm947	19
36	MovingFish7	19
36	FelixPSY375	19
40	Historical_Sand	18
40	FreakGenius	18
42	NatalieTW	17
42	SuperPooch06	17
42	Tyrannosplart	17
42	jnp_gaming	17
42	vandmanden	17
47	teslawolf38	16
47	fw3xywashere	16
47	xolstoi	16
50	Eraxa	15
51	Kakolbus	14
51	Di_infiri	14
51	_Karmaa	14
51	Blaiku	14
51	Sheldor097	14
56	Alteriity	12
56	ROY4LE	12
58	rarrq	11
58	Fullut	11
58	Smashic	11
58	Hyp3rion_	11
58	The11thDoctor	11
58	sp00ky_ghost977	11
58	PlasticOtari	11
65	I_Am_Mushkin	10
65	_Dean_123	10
65	seramalen	10
65	420BreadLizard	10
65	Kura2218	10
70	Froste131	9
70	Frozil20	9
70	Luminad3	9
73	NameGenerat0r	8
73	Quaintster	8
73	bladeefan2009	8
76	Merv__	7
76	Blackberry1310	7
76	12Magner05	7
76	emrekn	7
76	fkGrim	7
76	Dusk_95	7
76	stijnbro	7
76	GlitchyPlate810	7
84	fr0stss	6
84	Jackattack53	6
84	Arceus1975	6
84	burbankbuilder28	6
84	Skippeh	6
84	Jimb0nat0r	6
90	Incinere	5
90	jacxhadow	5
90	500am	5
90	J4ko8_	5
90	StinkyDiplomat	5
90	xzvu	5
96	ShedJr_	4
96	Vizzoid	4
96	QueenCamilla	4
96	Rocco_Lane	4
96	jewbacaman	4
96	JoCoLi	4
96	AssFullaCum	4
96	starbits140	4
96	Enderxz3	4
105	ImNotYuqii	3
105	T045RTY	3
105	LionelHutzESQ	3
105	SyntheticSurgeon	3
105	Mahoose	3
105	joethahobo	3
105	ratglock	3
105	xxPipperDipperxx	3
105	JitteryJared2	3
105	Solar_Power	3
105	Kynigito	3
105	thgrocks	3
105	Maenara	3
105	yulgur1	3
105	NomadicRobin_	3
105	luseis	3
105	OffWithTheirHead	3
105	jcool7	3
105	FishisTTV	3
124	_Virify_	2
124	gren_ben	2
124	ColeSnyder	2
124	CompAir	2
124	Tolhart	2
124	Crowman1	2
124	Jakobo1337	2
124	eviltunix	2
124	r123moore	2
124	Covalents	2
124	Ecplosive	2
124	Winklepicker279	2
124	Rumpletaezer	2
124	LilyNova	2
124	Bumpy419	2
124	Mattesco	2
124	Moofyman	2
124	ougstur	2
124	sammidk	2
124	TheTrueClipse	2
124	audiocracked	2
124	EveryonesUncle	2
124	lillips	2
124	Quincannon	2
124	claivin	2
124	Nycteus_	2
124	Xclax101	2
124	fluddd	2
124	Warlord324	2
124	SkateboardR6	2
124	cytotoxaint	2
124	MakeHistory157	2
124	carbo_bro	2
124	pixelviolin	2
124	BlankityMcBlank	2
124	__tomato	2
124	ediballbearings	2
124	LeeMcGee30	2
124	Ezekson	2
124	AltnumberF4	2
124	Powowowow	2
124	UrbanPlanningEx	2
124	camando92	2
124	Umbreon900	2
124	Faart	2
169	MuffinManzz	1
169	Matemax	1
169	dabloons	1
169	6king6colt6	1
169	KarlKaek	1
169	SaucyDark	1
169	Killercatty78	1
169	_Razaria	1
169	Wooptey	1
169	Natty	1
169	ZaneABrain	1
169	H72l9w	1
169	Crafter45	1
169	QuiCreans	1
169	tramizu	1
169	Ssor69	1
169	Misato_0	1
169	titanlax	1
169	roxycherry	1
169	Malorn_Aetherius	1
169	Cryptacity	1
169	mattybeewrapss	1
169	ProfessorBee	1
169	corvidpartyfor6	1
169	eclipseboi	1
169	Yirtle	1
169	thescout7	1
169	Motsaro	1
169	Xalithia	1
169	Touched_Bread	1
169	olliebollie48	1
169	M_Patata	1
169	Chromary	1
169	killmeiamtraitor	1
169	Parcc	1
169	ApophisNova	1
169	TheWildMateo	1
169	RobotMinion101	1
169	Onennon	1
169	F_Uhre	1
169	epiksk8erduck	1
169	Rasmanden	1
169	Nicky19	1
169	H_O_M_H	1
169	Gryglu583	1
169	Babushka0430	1
169	handsome_strong	1
169	MyNameIsDakar	1
169	El_Jalapeno	1
169	RedcatVII	1
169	Groundler	1
169	LazySupport00	1
169	MasterNueve	1
169	Ze_BaronKrigler	1
169	Cocoamallows	1
169	layabout100	1
169	Optiprimus	1
169	stavgod	1
169	SvenskaHugo	1
169	Kowcio_	1
169	Kyrum2169	1
169	UCP_TheKingK	1
169	EtherealEspresso	1
169	gusstationwerker	1
169	PortlyPete69	1
169	fffMike	1
169	88Hazza88	1
169	Hermanni__	1
169	alderban107	1
169	Vellu21	1
169	ZoomieZoomie	1
169	TheOuterCore	1
169	anbbang	1
169	cichy096	1
169	MyNamaSheff	1
169	Zoeyfortnite	1
