rank	username	minecraft:dropped/minecraft:yellow_dye
1	thewindmillman	549248
2	noam464	22875
3	lillips	373
4	MousePlays	320
5	MilleGrug	253
6	Smoke____	191
7	NomadicRobin_	110
8	wTXop	105
9	EMC_	74
10	joethahobo	64
10	NotMeanttoChange	64
10	Blu3beast	64
13	Skylord_Luke	63
14	oxfordschool	59
15	Chromary	56
16	Blaiku	54
17	NameGenerat0r	30
18	MovingFish7	27
18	stavgod	27
20	Di_infiri	26
20	Nekomin0	26
22	Fullut	24
23	JEWISHBadenBeele	23
23	eitanzaki	23
25	beeperbeeper5	21
26	RodSerlingCringe	18
27	kekhon	15
27	_naturell	15
29	Groovy_MoonBird	14
29	Kyrum2169	14
31	vandmanden	10
32	PeteO1995	9
32	Werbe	9
32	Freak_Genius	9
32	AssEatrAndLicker	9
36	ProfessorBee	8
36	Sky_light_KING	8
36	Sheldor097	8
39	Mahoose	7
40	rarrq	6
40	redikul	6
40	h2p_emrld	6
43	Ardennes	5
43	lordpipe	5
45	Freeman666	4
45	stellarjay	4
47	Zippyzam	3
47	Onennon	3
47	HellsSponge	3
47	Xclax101	3
47	Groundler	3
47	Luigipunch989	3
53	bigstankyy	2
53	Wooptey	2
53	oreee	2
53	SteveCraftBlocks	2
53	ApophisNova	2
53	Lord_Jord	2
53	babyjimmyneutron	2
53	sadvavilloso	2
53	Kowcio_	2
53	SSytex_X	2
53	anbbang	2
53	MyNamaSheff	2
53	_Dri_	2
66	squigglybones	1
66	Incinere	1
66	imthatpikachu	1
66	Shazzyling	1
66	CliffEmAll	1
66	TheSecondLord	1
66	jushykins	1
66	theonlymagikarp	1
66	BlueZabu	1
66	Hyp3rion_	1
66	ItsAki_	1
66	BRRRN179	1
66	EveryonesUncle	1
66	HwamzUK	1
66	chipklip	1
66	_k2x	1
66	Cocoamallows	1
66	Nagasaki_Riku	1
66	Optiprimus	1
66	__tomato	1
66	brofrickcheaters	1
66	stahouo	1
66	PortlyPete69	1
66	KingMatthew506	1
66	Weepingbiel	1
66	PlasticOtari	1
