rank	username	minecraft:killed/minecraft:cat
1	joethahobo	204
2	noam464	117
3	HellsSponge	104
4	thewindmillman	81
5	beeperbeeper5	80
6	ImpavidArcher	76
7	thescout7	60
8	AuroraValkyrie	48
9	lordpipe	36
10	F_Uhre	32
11	Blu3beast	25
12	Di_infiri	22
13	Jackattack53	17
14	luseis	16
15	fffMike	14
16	Vizzoid	13
16	PlasticOtari	13
18	eitanzaki	12
18	kekhon	12
18	oscminus	12
18	claivin	12
22	k_ce	11
22	Alteriity	11
22	Inbefour	11
22	YungMaki	11
26	_Virify_	10
26	SmashingPump	10
26	NotKaden_	10
26	PigDab	10
26	FreakGenius	10
26	Kowcio_	10
26	non089	10
33	Crowman1	9
33	Ezekson	9
35	diamondgolem35	8
35	Onennon	8
35	MightyWertu	8
35	Spenduh	8
35	jnp_gaming	8
40	youhjjhhhjj	7
40	Blaiku	7
40	Racengan	7
40	07shiny	7
40	KingMatthew506	7
45	PhantomsGhost_	6
45	Skylord_Luke	6
45	TheShyPig	6
45	VentiHilton	6
45	Quotary	6
45	PA_Tech_Gaming	6
51	Merv__	5
51	Mahoose	5
51	Skippeh	5
51	EcksD	5
51	h2p_emrld	5
56	mwrty	4
56	shadowthemonkey	4
56	Hyp3rion_	4
56	Bumpy419	4
56	Kim_Jong_eel	4
56	Lutres_	4
56	__tomato	4
56	FelixPSY375	4
64	pintsizedrogue	3
64	itburb	3
64	fr0stss	3
64	TheSecondLord	3
64	Kkanot	3
64	groggregg42	3
64	ApophisNova	3
64	RobotMinion101	3
64	Akoot_	3
64	LazySupport00	3
64	sp00ky_ghost977	3
64	ayamefag	3
64	MyNamaSheff	3
64	AdmiralSmoke	3
64	diggydog67	3
79	BPTY4618	2
79	ItsColin11	2
79	TildaAndrea	2
79	Frozil20	2
79	BlancoFlaco	2
79	SaucyDark	2
79	Historical_Sand	2
79	rarrq	2
79	heckface	2
79	Euclidoris	2
79	titanlax	2
79	Blackberry1310	2
79	Secret_Canary	2
79	lorpus	2
79	Dali1465	2
79	fade_emerge78823	2
79	Uzbeki_John	2
79	Inchef	2
79	gcaisawesome	2
79	XboxPanda	2
79	Kakolbus	2
79	legal_tax_evader	2
79	Snowflowe	2
79	burbankbuilder28	2
79	_Boipl_	2
79	WarMachina	2
79	J4k__	2
79	Rasmanden	2
79	Lord_Jord	2
79	Manaateee	2
79	The_slideV3	2
79	TheImperial	2
79	TheEnderMan548	2
79	Kyrum2169	2
79	Celeste_121	2
79	Sheldor097	2
79	jcool7	2
79	Kferno	2
79	Jimb0nat0r	2
79	camando92	2
119	gary_	1
119	hbaoo	1
119	Groovy_MoonBird	1
119	CLG_Kata	1
119	dudcreeper	1
119	Cowison	1
119	ECstardust	1
119	KingFaenor	1
119	bigstankyy	1
119	Iagoku	1
119	jimbo61101jr	1
119	Ryker	1
119	livingdaydreams	1
119	Batman922	1
119	CoffeeNoir	1
119	R0cketmanstan	1
119	Crafter45	1
119	IgnoredBee	1
119	Da_Boss_Rani	1
119	TheFlfthHorseman	1
119	LoboTheLobster	1
119	Miroryk	1
119	NieToksikpl	1
119	jamesq133	1
119	ProfessorBee	1
119	_Dean_123	1
119	slkiey	1
119	Groyperbuscus	1
119	MangoPineapplez	1
119	xXxSebastianLxXx	1
119	intropass	1
119	xxPipperDipperxx	1
119	hcb238	1
119	WWWWMWWWWWWWWWWW	1
119	Stiar	1
119	noyan121	1
119	IceYoung	1
119	mimbo1211	1
119	SHAOBADMAN	1
119	Ecplosive	1
119	yheece	1
119	Chromary	1
119	AmbroseForLife	1
119	Arceus1975	1
119	Rebytre	1
119	The_Cruncy	1
119	Mattesco	1
119	AlexxO_o	1
119	ougstur	1
119	halfwayup	1
119	Wowful	1
119	LeonelSalamanca	1
119	FreddyFart	1
119	Fuad_R	1
119	MustaLoordi	1
119	El_Jalapeno	1
119	fluddd	1
119	THEKINGLyric10	1
119	Druid95	1
119	Leithz6	1
119	IdeallyGrey	1
119	djancak	1
119	Luigipunch989	1
119	PortlyPete69	1
119	_i_ERROR_i_	1
119	NATE_the_HALO	1
119	obzii	1
119	PlzNoBM	1
119	mawileite	1
119	blimpeey	1
119	EngagedGrub41	1
119	MissCeleste7	1
119	Lord_Lollo	1
119	HesDemonPants	1
119	vandmanden	1
119	TechnoNinja64	1
119	Sral7	1
119	Zoeyfortnite	1
119	FishisTTV	1
119	00000000-0000-0000-0009-01f898304150	1
