rank	username	minecraft:killed/minecraft:guardian
1	Hyp3rion_	583091
2	Blaiku	12114
3	gcaisawesome	6077
4	Jackattack53	5687
5	Ezekson	4353
6	PigDab	3034
7	Snowflowe	2840
8	Groundler	2816
9	Frozil20	2708
10	Paintz	2337
11	EngagedGrub41	1969
12	ConnorDanky_	1949
13	Jimb0nat0r	1839
14	MightyWertu	1252
15	AstreaTSS	986
16	Bumpy419	890
17	luseis	771
18	Hiryu27	701
19	Marbz_	696
20	Blu3beast	632
21	stellarjay	492
22	Xclax101	466
23	titanlax	456
24	eitanzaki	439
25	HellsSponge	417
26	Skippeh	414
27	jcool7	409
28	diamondgolem35	402
29	thewindmillman	358
30	Incinere	328
31	QueenShuvi	319
32	Tyrannosplart	316
33	AuroraValkyrie	306
34	Zythose	293
35	xDraggin	292
36	M_Patata	263
36	MasterNueve	263
38	diggydog67	260
39	Soplight	257
40	RebelAndroid	252
41	Zaridey	230
42	TheShyPig	221
43	Spacewardharpy7	206
44	YungMaki	202
45	Akoot_	194
46	kekhon	192
47	noam464	171
48	T045RTY	166
49	PhantomsGhost_	161
50	MilleGrug	136
51	Smashic	129
52	Awyrlas	125
53	EMC_	118
54	Kakolbus	114
55	Mahoose	110
56	NomadicRobin_	99
57	Jovaphobic	95
57	Rumpletaezer	95
59	calamariclam_I	93
60	Hisiste	92
61	YungWali	91
62	Powowowow	86
63	Druid95	79
64	voiding_	73
64	Segotep999	73
64	_TCARREIRA_	73
67	sp00ky_ghost977	70
67	layabout100	70
69	500am	69
70	Flapjacker687	68
71	djancak	67
72	Fullut	62
72	Winklepicker279	62
72	Azmodan_246	62
75	pintsizedrogue	60
75	excelsionprime	60
77	Inbefour	59
78	MattieHD	54
79	poopybh	53
79	Rebytre	53
79	Razzgriz	53
82	EcksD	49
83	lizardfightclub	46
83	Kyrum2169	46
83	Vellu21	46
86	m_be9	43
87	Merv__	42
88	Steelynan	41
89	Reamdin	40
90	6king6colt6	38
90	Comma__	38
92	Chromary	37
92	TechnoNinja64	37
94	ImpavidArcher	36
95	__tomato	35
96	joethahobo	34
96	MAns_44	34
98	Apollo_993	33
98	beeperbeeper5	33
98	rarrq	33
98	eiC_	33
98	oscminus	33
98	DarlaMeow	33
98	_Karmaa	33
105	JayToe	32
106	Arceus1975	31
106	Barlycorn	31
106	h2p_emrld	31
109	TheDankPlatypus	29
109	ooga47	29
111	Notta	25
112	Iagoku	24
113	Groovy_MoonBird	23
113	thescout7	23
113	ougstur	23
116	Blackberry1310	21
116	fallingemma	21
116	TheTrueClipse	21
116	claivin	21
120	NinjaKnifeKill	20
120	PortlyPete69	20
122	dimondking777	19
122	Maenara	19
124	Di_infiri	17
124	SuperPooch06	17
124	NameGenerat0r	17
124	Kowcio_	17
124	AdmiralSmoke	17
129	Ender_Souls	16
129	Racengan	16
129	Enderxz3	16
129	UrbanPlanningEx	16
133	ApophisNova	15
133	Quaintster	15
133	SkateboardR6	15
133	xzvu	15
133	MyNamaSheff	15
138	k_ce	14
138	SaucyDark	14
138	MrKrabOnCoke	14
138	intropass	14
138	MovingFish7	14
138	monky_irl	14
138	Legendosh	14
145	livingdaydreams	13
145	CollinMH06	13
145	Skomo	13
145	CalebDHawk	13
149	powercas_gamer	12
149	Cryptacity	12
149	12Magner05	12
149	JitteryJared2	12
149	the__Reaper4999	12
154	dudcreeper	11
154	F_Uhre	11
154	TheSeismicDuck	11
154	1442	11
154	pixelviolin	11
154	Zoeyfortnite	11
154	xolstoi	11
161	teslawolf38	10
161	I_Am_Mushkin	10
161	master9067	10
161	DemTechAlpha	10
165	Iamthejo	9
166	MinttyFressh	8
166	lorpus	8
166	mihimihimihi	8
166	Factoroni	8
166	MakeHistory157	8
166	33sudo	8
166	Eraxa	8
173	J4k__	7
173	SingedBread	7
173	Vorlice	7
173	skrongus	7
177	elicobnoah	6
177	_Dean_123	6
177	Inchef	6
177	shadowthemonkey	6
177	MyNameIsJobo	6
177	Eczbox	6
177	Fuhrer_Teemo	6
177	lillips	6
177	Manaateee	6
177	Fizznut909	6
177	Eczbek	6
177	MirielThePastor	6
189	LovelyDane	5
189	MoistMicrowave	5
189	XboxPanda	5
189	legal_tax_evader	5
189	Leyna3	5
189	EveryonesUncle	5
189	BumbleBeever	5
189	lordpipe	5
189	ElectricDragon81	5
189	Spenduh	5
189	jnp_gaming	5
200	Alexanderjac	4
200	ratglock	4
200	4774	4
200	wezzzi	4
200	SpouHn	4
200	StinkyDiplomat	4
200	StarCookiees_	4
200	UCP_TheKingK	4
200	alderban107	4
200	PlasticOtari	4
210	j5ylim	3
210	_stets	3
210	ItsColin11	3
210	TooManyDuck	3
210	ITDV	3
210	H72l9w	3
210	Saucepeh	3
210	Guillemet	3
210	Scathra	3
210	mwrty	3
210	himak1	3
210	platinumzero	3
210	Werbe	3
210	IamCL4SSY	3
210	Lord_Jord	3
210	MustaLoordi	3
210	fluddd	3
210	LetsDoItLive	3
210	_Mythic____	3
210	SammiWolfGirl	3
210	anbbang	3
231	Mr_Byzantine	2
231	LittleBug562	2
231	ECstardust	2
231	ShedJr_	2
231	Lez_	2
231	crying_wolf_13	2
231	surfinggiraffejp	2
231	eviltunix	2
231	Xalithia	2
231	ROY4LE	2
231	mimbo1211	2
231	SlayerCrypto	2
231	whoaluv	2
231	Fast_Turtle	2
231	dnlksl	2
231	Fuad_R	2
231	radioactv_jelly	2
231	WyngGoy	2
231	yatsuta	2
231	obzii	2
231	Drawgirl	2
231	Dogcorn69420	2
231	vandmanden	2
231	Sral7	2
231	FishisTTV	2
256	Lepthymo	1
256	Bandito_Roamer	1
256	_Virify_	1
256	MatsTheGoat	1
256	SmashingPump	1
256	Sleek_Storm_721	1
256	KarlKaek	1
256	Creativebuilder2	1
256	hm947	1
256	No_u4	1
256	Vensterbankje	1
256	CoffeeNoir	1
256	Huwulling	1
256	TheSecondLord	1
256	Tiberonus	1
256	FemboyFwuit	1
256	paranoid_plant	1
256	2Stout	1
256	r123moore	1
256	Covalents	1
256	John6970	1
256	_8man	1
256	Billious	1
256	Onennon	1
256	audiocracked	1
256	XxCookiequeenxX	1
256	Russiancat1	1
256	fkGrim	1
256	NYJ	1
256	Shogunite	1
256	ItsDeltaMC	1
256	Majonezzon	1
256	LordSpeed37	1
256	stavgod	1
256	BlankityMcBlank	1
256	Juh1s	1
256	bitsplease	1
256	TheBananaKat	1
256	Nicserso	1
