rank	username	minecraft:killed/minecraft:husk
1	Spacewardharpy7	975
2	joethahobo	971
3	PigDab	770
4	Frozil20	605
5	gcaisawesome	460
6	RebelAndroid	456
7	beeperbeeper5	388
8	Segotep999	345
9	tuckerdoodle	299
10	HellsSponge	269
11	SkateboardR6	258
12	Blackberry1310	252
13	AdmiralSmoke	240
14	Creativebuilder2	236
15	noam464	225
16	Skippeh	205
17	Dreamdbr14	203
18	YungMaki	191
19	TheShyPig	178
20	PhantomsGhost_	162
21	thewindmillman	158
21	FishyBoy3811	158
23	_Mythic____	153
24	_stets	150
25	Hyp3rion_	149
26	KingFaenor	147
26	TheSecondLord	147
28	lordpipe	143
29	Merv__	141
29	Mahoose	141
31	Ssor69	140
32	Euclidoris	139
32	EcksD	139
34	Soplight	133
35	EMC_	132
36	Groovy_MoonBird	130
36	Quaintster	130
38	hanaryheatwave	127
39	ProfessorDiaper	125
39	Sral7	125
41	eitanzaki	118
41	Smashic	118
41	Kim_Jong_eel	118
44	EveryonesUncle	114
44	sp00ky_ghost977	114
46	NomadicRobin_	113
46	Steelynan	113
48	Blaiku	110
49	FreddyFart	104
49	Blu3beast	104
51	El_Jalapeno	100
52	SingedBread	99
53	TheDankPlatypus	97
54	Enderxz3	96
55	Arceus1975	91
56	ImpavidArcher	87
56	SaintJosie	87
58	Tyrannosplart	82
58	Ezekson	82
60	Jimb0nat0r	80
61	2Stout	77
61	Snowflowe	77
63	obzii	74
64	noodlepack	72
64	Di_infiri	72
66	Jackattack53	70
67	F_Uhre	69
68	TheMaster972	66
69	Hoid_the_Roamer	65
70	Hisiste	64
71	PlasticOtari	63
72	NatalieTW	62
73	SuperPooch06	61
74	SvenskaHugo	59
75	Vizzoid	58
75	Chromary	58
75	Skylord_Luke	58
75	ooga47	58
79	Lez_	56
79	SpaceGrenadier	56
79	Luigipunch989	56
82	set67	55
82	oscminus	55
82	victorLIE	55
82	Manaateee	55
82	claivin	55
87	lillips	54
87	Dogcorn69420	54
89	SDMNAEK	53
89	Scathra	53
91	kekhon	52
92	diggydog67	51
93	Krowuss	49
93	MustardDrinker	49
95	xXTheWolfmanXx	46
96	xxPipperDipperxx	44
96	Ajax6	44
98	Akoot_	43
99	King_Pancake1	42
100	Powowowow	40
101	DinoDoctor_	39
101	C0oOK13M0N5T3R	39
103	Wolf_Mauler_73	38
103	Comma__	38
103	Fullut	38
103	Awyrlas	38
103	The11thDoctor	38
103	MilleGrug	38
109	rarrq	36
109	12Magner05	36
109	Optiprimus	36
112	Yahir091	35
113	AlphaWolfPlaysMC	34
114	Legendosh	33
114	CrazyPotater	33
116	FirsTimeGamingTV	32
116	LeonelSalamanca	32
118	ebanana	31
118	FreakGenius	31
118	Druid95	31
118	Hermanni__	31
122	SyntheticSurgeon	30
122	yheece	30
122	fw3xy74	30
122	Nycteus_	30
122	Ze_BaronKrigler	30
122	Nicserso	30
122	The_SlideV5	30
129	pintsizedrogue	29
129	gren_ben	29
129	ZeroKraken	29
132	AuroraValkyrie	28
132	KarlKaek	28
132	Barlycorn	28
132	jnp_gaming	28
136	MattieHD	27
136	DanTheBuilderino	27
136	Xclax101	27
136	TechnoNinja64	27
140	Kakolbus	26
140	Marbz_	26
140	SonicRainBow_	26
140	Kouridragon	26
140	Lord_Jord	26
145	Alteriity	25
145	WyngGoy	25
147	DarlaMeow	24
147	The_slideV3	24
147	Razzgriz	24
150	Kowcio_	23
151	Eraxa	22
152	Mowelan	21
152	Sleek_Storm_721	21
152	500am	21
152	MovingFish7	21
156	Franco093	20
156	ZaneABrain	20
156	Rich_Kat	20
156	Zythose	20
156	Werbe	20
156	Racengan	20
156	trashmammals	20
163	BodaciousCake	19
163	ShedJr_	19
163	ProfessorBee	19
163	ROY4LE	19
163	MAns_44	19
163	xzvu	19
163	stellarjay	19
170	Zaridey	18
170	2blox_	18
172	ougstur	17
172	TheEnderMan548	17
172	vandmanden	17
172	JayToe	17
172	00000000-0000-0000-0009-01ff0c3e5e4f	17
177	Historical_Sand	16
177	mattybeewrapss	16
177	m_be9	16
177	mwrty	16
177	Deathkob	16
177	OverallConcept	16
177	censorsheep	16
184	bigstankyy	15
184	Hyugo	15
184	fade_emerge78823	15
184	Bumpy419	15
184	The_Cruncy	15
184	jewbacaman	15
184	StinkyDiplomat	15
184	BumbleBeever	15
184	SkinnyBois	15
193	ExtraDumb	14
193	stevewithclout	14
193	titanlax	14
193	4774	14
193	_Karmaa	14
193	ConnorDanky_	14
199	Jovaphobic	13
199	chipklip	13
199	Mewar	13
199	eviltunix	13
199	Doom_melon	13
199	ReSynced	13
199	weabis	13
199	MightyWertu	13
207	Wooptey	12
207	Rebytre	12
207	wezzzi	12
207	Groundler	12
207	IdeallyGrey	12
207	BreadBacon	12
213	SugarMyNuggets	11
213	Swexti	11
213	picardred	11
213	Hiryu27	11
213	EfficientC52	11
213	Iamthejo	11
219	teslawolf38	10
219	Killercatty78	10
219	MinttyFressh	10
219	lorpus	10
219	Touched_Bread	10
219	benediktine1	10
219	shadowthemonkey	10
219	Felenov	10
219	SvenskaAlvar	10
219	Decaying_Lotus	10
219	__tomato	10
219	SpacesickPrism	10
219	jcool7	10
219	tartanboy	10
219	RadarHz	10
219	xolstoi	10
219	Calbo_	10
236	Pearlplatinum	9
236	I_Am_Mushkin	9
236	Hpdinosaur	9
236	_Razaria	9
236	peach0s	9
236	ITDV	9
236	Crowman1	9
236	SteveCraftBlocks	9
236	John6970	9
236	CollinMH06	9
236	brickman241	9
236	Elastiq	9
236	IAmTheWalrus910	9
236	Cocoamallows	9
236	LilcoinXX	9
236	CalebDHawk	9
236	laron58	9
253	Rorrofighter	8
253	tortillatitan	8
253	Secret_Canary	8
253	Kamflame10	8
253	r123moore	8
253	legal_tax_evader	8
253	ClemenPine	8
253	Gab4101	8
253	yulgur1	8
253	TheSeismicDuck	8
253	JESS_THE_RERE	8
253	NiveauSubmarine	8
253	starbits140	8
253	Spenduh	8
253	_i_ERROR_i_	8
253	smogfrog	8
269	H0UNDFRMH3LL	7
269	Incinere	7
269	NieToksikpl	7
269	HoltGrim	7
269	M_Patata	7
269	ItsAki_	7
269	RobotMinion101	7
269	epiksk8erduck	7
269	groofles	7
269	Inbefour	7
269	luseis	7
269	_Bguette_	7
269	MasterNueve	7
269	LordSpeed37	7
269	stavgod	7
269	KingMatthew506	7
285	k_ce	6
285	dudcreeper	6
285	RoskobiOne	6
285	Tommhh	6
285	diamondgolem35	6
285	T045RTY	6
285	CliffEmAll	6
285	bloodbiter	6
285	_Dean_123	6
285	paranoid_plant	6
285	SellyZ	6
285	Queen_Jalapeno	6
285	JitteryJared2	6
285	WarMachina	6
285	ApophisNova	6
285	seramalen	6
