rank	username	minecraft:killed/minecraft:magma_cube
1	Di_infiri	1801
2	Hyp3rion_	1221
3	Cowison	1218
4	thewindmillman	1152
5	T045RTY	788
6	noam464	715
7	HellsSponge	676
8	vandmanden	618
9	RebelAndroid	586
10	PigDab	561
11	Frozil20	558
12	monky_irl	548
13	Arceus1975	536
14	djancak	530
15	oscminus	521
16	beeperbeeper5	494
17	SaucyDark	482
18	ConnorDanky_	475
19	pintsizedrogue	471
20	Tyrannosplart	468
21	Merv__	413
22	DarlaMeow	405
23	eitanzaki	391
24	Paint	385
25	Bandito_Roamer	373
25	ReSynced	373
27	Krowuss	372
28	Winklepicker279	362
28	YungMaki	362
30	ROY4LE	348
31	Kowcio_	345
32	Blaiku	338
33	excelsionprime	322
34	Snowflowe	321
35	claivin	304
36	Kyrum2169	293
37	ECstardust	288
38	joethahobo	286
39	Spacewardharpy7	284
40	Jackattack53	283
41	MAns_44	282
42	gcaisawesome	272
42	Enderxz3	272
44	_TCARREIRA_	271
45	Fullut	264
46	Zythose	259
47	Cocoamallows	255
48	Comma__	249
49	FreakGenius	245
50	Alteriity	236
51	H72l9w	231
51	kekhon	231
53	diggydog67	229
54	Strangemonkey71	224
55	Zoeyfortnite	217
56	m_be9	214
57	Dakar_	213
58	Xclax101	204
59	Segotep999	199
60	AlphaWolfPlaysMC	187
61	Mewar	186
62	AstreaTSS	184
63	FishyBoy3811	183
64	Nicserso	178
65	livingdaydreams	173
65	pixelviolin	173
67	Rumpletaezer	162
67	RobotMinion101	162
69	Blackberry1310	153
69	AdmiralSmoke	153
69	h2p_emrld	153
72	Awyrlas	152
73	NomadicRobin_	147
74	wezzzi	146
75	__tomato	145
76	Akoot_	144
77	thescout7	142
78	MightyWertu	139
79	Mahoose	136
79	Hisiste	136
81	TheShyPig	134
82	Rasmanden	133
83	Lez_	129
84	M_Patata	127
85	Powowowow	126
86	set67	124
86	eiC_	124
86	Druid95	124
89	rarrq	122
89	luseis	122
91	Kakolbus	120
92	TooManyDuck	116
92	xzvu	116
92	EcksD	116
95	PortlyPete69	115
96	MasterNueve	113
96	_Mythic____	113
98	StinkyDiplomat	110
98	Eraxa	110
100	mwrty	109
101	lizardfightclub	108
102	Soplight	106
102	RadarHz	106
104	MinttyFressh	105
104	500am	105
106	k_ce	102
106	MyNameIsJobo	102
106	TechnoNinja64	102
109	RefluxRatio	101
110	CharlieButt	100
111	Skippeh	97
112	Mattesco	93
112	SingedBread	93
112	33sudo	93
115	Apollo_993	92
115	Ninzyyy	92
117	Maenara	91
117	Quincannon	91
119	SuperPooch06	89
120	Iamthejo	86
121	ooga47	85
122	bloodbiter	82
123	Tiberonus	81
123	HolyVenom	81
125	prizm_	80
126	j5ylim	79
126	Reamdin	79
128	CLG_Kata	78
129	J4k__	75
129	Deodorante	75
131	Vorlice	74
132	301851	73
132	_Meow_Mix	73
134	CoffeeNoir	72
134	whoaluv	72
134	Corbsman	72
134	lordpipe	72
134	MilleGrug	72
139	MattieHD	71
139	UMosDiesIrae	71
141	TheSecondLord	70
