rank	username	minecraft:killed/minecraft:phantom
1	Hyp3rion_	1899
2	noam464	1801
3	Eraxa	1454
4	RebelAndroid	1414
5	Frozil20	1280
6	Steelynan	1230
7	Blackberry1310	1180
8	gcaisawesome	1099
9	Snowflowe	876
10	TheSecondLord	805
11	500am	753
12	Mahoose	740
13	Di_infiri	688
14	PhantomsGhost_	626
15	Smoke____	602
16	EMC_	573
16	Ezekson	573
18	SammiWolfGirl	572
19	TechnoNinja64	539
20	Merv__	512
21	Spacewardharpy7	493
22	Inbefour	490
23	RoskobiOne	481
24	joethahobo	469
25	beeperbeeper5	456
26	F_Uhre	449
27	Bumpy419	433
28	Njensen7	432
29	Lord_Jord	417
30	YungMaki	415
31	Blaiku	410
32	Chromary	409
33	Fullut	400
33	UCP_TheKingK	400
35	thewindmillman	397
36	Kowcio_	393
37	M_Patata	390
38	kekhon	389
39	EveryonesUncle	384
40	Elastiq	380
41	MasterNueve	373
42	Kim_Jong_eel	366
43	thescout7	355
44	Soplight	352
45	sp00ky_ghost977	351
46	KarlKaek	338
46	Winklepicker279	338
48	Akoot_	336
49	xzvu	331
50	Jackattack53	328
51	Jimb0nat0r	315
52	himak1	311
53	Enderxz3	310
54	ConnorDanky_	308
55	Arceus1975	306
55	Mattesco	306
55	SvenskaHugo	306
58	rarrq	290
59	obzii	285
60	MilleGrug	274
61	DarkS0L	273
62	Lez_	272
62	MyNameIsJobo	272
64	_Dean_123	270
65	pintsizedrogue	261
65	Cowison	261
65	TheShyPig	261
68	Racengan	259
69	Jovaphobic	258
70	lorpus	255
70	MovingFish7	255
70	pixelviolin	255
73	Skippeh	251
74	Blu3beast	250
75	Hisiste	243
76	Stiar	242
77	MAns_44	241
78	EcksD	237
78	Sral7	237
80	IamCL4SSY	236
81	Euclidoris	235
82	07shiny	230
82	vandmanden	230
84	Zythose	227
84	lillips	227
86	Marbz_	224
87	Tolhart	222
87	weabis	222
89	jnp_gaming	221
90	PortlyPete69	215
91	ImpavidArcher	214
92	TheDankPlatypus	211
93	Awyrlas	210
94	CoffeeNoir	209
95	Tommhh	208
96	mwrty	207
97	q_wq	206
98	fade_emerge78823	203
99	ThePoliteG	202
100	burbankbuilder28	200
101	Quincannon	194
102	eviltunix	193
103	Onennon	191
104	Xalithia	190
105	ThiccExotic	189
106	fluddd	188
107	Barlycorn	187
108	luseis	186
109	NomadicRobin_	184
110	AuroraSkies	183
111	Tyrannosplart	180
112	fkGrim	179
113	Maenara	176
114	RadarHz	170
115	Crowman1	167
115	Kkanot	167
115	Groundler	167
118	bigstankyy	160
118	ROY4LE	160
118	MyNameIsDakar	160
121	FreakGenius	152
121	Xclax101	152
123	eitanzaki	151
123	wobn	151
123	Powowowow	151
126	RealGroot	150
127	SingedBread	149
127	PlasticOtari	149
129	Smashic	148
129	Meatlaugh	148
131	Comma__	147
131	claivin	147
131	JayToe	147
131	diggydog67	147
135	_TCARREIRA_	145
136	m_be9	144
137	T045RTY	143
137	ApophisNova	143
137	SSytex_X	143
137	MyNamaSheff	143
141	set67	142
142	HellsSponge	141
142	ayamefag	141
142	Mythic1130	141
145	Hiryu27	140
146	__tomato	139
147	Huwulling	138
147	gusstationwerker	138
149	SaucyDark	133
150	diamondgolem35	132
150	titanlax	132
152	drunkeeez	131
153	MattieHD	130
153	legal_tax_evader	130
153	Eczbek	130
153	h2p_emrld	130
157	KingFaenor	129
158	layabout100	128
159	ImDisconnected_	127
159	MightyWertu	127
159	Dreamdbr14	127
162	Rebytre	125
162	SaintJosie	125
164	dudcreeper	124
165	Historical_Sand	123
166	jacxhadow	122
167	NieToksikpl	121
168	thebaddruid	120
168	monky_irl	120
168	MakeHistory157	120
168	Iamthejo	120
172	NoChumpChange	118
172	calamariclam_I	118
174	RedcatVII	117
174	laron58	117
176	slkiey	116
176	NameGenerat0r	116
176	UrbanPlanningEx	116
179	Myszoaz	115
179	SkateboardR6	115
181	ougstur	112
181	Vellu21	112
183	epiksk8erduck	111
184	ooga47	110
184	OG_Songsee	110
186	ThisUserIsStump	109
187	fw3xywashere	108
188	masskedman	107
189	Skylord_Luke	106
190	Legendosh	105
191	emrekn	104
192	TheEnderMan548	102
193	1442	101
194	QuiCreans	100
194	ogoa	100
194	censorsheep	100
197	Ssor69	98
198	GlitchyPlate810	97
199	Tobinator_007	96
199	_Huge_Male_	96
199	Esme_1	96
202	djancak	95
203	Groovy_MoonBird	93
203	Bandito_Roamer	93
203	H72l9w	93
203	HAIRYCLOUD626	93
203	Luigipunch989	93
208	Megarboh	92
209	_Virify_	91
209	corvidpartyfor6	91
209	Azmodan_246	91
212	Kubeusz2010	90
213	LeauVox4921	89
213	non089	89
213	jcool7	89
216	eiC_	88
217	stellarjay	87
218	Sleek_Storm_721	86
218	Leyna3	86
218	yulgur1	86
218	DemTechAlpha	86
222	Incinere	85
222	gustarlep	85
222	tartanboy	85
225	Jeteight	84
225	zOnlyKroks	84
227	pappaberg	82
228	_Nuf	81
228	Dan_Scha	81
228	ReSynced	81
228	xolstoi	81
232	Dusk_95	80
233	WyngGoy	79
234	TheSeismicDuck	78
234	RoofTyler	78
236	12Magner05	77
236	gabriels543	77
238	LAVA129	76
238	KingMatthew506	76
240	CalebDHawk	75
241	FishisTTV	74
242	Mr_Byzantine	73
242	Alteriity	73
244	SquadMonster	72
245	301851	71
245	Deathkob	71
245	_Karmaa	71
248	2Stout	70
248	Rasmanden	70
250	SmashingPump	68
250	Nycteus_	68
250	alderban107	68
250	TheOuterCore	68
254	H0UNDFRMH3LL	67
254	teslawolf38	67
254	33sudo	67
254	IdeallyGrey	67
258	Yirtle	66
258	Covalents	66
258	XboxPanda	66
258	SpouHn	66
262	Nicserso	65
263	OverallConcept	64
264	CharlieButt	63
264	CrateOfBoxes	63
264	Warlord324	63
264	ElectricDragon81	63
268	Froste131	62
268	Wowful	62
268	The_slideV3	62
268	Dogcorn69420	62
268	mawileite	62
273	shadowthemonkey	60
273	_Bguette_	60
275	binman420	59
276	_Boipl_	58
277	AuroraValkyrie	57
277	Prodiginus	57
277	BobDeBouwer1337	57
277	wezzzi	57
277	BreadBacon	57
282	gary_	56
282	Cocoamallows	56
282	tsitrawhy	56
285	Mewar	55
285	r123moore	55
285	Ecplosive	55
285	Rumpletaezer	55
285	XxCookiequeenxX	55
285	Razzgriz	55
291	ratglock	54
291	John6970	54
291	TheWildMateo	54
291	The11thDoctor	54
291	Strangemonkey71	54
296	heckface	53
296	Cortexia	53
296	G1ldor	53
299	Touched_Bread	52
299	CollinMH06	52
