rank	username	minecraft:killed_by/minecraft:phantom
1	beeperbeeper5	316
2	Lez_	231
3	Mahoose	218
4	EveryonesUncle	166
5	Jimb0nat0r	160
6	Mr_Byzantine	141
7	luseis	140
8	joethahobo	129
8	Zythose	129
10	Alteriity	126
11	Blackberry1310	109
12	eitanzaki	99
13	PazinGaming	88
14	hanaryheatwave	83
14	Spacewardharpy7	83
16	EcksD	81
17	Jackattack53	78
18	_Huge_Male_	75
19	FreakGenius	64
20	Yamdalorian	62
21	EMC_	61
21	El_Jalapeno	61
23	Di_infiri	59
24	xxPipperDipperxx	54
25	AlexxO_o	51
26	YungMaki	49
27	Groovy_MoonBird	46
27	Akoot_	46
29	MyNameIsJobo	42
29	Krowuss	42
31	Werbe	41
31	Mattesco	41
33	Frozil20	38
34	TechnoNinja64	37
35	Ezekson	34
36	Huwulling	33
37	HellsSponge	32
37	SammiWolfGirl	32
39	lordpipe	31
40	noam464	29
41	NomadicRobin_	27
42	pintsizedrogue	25
42	KarlKaek	25
42	oscminus	25
45	Inchef	24
45	gcaisawesome	24
45	Blu3beast	24
48	ShedJr_	23
48	h2p_emrld	23
50	NatalieTW	22
50	fffMike	22
52	FishyBoy3811	21
52	Enderxz3	21
54	Smashic	20
55	PigDab	19
55	KingMatthew506	19
55	hermmm_	19
55	ConnorDanky_	19
59	kekhon	18
59	himak1	18
59	Fuad_R	18
62	ImpavidArcher	17
62	Archsam	17
62	Manaateee	17
65	rarrq	16
65	CalebDHawk	16
65	skitzxo	16
68	shadowthemonkey	15
68	Hyp3rion_	15
68	Warlord324	15
71	teslawolf38	14
71	T045RTY	14
71	bl1ss0	14
71	Racengan	14
71	Kowcio_	14
71	Spenduh	14
71	Quotary	14
78	RoskobiOne	13
78	ProfessorBee	13
78	burbankbuilder28	13
81	SteveCraftBlocks	12
81	Jonafrog99	12
83	picardred	11
83	MrExplorer	11
83	HesDemonPants	11
83	PlasticOtari	11
87	abdomera	10
87	_Dean_123	10
87	fragrantmonke444	10
87	SuperPooch06	10
87	RebytreGT	10
87	AspenLightVT	10
93	SoosAmongus	9
93	ECstardust	9
93	paranoid_plant	9
93	Tyrannosplart	9
93	SexcMf	9
93	SpacesickPrism	9
93	Steelynan	9
100	skroobiez	8
100	Historical_Sand	8
100	Arceus1975	8
100	Boipl	8
100	The_slideV3	8
100	Zoeyfortnite	8
106	q_wq	7
106	myaccountwasgone	7
106	Saucepeh	7
106	bloodbiter	7
106	Covalents	7
106	Avocadogerms	7
106	StarCookiees_	7
106	Pumpkin_P_Patch	7
106	Nicserso	7
106	jnp_gaming	7
116	k_ce	6
116	BlancoFlaco	6
116	Cryptacity	6
116	jacxhadow	6
116	UncreativeArtist	6
116	Chromary	6
116	WET_WET_WET	6
116	thewindmillman	6
116	PaperCanvas	6
116	JESS_THE_RERE	6
116	Shogunite	6
116	Buuck_	6
116	SkateboardR6	6
116	_Mythic____	6
116	BlankityMcBlank	6
116	PortlyPete69	6
116	MilleGrug	6
116	Eczbek	6
116	Iamthejo	6
116	Legendosh	6
116	Sral7	6
116	The_SlideV5	6
138	Merv__	5
138	Sleek_Storm_721	5
138	I_Am_Mushkin	5
138	bigstankyy	5
138	CoffeeNoir	5
138	Gregward_Smith	5
138	Frxnkz	5
138	TheThomas69	5
138	Secret_Canary	5
138	set67	5
138	thescout7	5
138	Winklepicker279	5
138	CarltheCuck	5
138	U_Mos_	5
138	SvenskaSara	5
138	Hiryu27	5
138	Rasmanden	5
138	Syropatathe	5
138	MinuteMira	5
138	DarlaMeow	5
138	claivin	5
138	MAns_44	5
138	Myntsys	5
138	Soplight	5
138	tsitrawhy	5
138	LeeMcGee30	5
138	Powowowow	5
138	calamariclam_I	5
166	Allchemy	4
166	livingdaydreams	4
166	lorywithay	4
166	IgnoredBee	4
166	Swexti	4
166	dopplexd	4
166	NieToksikpl	4
166	Crowman1	4
166	4774	4
166	eviltunix	4
166	Rumpletaezer	4
166	impossibleteapot	4
166	The11thDoctor	4
166	Onennon	4
166	Maenara	4
166	Lord_Jord	4
166	masskedman	4
166	emreknugrlu	4
166	pretty_pink_reno	4
166	ProfessorDiaper	4
166	DarkLawD	4
166	kyouma777	4
166	SvenskaHugo	4
166	Segotep999	4
166	__tomato	4
166	_TCARREIRA_	4
166	obzii	4
166	taengoos	4
166	vandmanden	4
166	annebolyn	4
166	Teebone15	4
197	CueMix	3
197	Hpdinosaur	3
197	Wooptey	3
197	RebelAndroid	3
197	the_fireminer	3
197	Franco093	3
197	AlazelTheReal	3
197	SpaceGrenadier	3
197	Tersea_	3
197	Notta	3
197	TheSecondLord	3
197	12Magner05	3
197	GingerNeutron	3
197	G1ldor	3
197	Fullut	3
197	Masssonnn	3
197	mwrty	3
197	Awyrlas	3
197	Xalithia	3
197	2Stout	3
197	benediktine1	3
197	mariominejedi	3
197	CosmicStardustt	3
197	Skylord_Luke	3
197	Elastiq	3
197	Nicky19	3
197	GooseWithin	3
197	Inbefour	3
