rank	username	minecraft:killed_by/minecraft:zombified_piglin
1	eitanzaki	100
2	noam464	36
3	hm947	33
4	ShedJr_	25
4	Jackattack53	25
6	oscminus	23
7	EcksD	22
8	Groovy_MoonBird	18
9	HellsSponge	17
9	StarCookiees_	17
11	skroobiez	15
12	kekhon	14
13	beeperbeeper5	13
13	PigDab	13
13	FreakGenius	13
13	Zoeyfortnite	13
17	Di_infiri	12
17	33sudo	12
17	Segotep999	12
20	Spacewardharpy7	11
21	NomadicRobin_	10
21	YungMaki	10
21	annebolyn	10
24	T045RTY	9
24	thescout7	9
24	luseis	9
27	joethahobo	8
27	SuperPooch06	8
27	Hyp3rion_	8
27	Tyrannosplart	8
27	claivin	8
27	AltnumberF4	8
33	NatalieTW	7
33	I_Am_Mushkin	7
33	rarrq	7
33	bloodbiter	7
33	TheDiamondCG	7
33	cedric72	7
33	Kura2218	7
33	Kowcio_	7
33	Ezekson	7
33	Nicserso	7
43	Ryan_GEMS	6
43	set67	6
43	gcaisawesome	6
43	thewindmillman	6
43	BartekB19	6
43	Nargotah	6
43	MilleGrug	6
50	lorywithay	5
50	Mahoose	5
50	Cryptacity	5
50	Nach0Bear	5
50	Awyrlas	5
50	Arceus1975	5
50	Werbe	5
50	blackeemperor	5
50	LetsDoItLive	5
50	djancak	5
50	TechnoNinja64	5
50	h2p_emrld	5
62	pintsizedrogue	4
62	BPTY4618	4
62	BlancoFlaco	4
62	lotarp	4
62	m_be9	4
62	Fullut	4
62	Kubelz	4
62	Blaiku	4
62	Groundler	4
62	wwwwinnebagoooo	4
62	PortlyPete69	4
62	CalebDHawk	4
62	fffMike	4
62	hermmm_	4
76	Mr_Byzantine	3
76	6king6colt6	3
76	SaucyDark	3
76	Swexti	3
76	mwrty	3
76	himak1	3
76	r123moore	3
76	Zythose	3
76	AnnieBathory	3
76	Akoot_	3
76	Lord_Jord	3
76	yulgur1	3
76	Blu3beast	3
76	WyngGoy	3
76	_Mythic____	3
76	Njensen7	3
76	Jimb0nat0r	3
76	PlasticOtari	3
94	CLG_Kata	2
94	Frozil20	2
94	bigstankyy	2
94	gren_ben	2
94	abdomera	2
94	CoffeeNoir	2
94	Lez_	2
94	SpaceGrenadier	2
94	Euclidoris	2
94	Saucepeh	2
94	Raspberry_Sodas	2
94	Secret_Canary	2
94	500am	2
94	crying_wolf_13	2
94	UncreativeArtist	2
94	Xalithia	2
94	XboxPanda	2
94	Kakolbus	2
94	bl1ss0	2
94	burbankbuilder28	2
94	SvenskaSara	2
94	FishyBoy3811	2
94	Leyna3	2
94	Wowful	2
94	EdGalbraith	2
94	emreknugrlu	2
94	AstreaTSS	2
94	Racengan	2
94	MS_Pryxx	2
94	mihimihimihi	2
94	BruhBag	2
94	PirreJR	2
94	jnp_gaming	2
94	Powowowow	2
94	2blox_	2
94	Yamdalorian	2
130	JimmyTISC	1
130	Zee_zey	1
130	_Virify_	1
130	peachfuzz1267	1
130	PazinGaming	1
130	Merv__	1
130	ECstardust	1
130	Sleek_Storm_721	1
130	KarlKaek	1
130	MoonWatcher19	1
130	omariacts	1
130	Bad_At_Names_Guy	1
130	Killercatty78	1
130	LagVibes	1
130	Franco093	1
130	SyntheticSurgeon	1
130	ZaneABrain	1
130	SOA1RR	1
130	Kuragari_	1
130	Archsam	1
130	gaziter10	1
130	ccwildfire1	1
130	teqilas	1
130	Whiterooster001	1
130	Ssor69	1
130	heckface	1
130	fuyyuu_oke	1
130	jushykins	1
130	Hydro___________	1
130	Moyd_	1
130	TheThomas69	1
130	ProfessorBee	1
130	xX_HaroldHolt_Xx	1
130	_Dean_123	1
130	excelsionprime	1
130	4774	1
130	ciemacigans	1
130	theonlymagikarp	1
130	Covalents	1
130	Touched_Bread	1
130	ARandomHedge	1
130	DermeinUser	1
130	moderncraft	1
130	Winklepicker279	1
130	FlashingDemon	1
130	Chromary	1
130	hanaryheatwave	1
130	WET_WET_WET	1
130	Boipl	1
130	lahavmor	1
130	Krowuss	1
130	Felenov	1
130	iElijah	1
130	DanielMmm	1
130	Moofyman	1
130	AAArcade101	1
130	Samificator	1
130	PaperCanvas	1
130	Huic_ostiarius	1
130	zToasty69z	1
130	HolyVenom	1
130	lizardfightclub	1
130	wezzzi	1
130	Hahaa_0	1
130	ReSynced	1
130	Inbefour	1
130	aldplaysmc	1
130	AspenLightVT	1
130	the_russell1611	1
130	kalzor	1
130	El_Jalapeno	1
130	pretty_pink_reno	1
130	fluddd	1
130	MightyWertu	1
130	the__Reaper4999	1
130	SingedBread	1
130	Kossac	1
130	Toriankel	1
130	RaiaMala_	1
130	Warlord324	1
130	LazySupport00	1
130	monky_irl	1
130	jinklenuttz	1
130	Ze_BaronKrigler	1
130	Timeover05	1
130	pixelviolin	1
130	Spenduh	1
130	SammiWolfGirl	1
130	Nekomin0	1
130	obzii	1
130	Glumb0	1
130	Sheldor097	1
130	jcool7	1
130	elliebelle107	1
130	MissCeleste7	1
130	mobunni	1
130	ConnorDanky_	1
130	BreadBacon	1
130	Wolverine4302	1
130	little_dUki	1
130	Enderxz3	1
130	Legendosh	1
130	skitzxo	1
130	calamariclam_I	1
130	trexgb	1
130	Zcolt69	1
130	FishisTTV	1
130	diggydog67	1
130	00000000-0000-0000-0009-01faf4342590	1
