rank	username	minecraft:mined/minecraft:acacia_door
1	Mr_Byzantine	20
2	beeperbeeper5	14
3	Winklepicker279	9
4	Kakolbus	8
5	paranoid_plant	7
5	Kowcio_	7
5	EcksDofficial	7
8	Chuvacevedo	6
8	EveryonesUncle	6
10	EMC_	5
10	Kubeusz2010	5
12	ShedJr_	4
12	thewindmillman	4
12	SingedBread	4
12	sebastiensaborio	4
12	Smoke____	4
17	Mahoose	3
17	joethahobo	3
17	set67	3
17	MyNameIsDakar	3
17	Freak_Genius	3
17	DeGodz4life	3
17	Dusk_95	3
17	cichy096	3
17	smogfrog	3
26	HBA00_	2
26	Stright_	2
26	gcaisawesome	2
26	noam464	2
26	OtariCharlie	2
26	RedcatVII	2
26	YungMaki	2
33	pintsizedrogue	1
33	Groovy_MoonBird	1
33	Drlzyy	1
33	noodlepack	1
33	Kubelz	1
33	King_Pancake1	1
33	MousePlays	1
33	TheShyPig	1
33	Leyna3	1
33	Lord_Jord	1
33	starbits140	1
33	Spenduh	1
33	fffMike	1
33	LeeMcGee30	1
33	tartanboy	1
33	Legendosh	1
