rank	username	minecraft:mined/minecraft:black_banner
1	Mahoose	76
2	Historical_Sand	57
3	rarrq	52
4	Eraxa	51
5	beeperbeeper5	42
6	Akoot_	35
7	kekhon	32
8	lordpipe	29
9	fluddd	28
10	Legendosh	23
11	eitanzaki	18
12	Werbe	15
12	Enderxz3	15
14	TheSecondLord	13
14	Di_infiri	13
16	Hyp3rion_	12
16	jnp_gaming	12
18	joethahobo	11
18	LexMakesHistory	11
18	HellsSponge	11
18	Blaiku	11
18	Eczbek	11
23	500am	9
23	FelixPSY375	9
23	Sral7	9
26	Blackberry1310	8
26	Blu3beast	8
26	ConnorDanky_	8
29	BobDeBouwer1337	7
29	luseis	7
29	TheTommyGun63	7
29	Hermanni__	7
33	pintsizedrogue	6
33	PazinGaming	6
33	teslawolf38	6
33	ShedJr_	6
33	Snowflowe	6
33	LAVA129	6
33	sp00ky_ghost977	6
33	YungMaki	6
33	Soplight	6
33	KingMatthew506	6
33	xolstoi	6
44	Alteriity	5
44	Mattesco	5
44	FreakGenius	5
47	Cryptacity	4
47	MattieHD	4
47	fade_emerge78823	4
47	Stiar	4
47	noam464	4
47	Arceus1975	4
47	burbankbuilder28	4
47	AlexxO_o	4
47	SaintJosie	4
47	NameGenerat0r	4
47	BlankityMcBlank	4
47	SammiWolfGirl	4
47	Steelynan	4
47	Ezekson	4
47	EcksD	4
62	hm947	3
62	Lez_	3
62	Maenara	3
62	Inbefour	3
62	lillips	3
62	DarlaMeow	3
62	Spacewardharpy7	3
62	WyngGoy	3
62	tsitrawhy	3
62	Smoke____	3
72	Krasnal1337	2
72	Groovy_MoonBird	2
72	I_Am_Mushkin	2
72	SaucyDark	2
72	MrExplorer	2
72	set67	2
72	thescout7	2
72	TheDankPlatypus	2
72	gabriels543	2
72	RobotMinion101	2
72	Onennon	2
72	binman420	2
72	_Karmaa	2
72	jacobsoy	2
72	Racengan	2
72	Leithz6	2
72	MakeHistory157	2
72	Kowcio_	2
72	__tomato	2
72	jcool7	2
72	Njensen7	2
72	Kubeusz2010	2
72	cichy096	2
72	bladeefan2009	2
96	JohnnyFyes	1
96	CloroxBleach385	1
96	Merv__	1
96	EMC_	1
96	KarlKaek	1
96	Incinere	1
96	Natty	1
96	Huwulling	1
96	Bowba123	1
96	TheFlfthHorseman	1
96	jushykins	1
96	ProfessorBee	1
96	TheDiamondCG	1
96	xxPipperDipperxx	1
96	Mobstr	1
96	CarltheCuck	1
96	Jackattack53	1
96	SuperPooch06	1
96	_Boipl_	1
96	CrateOfBoxes	1
96	pappaberg	1
96	ApophisNova	1
96	TheShyPig	1
96	NomadicRobin_	1
96	audiocracked	1
96	Deathkob	1
96	rotten_mango	1
96	SkateboardR6	1
96	MovingFish7	1
96	Dusk_95	1
96	moolerbooler	1
96	Seashimi	1
96	Optiprimus	1
96	xzvu	1
96	Luigipunch989	1
96	SpacesickPrism	1
96	Sheldor097	1
96	MyNamaSheff	1
96	Nicserso	1
96	UrbanPlanningEx	1
96	TechnoNinja64	1
96	PlasticOtari	1
96	calamariclam_I	1
