rank	username	minecraft:mined/minecraft:blackstone
1	Smoke____	33631
2	TheSecondLord	27211
3	Snowflowe	23757
4	NomadicRobin_	23472
5	EcksD	22161
6	lizardfightclub	21787
7	Zythose	20069
8	RebelAndroid	19483
9	thewindmillman	18018
10	Enderslayerxz3	17306
11	EveryonesUncle	14591
12	Miko_Fullbuster	14167
13	beeperbeeper5	13190
14	Cowison	10777
15	pintsizedrogue	10695
16	Strangemonkey71	10594
17	Winklepicker279	10273
18	Deathkob	10154
19	Dedalus36	10089
20	rarrq	8883
21	Mattesco	8576
22	himak1	8289
23	500am	7977
24	ogoa	7621
25	mwrty	7362
26	Legendosh	7252
27	SingedBread	7184
28	gcaisawesome	7072
29	Spacewardharpy7	6838
30	12Magner05	6297
31	Fullut	6235
32	Blackberry1310	5661
33	eitanzaki	5623
34	set67	5553
35	Dusk_95	5066
36	YungMaki	4758
37	TheShyPig	4728
38	noam464	4606
39	Yatitay	4070
40	Kowcio_	4036
41	Awyrlas	3446
42	Menthas	2938
43	Lutres_Torane	2871
44	FishyBoy3811	2862
45	CoffeeNoir	2849
46	Werbe	2764
47	Freak_Genius	2681
48	Eraxa	2528
49	SkateboardR6	2521
50	Lord_Jord	2322
51	ApophisNova	2281
51	MyNamaSheff	2281
53	Ezekson	2217
54	KG1999	2059
55	PigDab	2047
56	Hermanni__	1927
57	_Virify_	1922
58	KeruNatsema	1803
59	gustarbite	1704
60	XboxPanda	1651
61	CalebDHawk	1609
62	T045RTY	1599
63	BobDeBouwer1337	1572
64	BlancoFlaco	1560
65	monky_irl	1532
66	jacxhadow	1496
67	kekhon	1464
68	r123moore	1438
69	burbankbuilder28	1378
70	RadarHz	1373
71	Rebytre	1362
72	HolyVenom	1349
73	ProfessorDiaper	1341
74	benediktine1	1308
75	joethahobo	1254
76	_Karmaa	1246
77	Kubeusz2010	1231
78	NameGenerat0r	1200
79	Marbz_	1192
80	bigstankyy	1152
80	MSK__	1152
82	livingdaydreams	1143
83	RoskobiOne	1142
84	Ryker	1139
85	Kakolbus	1129
86	Groovy_MoonBird	1121
87	djancak	1115
88	pixelviolin	1098
89	CliffEmAll	1077
90	SammiWolfGirl	1021
91	Di_infiri	966
92	DarkS0L	964
93	NinjaKnifeKill	936
94	hm947	913
95	jnp_gaming	906
96	M_Patata	887
96	DemTechAlpha	887
96	MasterNueve	887
99	SuperPooch06	885
100	Akoot_	880
101	MAns_44	842
102	_Yonk_	840
103	KartivGal	839
104	Skylord_Luke	832
104	Nycteus_	832
106	AltnumberF4	806
107	JEWISHBadenBeele	772
108	Frozil12	764
109	_NieToksikpl_	756
110	Wooptey	750
111	07shiny	746
112	PhantomsGhost_	738
113	soundad	737
114	PortlyPete69	736
115	fanofbands101	730
