rank	username	minecraft:mined/minecraft:brick_slab
1	Steelynan	2272
2	Di_infiri	1714
3	Merv__	1048
4	EcksDofficial	736
5	KarlKaek	391
6	Mr_Byzantine	363
7	Mahoose	325
8	_stets	308
9	wickedword	299
10	PlasticOtari	284
11	TheShyPig	270
12	NameGenerat0r	261
13	PigDab	229
14	Eraxa	197
15	ImpavidArcher	194
16	burbankbuilder28	190
17	YungMaki	187
18	ReyTheLegend	182
18	_3Stump_	182
20	epiksk8erduck	177
21	PhantomsGhost_	170
22	SaucyDark	169
23	kekhon	142
24	thewindmillman	129
25	Soplight	128
26	beeperbeeper5	126
27	Fullut	117
28	NotMeanttoChange	114
29	AgressiveEggdog	112
30	Enderslayerxz3	109
31	Kakolbus	91
32	Diavri	88
33	__tomato	78
34	John6970	72
35	erkada	67
36	Frozil12	66
37	ShedJr_	64
37	RodSerlingCringe	64
39	El_Jalapeno	60
40	Hpdinosaur	58
41	DarlaMeow	57
42	Deathkob	56
43	Spacewardharpy7	53
44	FGamerJ	44
45	stahouo	43
46	RebelAndroid	35
46	_Bguette_	35
48	Onennon	33
49	500am	31
50	Jackattack53	28
50	Jiminie	28
52	Smoke____	27
53	NNikitas	26
54	peach0s	24
54	EveryonesUncle	24
56	rarrq	21
57	Doom_melon	20
58	Shin69	19
59	2Stout	17
59	NomadicRobin_	17
61	SkateboardR6	16
62	Historical_Sand	15
62	Freak_Genius	15
64	Jiminbub	14
64	wobn	14
66	tuckerdoodle	13
67	himak1	12
67	Akoot_	12
67	MyNameIsDakar	12
67	SexcMf	12
71	Quotary	10
72	joethahobo	8
72	cowgirlkasia	8
74	Nekomin0	7
74	oxfordschool	7
74	TechnoNinja64	7
77	LotusProject	6
77	Wowful	6
77	420BreadLizard	6
77	fkGrim	6
77	Njensen7	6
82	eitanzaki	5
82	Inchef	5
82	Barlycorn	5
82	Ezekson	5
86	titanlax	4
86	SteveCraftBlocks	4
86	tobinwilliams	4
86	Sky_light_KING	4
86	DemTechAlpha	4
86	UCP_TheKingK	4
86	Jordan_R	4
93	SpaceGrenadier	3
93	TheSecondLord	3
93	ogoa	3
96	Dedalus36	2
96	Blackberry1310	2
96	TheThomas69	2
96	intropass	2
96	Hoshi	2
96	noam464	2
96	_naturell	2
96	Inbefour	2
96	Crumbls	2
96	Steven1282598	2
96	SingedBread	2
96	Eczbek	2
96	Nicserso	2
109	Incinere	1
109	Spaghettatron	1
109	roxycherry	1
109	MinttyFressh	1
109	BilboBaggins23	1
109	Karetoko	1
109	0nly_sn1per	1
109	RobotMinion101	1
109	thgrocks	1
109	chipklip	1
109	HellsSponge	1
109	fluddd	1
109	lordpipe	1
109	KG1999	1
109	Deguns123	1
109	Dreamdbr14	1
109	Hermanni__	1
109	Skippeh	1
