rank	username	minecraft:mined/minecraft:brown_mushroom
1	EMC_	1270
2	oscminus	1221
3	Hyp3rion_	1076
4	noam464	946
5	mihimihimihi	630
6	EngagedGrub41	553
7	MightyWertu	535
8	Yamdalorian	521
9	thewindmillman	519
10	Sral7	504
11	HellsSponge	487
12	claivin	432
13	Jackattack53	427
14	Enderxz3	338
15	hanaryheatwave	334
16	Legendosh	324
17	500am	323
18	MattieHD	320
19	k_ce	281
20	Di_infiri	278
21	MoistMicrowave	249
22	eitanzaki	247
23	Blaiku	240
24	SammiWolfGirl	220
25	beeperbeeper5	217
26	Akoot_	216
27	luseis	197
28	Hoid_the_Roamer	187
29	FreakGenius	184
30	Lord_Jord	175
31	Blackberry1310	165
32	TechnoNinja64	162
33	calamariclam_I	156
34	mwrty	151
35	miramyu	148
36	Drewen24	147
37	ProfessorBee	143
38	YungMaki	142
39	joethahobo	139
40	Frozil20	138
40	_Nuf	138
42	kubinek69	137
43	ElectricDragon81	130
44	SpacesickPrism	129
45	Apollo_993	125
46	m_be9	117
47	Werbe	115
48	bloodbiter	114
49	pintsizedrogue	111
50	MyNameIsJobo	110
51	Mahoose	109
52	Historical_Sand	106
53	Invintic	100
54	j5ylim	93
55	TheShyPig	92
56	U_Mos_	89
57	Kakolbus	83
58	stavgod	81
59	rarrq	80
59	DanTheBuilderino	80
61	xxPipperDipperxx	79
61	GravitySaint	79
63	q_wq	77
63	Lez_	77
63	lordpipe	77
66	Razzgriz	75
66	PlasticOtari	75
68	ratglock	71
69	thescout7	70
70	Jovaphobic	68
70	Groovy_MoonBird	68
72	_TCARREIRA_	66
72	hermmm_	66
74	PigDab	65
74	MakeHistory157	65
76	WyngGoy	63
77	Batoser	61
77	TheSecondLord	61
77	__Fanda__	61
77	2extreeme	61
81	kekhon	60
81	Snowflowe	60
81	Hahaa_0	60
81	sp00ky_ghost977	60
81	WYFYoyo	60
86	Kubelz	59
87	Inbefour	55
88	fluddd	54
88	__tomato	54
90	PhantomsGhost_	53
90	RebelAndroid	53
90	DarkFisto	53
93	lorpus	51
94	ECstardust	50
94	Ssor69	50
94	Jimb0nat0r	50
97	diggydog67	49
98	Mr_Byzantine	48
98	301851	48
98	ReflexCode	48
98	Decaying_Lotus	48
98	Zoeyfortnite	48
103	EcksD	47
104	pixelviolin	46
104	Luigipunch989	46
106	PazinGaming	45
107	YellowpowR	43
108	Mr_Sun15	42
109	Deu_Stew	41
110	TheSeismicDuck	40
110	AstreaTSS	40
112	Vizzoid	39
113	Spacewardharpy7	38
113	Steelynan	38
113	Ezekson	38
116	MilleGrug	37
117	Sleepy_Time_	36
117	gabukun_	36
119	AuroraValkyrie	35
119	Malorn_Aetherius	35
119	Moofyman	35
122	nocturne78	34
122	M_Patata	34
122	Windo_licker	34
122	MAns_44	34
122	Xclax101	34
122	MasterNueve	34
122	Celeste_121	34
122	OkguyDan	34
130	Deathkob	33
130	stellarjay	33
132	Kubeusz2010	32
132	sideofbbq	32
134	livingdaydreams	31
134	Nicserso	31
136	Gzrdy	30
137	TooManyDuck	29
137	CoffeeNoir	29
137	MSK__	29
137	tobinwilliams	29
137	ApophisNova	29
137	ReSynced	29
137	MyNamaSheff	29
137	Powowowow	29
145	TooPure2	28
145	Gregward_Smith	28
147	LetsDoItLive	27
147	00000000-0000-0000-0009-01ff0c3e5e4f	27
149	PhantomBionic	26
149	Guillemet	26
149	SpicyMeatballs	26
149	Paintz	26
149	Rumpletaezer	26
149	jambvds	26
155	Inchef	25
155	drumine	25
155	Soplight	25
158	Z3braYTIL	24
158	Tyrannosplart	24
158	EfficientC52	24
158	Templar_David	24
158	Kowcio_	24
158	EtherealEspresso	24
158	Rainaldus	24
165	Optiprimus	23
166	FujiBS	22
166	Sleek_Storm_721	22
166	F0mpel	22
166	ooga47	22
166	LuceImaginary	22
166	QueenShuvi	22
172	MamaMarinara	21
172	DinoDoctor_	21
172	ImpavidArcher	21
172	FirsTimeGamingTV	21
172	Fullut	21
172	AnnieBathory	21
172	skelctal	21
172	EveryonesUncle	21
172	sufjanlover	21
172	censorsheep	21
182	Huwulling	20
182	gilesmcriles	20
182	poopybh	20
182	ItzYaBoiPicard	20
182	Russiancat1	20
182	Njensen7	20
182	smogfrog	20
189	NatalieTW	19
189	Froste131	19
189	RoskobiOne	19
189	dopplexd	19
189	Crasswolf	19
189	mariominejedi	19
189	Fast_Turtle	19
196	Boogaloo242	18
196	Useless_Relic	18
196	Arceus1975	18
196	GigaSl	18
196	THEKINGLyric10	18
196	djancak	18
196	athereall	18
196	vandmanden	18
204	PizzaJake	17
204	Prismyst	17
204	samtrid	17
204	gcaisawesome	17
204	Nohbu	17
204	TheDankPlatypus	17
204	ZeroAbyssTTV	17
204	burbankbuilder28	17
204	Kynigito	17
204	Nadhorion	17
204	Mr_Froxy	17
204	kkatsuragi	17
204	ComplexSquirrel	17
217	Merv__	16
217	ColeSnyder	16
217	CedeMC	16
217	QuiCreans	16
217	jushykins	16
217	Fullbit_	16
217	SellyZ	16
217	WET_WET_WET	16
217	Zythose	16
217	NomadicRobin_	16
217	ori0le	16
217	Freedrik	16
229	Zlatovlas	15
229	DermeinUser	15
229	SlayerCrypto	15
229	AJplaysMC_	15
229	masskedman	15
229	StinkyDiplomat	15
229	Vorlice	15
229	babyjimmyneutron	15
229	Eraxa	15
229	Moetis	15
239	6king6colt6	14
239	Item_Store	14
239	FreddyFart	14
239	marumochis	14
239	xyfrs	14
239	bothan13	14
239	xzvu	14
239	DkansK	14
247	Tolhart	13
247	boysnort	13
247	SPUDonSTEROIDS	13
247	mikiagent025	13
247	jedi_george	13
247	Boipl	13
247	ebanana	13
247	IAmTheWalrus910	13
247	Pumpkin_P_Patch	13
247	bitsplease	13
247	MissCeleste7	13
247	Apicomplexa	13
247	jnp_gaming	13
260	SaltineDream	12
260	TheBlackDeth	12
260	MrExplorer	12
260	SharpDev	12
260	CosmicStardustt	12
260	fragrantmonke444	12
260	Chuvacevedo	12
260	bee_gorl	12
260	Shiirazu	12
260	JESS_THE_RERE	12
260	Manaateee	12
260	Heisenbberrg	12
272	Bandito_Roamer	11
272	TuesdayEpisode	11
272	Cryptacity	11
272	ashetrays	11
272	Tiberonus	11
272	potato292	11
272	LavenderBi1ch	11
272	DSYisDizzy	11
272	r123moore	11
272	yheece	11
272	Ideltic	11
272	XeroByMyth	11
272	deavol	11
272	Meatlaugh	11
272	OverallConcept	11
272	Blu3beast	11
272	Groundler	11
272	AvaRosey	11
272	SvenskaHugo	11
272	Bawbman	11
272	HuangMeiHua	11
272	Oxygen16	11
294	H0UNDFRMH3LL	10
294	No_Bena	10
294	CLG_Kata	10
294	dudcreeper	10
294	BPTY4618	10
294	burpboypower	10
294	Ladder_Jockey	10
