rank	username	minecraft:mined/minecraft:chest
1	HellsSponge	5444
2	joethahobo	4519
3	noam464	3170
4	Hyp3rion_	2525
5	Ezekson	2430
6	PigDab	2332
7	Freak_Genius	2179
8	Di_infiri	2127
9	eitanzaki	2112
10	Smoke____	1932
11	Spacewardharpy7	1909
12	pintsizedrogue	1877
13	El_Jalapeno	1855
14	thewindmillman	1706
15	beeperbeeper5	1657
16	Werbe	1568
17	Blaiku	1511
18	TheShyPig	1285
19	Kakolbus	1271
20	Snowflowe	1204
21	ROY4LE	1192
22	thescout7	1164
23	Legendosh	1156
24	Zythose	1087
25	kekhon	1026
26	fffMike	920
27	MightyWertu	918
28	EcksDofficial	906
29	Enderslayerxz3	882
30	lizardfightclub	853
30	Miko_Fullbuster	853
32	MyNameIsJobo	847
33	EveryonesUncle	825
34	TechnoNinja64	791
35	lordpipe	788
36	ApophisNova	772
36	MyNamaSheff	772
38	Mahoose	702
39	censorsheep	696
40	Lord_Jord	675
41	mwrty	660
42	Frozil12	658
43	teslawolf38	650
44	Inbefour	628
45	wTXop	621
46	jnp_gaming	612
47	Z3braYTIL	601
48	Mr_Byzantine	591
49	EcksD	569
50	Akoot_	531
51	Racengan	520
52	YungMaki	512
53	Historical_Sand	502
54	Zaridey	475
55	Jackattack53	474
56	m_be9	464
57	eviltunix	442
58	KarlKaek	438
59	Skippeh	436
60	Jovaphobic	434
60	PhantomsGhost_	434
62	Sheldor097	433
63	ShedJr_	432
64	EMC_	428
65	Malorn_Aetherius	413
65	Blackberry1310	413
65	sp00ky_ghost977	413
68	sebastiensaborio	401
69	Hisiste	395
70	Comma__	390
70	MilleGrug	390
72	Eraxa	388
73	Fullut	383
74	masskedman	376
75	Vorlice	362
76	Groundler	355
77	500am	350
78	Hiryu27	348
79	Natofthese	341
80	Bumpy419	334
81	gcaisawesome	320
82	ProfessorBee	319
82	Spenduh	319
84	rarrq	308
85	AlphaWolfPlaysMC	305
86	MakeHistory157	304
87	NoChumpChange	303
88	hcb238	294
89	oxfordschool	289
90	h2p_emrld	284
91	Hermanni__	276
92	ImpavidArcher	269
93	Groovy_MoonBird	261
93	chipklip	261
95	obzii	257
96	Rumpletaezer	255
97	Jackster03	253
98	_Virify_	241
99	Paintz	239
99	Onennon	239
101	Dedalus36	236
101	himak1	236
103	NameGenerat0r	235
104	12Magner05	234
105	TheSecondLord	232
106	H72l9w	231
107	Deathkob	229
108	__tomato	228
109	Merv__	224
110	Soplight	221
111	Xalithia	218
112	Xclax101	213
113	PlasticOtari	210
114	cedric72	209
114	sadvavilloso	209
114	Quotary	209
117	MattieHD	206
117	set67	206
119	Euclidoris	205
120	Swexti	204
120	OfficerAnvil	204
122	Prodiginus	201
123	_Nuf	197
124	Hoid_the_Roamer	196
125	xxPipperDipperxx	191
125	stuy9	191
127	Warlord324	189
128	Airem_Core	185
128	Kferno	185
130	Sky_light_KING	182
131	UrbanPlanner1978	179
132	Skylord_Luke	176
132	Kyrum2169	176
134	WyngGoy	175
135	HesDemonPants	174
136	cowgirlkasia	170
137	r123moore	167
137	Maenara	167
139	BlancoFlaco	166
139	XboxPanda	166
141	The_slideV3	163
142	_Dean_123	161
143	ayamefag	159
144	Arceus1975	158
144	Rasmanden	158
144	fluddd	158
147	Kowcio_	157
147	camando92	157
149	pixelviolin	155
150	BobDeBouwer1337	154
151	loveseeker	153
152	AuroraValkyrie	150
153	egglapras	149
154	Mewar	148
155	CliffEmAll	147
156	Drlzyy	143
157	ZeroKraken	141
158	PlzNoBM	140
159	KingMatthew506	138
160	ssleepless	137
160	diggydog67	137
162	Inchef	136
163	Ssor69	134
164	_Karmaa	133
165	I_Am_Mushkin	132
165	diamondgolem35	132
167	Donutt	130
168	TooManyDuck	129
168	gabriels543	129
168	lcvezra	129
168	SammiWolfGirl	129
172	lillips	128
172	MyNameIsDakar	128
172	Njensen7	128
175	wezzzi	127
176	Bandito_Roamer	125
177	audiocracked	124
177	Meatlaugh	124
179	6king6colt6	123
179	vandmanden	123
181	eiC_	122
182	NotMeanttoChange	121
183	picardred	120
183	Megarboh	120
183	SkateboardR6	120
186	MangoTheFish	119
187	Sral7	118
188	Chromary	116
189	Awyrlas	115
190	FishyBoy3811	114
191	PortlyPete69	113
191	Nicserso	113
193	Fildyr	112
194	pr33tu	106
194	emrekn	106
196	Factoroni	105
197	Kubelz	104
198	RebelAndroid	103
199	soundad	102
200	GingerNeutron	101
200	Rebytre	101
202	Hpdinosaur	100
203	k1ngGilgamesh	98
203	Syropatathe	98
203	Deerfoot	98
203	yatsuta	98
207	07shiny	97
208	LoboTheLobster	96
209	Shogunite	95
210	Marbz_	94
211	G1ldor	93
211	Lutres_Torane	93
213	TheDumbHuman	92
214	CollinMH06	91
214	yulgur1	91
214	BumbleBeever	91
214	stahouo	91
218	laron58	90
219	DarkS0L	89
220	Zoeyfortnite	88
221	burbankbuilder28	87
221	Fuhrer_Teemo	87
221	IAmTheWalrus910	87
224	CoffeeNoir	86
224	titanlax	86
224	mariominejedi	86
224	Blu3beast	86
228	2blox	83
229	T045RTY	82
