rank	username	minecraft:mined/minecraft:cobbled_deepslate_stairs
1	AltnumberF4	168
2	lordpipe	148
3	PlasticOtari	61
4	Kubelz	45
5	MinttyFressh	41
6	pintsizedrogue	40
7	Smoke____	33
8	hm947	26
8	SpicyDuckMan	26
10	thewindmillman	24
11	RoyalDorrr	23
12	TheSecondLord	21
13	joethahobo	17
14	WYFYoyo	15
15	MAns_44	8
16	CoffeeNoir	7
17	egglapras	6
17	mobunni	6
17	Enderslayerxz3	6
20	rarrq	5
21	The_Fulgurator	4
21	Rebytre	4
21	fluddd	4
24	CalebDHawk	3
25	TJawesome09	2
25	Spacewardharpy7	2
27	ImpavidArcher	1
27	Myszoaz	1
27	Blackberry1310	1
27	ATurtle4936	1
