rank	username	minecraft:mined/minecraft:cobweb
1	joethahobo	7844
2	pintsizedrogue	6210
3	Rumpletaezer	1975
4	CacheOut	1782
5	thewindmillman	1604
6	TheShyPig	1531
7	500am	1399
8	doublemaki	1351
9	lordpipe	1130
10	Kowcio_	1082
11	Yamdalorian	1073
12	HellsSponge	992
13	Enderxz3	961
14	00000000-0000-0000-0009-01ff0c3e5e4f	889
15	Snowflowe	844
16	The11thDoctor	718
17	TheSecondLord	696
18	Deathkob	657
19	_witch_craft_	633
20	FreakGenius	585
21	Spacewardharpy7	578
22	ThatMan_Dave	529
23	DarlaMeow	507
24	Mattesco	501
25	Steelynan	498
26	djancak	489
27	Nicserso	483
28	beeperbeeper5	469
29	Werbe	466
30	ConnorDanky_	454
31	Fullut	432
32	Di_infiri	412
33	EMC_	411
33	censorsheep	411
35	Blackberry1310	409
36	gcaisawesome	404
37	MattieHD	389
38	Ezekson	387
39	luseis	377
40	oscminus	374
41	cedric72	370
41	PaperCanvas	370
43	hanaryheatwave	368
44	Huwulling	367
45	Barlycorn	364
46	Manaateee	357
47	301851	353
48	fade_emerge78823	352
49	Hisiste	347
50	royal_2	342
50	corvidpartyfor6	342
52	12Magner05	341
53	Kubelz	340
54	RebelAndroid	338
55	Mahoose	334
56	sp00ky_ghost977	312
57	ROY4LE	304
58	Windo_licker	301
59	Bumpy419	298
60	_TCARREIRA_	297
61	Frozil20	289
62	Tolhart	283
62	claivin	283
62	Soplight	283
65	Hyp3rion_	271
65	Powowowow	271
67	yulgur1	269
68	Tyrannosplart	267
68	_3Stump_	267
70	Flores991	264
71	PigDab	263
72	wezzzi	262
72	Racengan	262
74	MelodyGaysharks	261
75	Maenara	254
76	_flud	248
77	Apollo_993	245
78	m_be9	241
79	U_Mos_	239
80	NameGenerat0r	233
80	Pumpkin_P_Patch	233
82	Krowuss	227
83	ECstardust	223
83	TheBananaKat	223
85	PeteO1995	221
86	NatalieTW	219
87	_Dean_123	217
88	Vetral1	210
88	KeruNatsema	210
90	Cryptacity	209
91	PlasticOtari	208
92	k_ce	207
92	Alteriity	207
94	MS_Pryxx	206
94	smogfrogg	206
96	QuiCreans	203
97	Winklepicker279	202
98	SuperPooch06	200
98	SUN_DREAM	200
100	Lukeee33	197
101	starbits140	196
102	Merv__	194
