rank	username	minecraft:mined/minecraft:cyan_bed
1	mariominejedi	65
2	eitanzaki	57
3	Jackattack53	32
4	TheShyPig	30
5	luseis	28
6	skitzxo	27
7	NameGenerat0r	23
8	Krowuss	20
8	Mattesco	20
10	4774	19
11	Ezekson	18
12	benediktine1	16
13	DarlaMeow	13
13	Legendosh	13
13	Jimb0nat0r	13
16	Vizzoid	12
16	2Stout	12
16	Lutres_	12
19	Shogunite	10
20	Merv__	9
20	TheDankPlatypus	9
20	FreakGenius	9
20	Zoeyfortnite	9
24	pintsizedrogue	8
24	CollinMH06	8
24	stellarjay	8
27	ActualPatbaf	7
27	Manaateee	7
29	Apollo_993	6
29	Kim_Jong_eel	6
29	Toriankel	6
29	CrazyPotater	6
33	gcaisawesome	5
33	yheece	5
33	Werbe	5
33	audiocracked	5
37	shineh10	4
37	Cryptacity	4
37	ProfessorBee	4
37	Secret_Canary	4
37	eclipseboi	4
37	fluddd	4
37	SvenskaHugo	4
37	Nicserso	4
37	little_dUki	4
46	Mr_Byzantine	3
46	JohnnyFyes	3
46	teslawolf38	3
46	SlavBylat	3
46	Base_Tempest	3
46	Mahoose	3
46	Crizma_	3
46	Fullut	3
46	xxPipperDipperxx	3
46	noam464	3
46	Kakolbus	3
46	Ebsen05	3
46	oscminus	3
46	Eerini	3
46	fw3xy74	3
46	Tyrannosplart	3
46	_Karmaa	3
46	claivin	3
46	El_Jalapeno	3
46	Blu3beast	3
46	Xclax101	3
46	Segotep999	3
46	Nekomin0	3
69	CLG_Kata	2
69	ItsColin11	2
69	SaphLaseer	2
69	Jackster03	2
69	beeperbeeper5	2
69	rarrq	2
69	Comma__	2
69	ThePoliteG	2
69	i2f8x4h8ro	2
69	Xalithia	2
69	thebaddruid	2
69	Skylord_Luke	2
69	FreddyFart	2
69	handsome_strong	2
69	RedcatVII	2
69	Hisiste	2
69	Soplight	2
69	MissCeleste7	2
69	annebolyn	2
88	Groovy_MoonBird	1
88	diminub	1
88	Frozil20	1
88	Hyugo	1
88	SaucyDark	1
88	Alphanzt99	1
88	m_be9	1
88	MrExplorer	1
88	kekhon	1
88	noodlepack	1
88	500am	1
88	G1ldor	1
88	UncreativeArtist	1
88	mwrty	1
88	r123moore	1
88	TylerDupree	1
88	John6970	1
88	thewindmillman	1
88	burbankbuilder28	1
88	WarMachina	1
88	Voxin2K	1
88	ApophisNova	1
88	Hyperphoenix42	1
88	MousePlays	1
88	FishyBoy3811	1
88	ADEXTV	1
88	Dabatha	1
88	TheSeismicDuck	1
88	Inbefour	1
88	lunkuku	1
88	THEKINGLyric10	1
88	iSammael	1
88	widgewee	1
88	lilguppy	1
88	TheEnderMan548	1
88	Kowcio_	1
88	Pumpkin_P_Patch	1
88	tsitrawhy	1
88	ItsJunoIGuess	1
88	CalebDHawk	1
88	erkada	1
88	hauspool	1
88	EcksD	1
88	MyNamaSheff	1
88	camando92	1
88	Kateesaur	1
88	Calbo_	1
88	TheWickedBird	1
