rank	username	minecraft:mined/minecraft:damaged_anvil
1	kekhon	69
2	noam464	54
3	Freak_Genius	51
4	Hyp3rion_	31
5	vandmanden	21
6	Chromary	17
7	eitanzaki	16
8	pintsizedrogue	15
8	Groundler	15
10	ShedJr_	13
10	joethahobo	13
10	LAVA129	13
13	Eraxa	12
14	beeperbeeper5	11
15	Blackberry1310	10
15	mwrty	10
15	RobotMinion101	10
15	Blaiku	10
19	Awyrlas	9
19	brofrickcheaters	9
21	lordpipe	8
21	KingMatthew506	8
23	Yatitay	7
23	Mahoose	7
23	fr_ser	7
23	Akoot_	7
23	KG1999	7
23	jnp_gaming	7
23	kinas45y5	7
30	elicobnoah	6
30	12Magner05	6
30	ApophisNova	6
30	Onennon	6
30	Racengan	6
30	MakeHistory157	6
30	Soplight	6
30	stahouo	6
30	Hermanni__	6
30	MyNamaSheff	6
40	Travasaur	5
40	error10101	5
40	ImpavidArcher	5
40	Swexti	5
40	500am	5
40	Fullut	5
40	Kamflame10	5
40	LotusProject	5
40	ROY4LE	5
40	Snowflowe	5
40	Hoid_the_Roamer	5
40	EcksD	5
40	PlasticOtari	5
53	Drlzyy	4
53	teslawolf38	4
53	rarrq	4
53	gcaisawesome	4
53	MangoTheFish	4
53	The_Fulgurator	4
53	DarlaMeow	4
53	Blu3beast	4
53	SkateboardR6	4
53	Ze_BaronKrigler	4
53	YungMaki	4
53	oxfordschool	4
53	Legendosh	4
66	Groovy_MoonBird	3
66	PhantomsGhost_	3
66	6king6colt6	3
66	bigstankyy	3
66	TooManyDuck	3
66	Incinere	3
66	gaziter10	3
66	Mewar	3
66	Zaridey	3
66	breadbowlgamer	3
66	King_Pancake1	3
66	pappaberg	3
66	Werbe	3
66	TheShyPig	3
66	Ender_Souls	3
66	SpookyDraggin	3
66	RoyalDorrr	3
66	Inbefour	3
66	lillips	3
66	claivin	3
66	AssEatrAndLicker	3
66	El_Jalapeno	3
66	Nycteus_	3
66	Frozil12	3
66	Steven1282598	3
66	Jij0	3
66	pixelviolin	3
66	PortlyPete69	3
66	sebastiensaborio	3
66	ZeroKraken	3
66	Kubeusz2010	3
66	Skippeh	3
66	MeetTheWollo	3
66	Smoke____	3
100	_NieToksikpl_	2
100	Houstonion	2
100	diamondgolem35	2
100	ssleepless	2
100	Hpdinosaur	2
100	NinjaKnifeKill	2
100	CliffEmAll	2
100	TheSecondLord	2
100	ProfessorBee	2
100	thescout7	2
100	himak1	2
100	Inchef	2
100	Stiar	2
100	Kakolbus	2
100	Marbz_	2
100	Giannism	2
100	loveseeker	2
100	gabriels543	2
100	Jackattack53	2
100	thewindmillman	2
100	_Boipl_	2
100	MustardDrinker	2
100	Hiryu27	2
100	PigDab	2
100	RodSerlingCringe	2
100	wezzzi	2
100	masskedman	2
100	NoChumpChange	2
100	Meatlaugh	2
100	GoofyBread	2
100	1442	2
100	Xclax101	2
100	MightyWertu	2
100	Razzgriz	2
100	ayamefag	2
100	yatsuta	2
100	djancak	2
100	Spenduh	2
100	lcvezra	2
100	fffMike	2
100	jcool7	2
100	Ezekson	2
100	Enderslayerxz3	2
100	TechnoNinja64	2
100	Earlesstrain4	2
145	TheBiggestFeller	1
145	Astronicky	1
145	RosaDoesMC	1
145	_Virify_	1
145	soundad	1
145	AuroraValkyrie	1
145	EMC_	1
145	Iagoku	1
145	Dedalus36	1
145	hm947	1
145	T045RTY	1
145	youhjjhhhjj	1
145	MOSS000	1
145	Historical_Sand	1
145	IWorkAtIkea	1
145	Upstro10	1
145	Cryptacity	1
145	Comma__	1
145	MattieHD	1
145	eclipseboi	1
145	Z3braYTIL	1
145	set67	1
145	TheHarryMeister	1
145	egglapras	1
145	Septemb3r	1
145	hcb238	1
145	CollinMH06	1
145	MyNameIsJobo	1
145	SlayerCrypto	1
145	Di_infiri	1
145	Norrhede	1
145	Arceus1975	1
145	Zythose	1
145	Bumpy419	1
145	Skylord_Luke	1
145	EtherealSilveon	1
145	Truckoss	1
145	KartivGal	1
145	Kynigito	1
145	_naturell	1
145	FishyBoy3811	1
145	lizardfightclub	1
145	Rasmanden	1
145	Maenara	1
145	Sky_light_KING	1
145	AlphaWolfPlaysMC	1
145	gustarbite	1
145	XxCookiequeenxX	1
145	fkGrim	1
145	ebanana	1
145	Soap_Bender	1
145	HellsSponge	1
145	MAns_44	1
145	Bloo2406	1
145	fluddd	1
145	SingedBread	1
145	Spacewardharpy7	1
145	MovingFish7	1
145	Airem_Core	1
145	radioactv_jelly	1
145	geekbird	1
145	Xovalt_	1
145	IAmTheWalrus910	1
145	LetsDoItLive	1
145	WyngGoy	1
145	layabout100	1
145	Strangemonkey71	1
145	TheEnderman548	1
145	07shiny	1
145	SvenskaHugo	1
145	robotemo	1
145	Kyrum2169	1
145	SSytex_X	1
145	SammiWolfGirl	1
145	obzii	1
145	PlzNoBM	1
145	UltraZombie	1
145	MilleGrug	1
145	Eczbek	1
145	TheOuterCore	1
145	OfficerAnvil	1
145	cichy096	1
145	smogfrog	1
145	Powowowow	1
145	EcksDofficial	1
145	diggydog67	1
