rank	username	minecraft:mined/minecraft:dark_oak_button
1	beeperbeeper5	84
2	500am	76
3	mihimihimihi	57
4	Mahoose	34
4	PhantomBionic	34
6	thewindmillman	33
7	oscminus	31
7	claivin	31
9	Cowison	29
9	Winklepicker279	29
11	MilleGrug	27
12	12Magner05	26
13	pixelviolin	25
14	ImpavidArcher	22
15	Merv__	17
15	thescout7	17
17	kekhon	15
18	eitanzaki	14
19	M_Patata	13
19	MasterNueve	13
19	xolstoi	13
22	IamCL4SSY	12
23	Karbl	11
23	Soplight	11
25	Fullut	10
25	FreakGenius	10
27	EcksD	9
28	Historical_Sand	8
28	titanlax	8
28	Kkanot	8
28	Druid95	8
32	CharlieButt	7
32	Zythose	7
32	luseis	7
35	noam464	6
35	lillips	6
35	jcool7	6
35	Ezekson	6
39	pintsizedrogue	5
39	joethahobo	5
39	m_be9	5
39	xxPipperDipperxx	5
39	TheShyPig	5
39	Akoot_	5
39	Lord_Jord	5
39	Lutres_	5
39	smogfrog	5
48	Ssor69	4
48	Blackberry1310	4
48	SharpDev	4
48	SellyZ	4
48	Hiryu27	4
48	ApophisNova	4
48	Maenara	4
48	UCP_TheKingK	4
48	MyNamaSheff	4
57	MunkaKris	3
57	k_ce	3
57	Mr_Byzantine	3
57	KingFaenor	3
57	EMC_	3
57	Arteriana	3
57	Lez_	3
57	Ozixar	3
57	jushykins	3
57	Kakolbus	3
57	AlphaWolfPlaysMC	3
57	Manaateee	3
57	The_slideV3	3
57	BumbleBeever	3
57	Optiprimus	3
57	YungMaki	3
73	Mr_Worthless	2
73	Napoleonpancake	2
73	SmashingPump	2
73	Ryan_GEMS	2
73	ITDV	2
73	Euclidoris	2
73	_Nuf	2
73	SteveCraftBlocks	2
73	lorpus	2
73	Dali1465	2
73	SuperPooch06	2
73	AnnieBathory	2
73	RobotMinion101	2
73	PigDab	2
73	Y_A_N_N_I	2
73	Lord_Zacler	2
73	JayToe	2
90	MuffinManzz	1
90	fanofbands101	1
90	teslawolf38	1
90	AshleeCW	1
90	KarlKaek	1
90	_Razaria	1
90	Prismyst	1
90	rarrq	1
90	Vizzoid	1
90	ThePoliteG	1
90	Tiberonus	1
90	Megarboh	1
90	emrekn	1
90	Tjhodskins19	1
90	Xalithia	1
90	Ecplosive	1
90	hanaryheatwave	1
90	Arceus1975	1
90	Rebytre	1
90	audiocracked	1
90	EveryonesUncle	1
90	_Bguette_	1
90	Blu3beast	1
90	Barlycorn	1
90	SkateboardR6	1
90	Spacewardharpy7	1
90	Lord_Doob	1
90	_Mythic____	1
90	SvenskaHugo	1
90	Kyrum2169	1
90	xzvu	1
90	Nekomin0	1
90	Hermanni__	1
90	Kubeusz2010	1
90	GigiDuru	1
90	CattSoup	1
90	Enderxz3	1
90	AdmiralSmoke	1
