rank	username	minecraft:mined/minecraft:dark_prismarine_stairs
1	xolstoi	1620
2	Fullut	483
3	PlasticOtari	300
4	EveryonesUncle	175
5	pintsizedrogue	169
5	TheShyPig	169
7	EcksD	166
8	rarrq	140
9	eitanzaki	138
10	12Magner05	129
11	Snowflowe	102
12	Smoke____	93
13	joethahobo	86
13	Steelynan	86
15	Mahoose	82
15	Spacewardharpy7	82
17	Ezekson	78
18	Barlycorn	73
19	Eraxa	72
20	CliffEmAll	68
21	TheSecondLord	66
22	Frozil20	63
23	lizardfightclub	59
24	Blaiku	57
25	Dusk_95	47
26	Arceus1975	46
27	YungMaki	44
28	Marbz_	43
29	ImpavidArcher	41
30	LittleBug562	34
31	beeperbeeper5	32
31	noam464	32
31	Lord_Jord	32
34	Enderxz3	30
35	MakeHistory157	29
36	PigDab	28
37	m_be9	26
38	Biites	25
39	Bumpy419	21
40	Maenara	16
41	groofles	15
42	2bolx_	14
43	gcaisawesome	13
43	Hyp3rion_	13
45	RoofTyler	12
45	stavgod	12
45	EngagedGrub41	12
45	Legendosh	12
49	Winklepicker279	11
49	h2p_emrld	11
51	diamondgolem35	9
51	lordpipe	9
53	KarlKaek	8
54	4383	7
55	Racengan	6
56	SmashingPump	5
56	HellsSponge	5
58	Mr_Byzantine	4
59	Lez_	3
59	Jackattack53	3
59	Soplight	3
62	thewindmillman	2
62	Werbe	2
62	Huic_ostiarius	2
62	Skippeh	2
66	C0by3llis	1
66	Smashic	1
66	Kkanot	1
66	MangoTheFish	1
66	Azmodan_246	1
66	binman420	1
66	Fuad_R	1
66	_Karmaa	1
66	SkateboardR6	1
66	SvenskaHugo	1
66	Eczbek	1
