rank	username	minecraft:mined/minecraft:deepslate_bricks
1	pintsizedrogue	2977
2	weabis	1431
3	thewindmillman	1107
4	Marbz_	859
5	CattSoup	527
6	RoskobiOne	471
7	Iamthejo	422
8	shrimp_flips	367
9	Ryker	358
10	groofles	356
11	rarrq	324
12	00000000-0000-0000-0009-01ff0c3e5e4f	300
13	Megarboh	274
14	LeEricc	269
15	mihimihimihi	266
16	ZoomieZoomie	243
17	Huwulling	231
18	YungMaki	208
19	fffMike	195
20	TheWildMateo	179
21	Jimi7hits	177
22	breadbowlgamer	147
22	luseis	147
24	MAns_44	131
25	Fuad_R	126
26	Winklepicker279	122
27	ItsDeltaMC	114
28	prizm_	110
29	Lutres_Torane	97
30	Masssonnn	96
31	tsitrawhy	95
32	12Magner05	91
33	HoltGrim	81
34	Sleepy_Time_	78
35	RoofTyler	77
36	sp00ky_ghost977	76
37	SquadMonster	73
38	Kowcio_	69
39	beeperbeeper5	65
40	Smoke____	57
41	Smashic	53
41	EngagedGrub41	53
43	Crowman1	51
43	Wowful	51
45	SvenskaHugo	47
46	Mattesco	45
47	StinkyDiplomat	44
48	Inchef	43
48	Arceus1975	43
50	IronArshXS	39
51	CoffeeNoir	38
52	RebelAndroid	36
53	jessewegottacook	35
53	Touched_Bread	35
55	Mr_Byzantine	34
56	ITDV	32
57	olliebollie48	31
58	kyouma777	29
59	TheSecondLord	27
60	hm947	26
61	IdeallyGrey	25
62	lizardfightclub	22
62	Spacewardharpy7	22
64	pixelviolin	21
65	ImpavidArcher	20
66	_Boipl_	19
66	ATurtle4936	19
68	500am	18
68	floodjon	18
70	Ezekson	17
71	Ev0luti0nz	16
71	diamondgolem35	16
71	TAKrules	16
71	fade_emerge78823	16
75	PlasticOtari	14
76	Jonafrog99	13
77	fReE_bAtWiNg	12
77	Meeerkat	12
79	Methalox1	11
79	RealGroot	11
81	PazinGaming	10
81	Solar_Power	10
83	MrKrabOnCoke	8
84	Lez_	7
84	Cellcorgi649	7
84	benediktine1	7
84	Ze_BaronKrigler	7
84	Enderxz3	7
89	EMC_	6
89	Mookle96	6
89	Jackattack53	6
89	Moofyman	6
89	BiggieDawg	6
94	FreakGenius	5
94	fluddd	5
96	DinoDoctor_	4
96	Da_Boss_Rani	4
96	KGTV	4
96	drunkeeez	4
96	Jeteight	4
96	Lord_Jord	4
96	GoofySilly	4
96	iSammael	4
96	gusstationwerker	4
96	00000000-0000-0000-0009-01f073f37a91	4
106	Merv__	3
106	Alteriity	3
106	SteveCraftBlocks	3
106	Hermanni__	3
110	SyntheticSurgeon	2
110	joethahobo	2
110	Skylord_Luke	2
110	Soplight	2
114	FazeObama69	1
114	Mahoose	1
114	Blackberry1310	1
114	ApophisNova	1
114	videogames_	1
114	AlexxO_o	1
114	Toasty_Tom	1
114	SpacesickPrism	1
114	MyNamaSheff	1
