rank	username	minecraft:mined/minecraft:end_stone_brick_slab
1	mwrty	1253
2	PigDab	420
3	TheShyPig	179
4	thewindmillman	161
5	Mahoose	152
6	NomadicRobin_	142
7	Sky_light_KING	126
8	oxfordschool	117
9	yulgur1	105
10	eitanzaki	104
11	fkGrim	101
12	elicobnoah	88
13	jcool7	79
14	chipklip	68
15	WET_WET_WET	63
16	Blu3beast	58
17	Spacewardharpy7	55
18	noam464	47
19	Arceus1975	36
20	12Magner05	34
21	DanTheBuilderino	30
22	33sudo	27
23	EcksD	25
24	Smoke____	24
25	MinttyFressh	23
25	Ender_Souls	23
25	Steelynan	23
28	NameGenerat0r	22
29	m_be9	21
30	mihimihimihi	18
31	Segotep999	17
32	TheSecondLord	15
33	500am	14
34	AuroraValkyrie	8
34	Freak_Genius	8
36	Hpdinosaur	7
36	ayqq	7
36	fred870d	7
39	MSK__	6
39	Blaiku	6
39	Hermanni__	6
39	jnp_gaming	6
43	Menthas	5
43	beeperbeeper5	5
43	Fullut	5
43	xxPipperDipperxx	5
43	monky_irl	5
48	NinjaKnifeKill	4
48	KartivGal	4
48	EveryonesUncle	4
48	TheEnderman548	4
48	Aryamanee	4
48	PlasticOtari	4
54	Historical_Sand	3
54	Mewar	3
54	Dusk_95	3
54	Ezekson	3
58	Sleek_Storm_721	2
58	KarlKaek	2
58	ImpavidArcher	2
58	hm947	2
58	TheThomas69	2
58	TJawesome09	2
58	Wowful	2
58	Fuad_R	2
58	Spenduh	2
58	Kubeusz2010	2
58	HesDemonPants	2
58	MeetTheWollo	2
70	HBA00_	1
70	Groovy_MoonBird	1
70	Drlzyy	1
70	RebelAndroid	1
70	PegLegPete93	1
70	Hyp3rion_	1
70	Rebytre	1
70	Hiryu27	1
70	MousePlays	1
70	Akoot_	1
70	fw3xywashere	1
70	binman420	1
70	HellsSponge	1
70	501g	1
70	MightyWertu	1
70	Racengan	1
70	SkateboardR6	1
70	WyngGoy	1
70	Eraxa	1
70	SvenskaHugo	1
70	IdeallyGrey	1
70	obzii	1
70	Winston_Ingram	1
70	tartanboy	1
70	EcksDofficial	1
