rank	username	minecraft:mined/minecraft:farmland
1	joethahobo	3273
2	Di_infiri	1961
3	pintsizedrogue	1061
4	wezzzi	828
5	MyNameIsDakar	735
6	Blackberry1310	689
7	stahouo	663
8	burbankbuilder28	581
9	kekhon	547
10	Freak_Genius	502
11	ApophisNova	487
11	MyNamaSheff	487
13	Smoke____	475
14	ayamefag	434
15	SquadMonster	351
16	T045RTY	341
17	El_Jalapeno	322
18	Historical_Sand	293
19	TheShyPig	288
20	Ezekson	273
21	Warlord324	245
22	Legendosh	240
23	YungMaki	235
24	rachcl	227
25	HellsSponge	220
26	Frozil12	215
27	bigstankyy	210
28	Arceus1975	205
29	Werbe	195
29	AssEatrAndLicker	195
31	Merv__	194
32	eviltunix	190
33	Bumpy419	185
34	Airem_Core	184
35	bruh072	181
36	MightyWertu	178
37	Racengan	176
38	MyNameIsJobo	175
39	Groovy_MoonBird	170
40	RodSerlingCringe	161
41	slkiey	156
41	BlueZabu	156
41	Soul_Atreus	156
44	KlausVonStiglitz	151
45	LeeMcGee30	150
46	claivin	145
47	crying_wolf_13	139
48	q_wq	131
48	Negriuke	131
50	Iagoku	127
50	Optiprimus	127
52	Katsuragi0243218	125
53	m_be9	124
54	Prodiginus	123
54	gilesmcriles	123
54	Onennon	123
54	PlasticOtari	123
58	RyuNeko932000	121
58	DrGrant	121
60	Meatlaugh	120
61	lizardfightclub	115
62	Ssor69	114
63	RadarHz	111
64	Comma__	108
65	Mr_Byzantine	107
65	tartanboy	107
67	JayToe	100
68	dopplexd	98
69	Fullut	97
69	Winklepicker279	97
71	ROY4LE	91
72	Kateesaur	89
73	EMC_	88
74	Luigipunch989	87
75	Incinere	86
75	_Karmaa	86
77	SingedBread	81
77	mawileite	81
77	TechnoNinja64	81
80	jnp_gaming	80
81	titanlax	78
82	pixelviolin	77
82	Soplight	77
82	ThatBurritoTh0	77
85	EveryonesUncle	75
85	EcksD	75
87	Euclidoris	73
87	nut_e	73
87	natajimi	73
90	Awyrlas	72
91	Lord_Jord	71
91	07shiny	71
93	thescout7	70
93	_TCARREIRA_	70
95	KarlKaek	69
95	impossibleteapot	69
95	jewbacaman	69
95	lcvezra	69
99	WarHammer3	67
100	OfficerAnvil	66
101	CharlieButt	65
102	Natty	64
102	Moetis	64
104	Akoot_	63
105	Ravenbie	60
106	H72l9w	59
106	Jackattack53	59
106	JESS_THE_RERE	59
109	DanTheBuilderino	58
110	toj__	57
111	Snowflowe	56
111	skelctal	56
111	diggydog67	56
114	Mowelan	55
114	rarrq	55
116	ExtraDumb	54
116	Natofthese	54
116	chipklip	54
119	Xalithia	53
119	Kryktal	53
121	killmeiamtraitor	52
122	ShedJr_	50
122	SUN_DREAM	50
124	__Fanda__	48
124	Ze_BaronKrigler	48
124	Cocoamallows	48
124	Powowowow	48
128	6king6colt6	47
128	picardred	47
130	Froste131	45
130	fffMike	45
132	beeperbeeper5	44
133	bloodbiter	43
133	djancak	43
135	Ripzch	42
136	SellyZ	41
136	Bazongoman	41
136	Ajax6	41
136	HesDemonPants	41
140	awesomeoneme	40
140	Spacewardharpy7	40
140	IAmTheWalrus910	40
140	Enderslayerxz3	40
144	Tolhart	39
144	intropass	39
146	Zythose	38
147	gcaisawesome	37
147	Soffbord	37
147	Hermanni__	37
147	TheOnlyRake	37
151	diamondgolem35	35
151	XboxPanda	35
151	sufjanlover	35
154	CoffeeNoir	34
155	Joestra	33
156	RatatJuice	32
156	Jackster03	32
156	MonitorLizards	32
159	Tommhh	31
159	Mahoose	31
159	Malorn_Aetherius	31
159	Maenara	31
159	fkGrim	31
159	starbits140	31
165	Cortexia	30
165	Rumpletaezer	30
165	War_Time_Leader	30
165	Fildyr	30
169	Aerqophs	29
169	Lord_Zacler	29
171	ssleepless	28
171	Kouridragon	28
173	Dan_Scha	27
