rank	username	minecraft:mined/minecraft:fern
1	MyNameIsJobo	1822
2	Prodiginus	1354
3	EveryonesUncle	1182
4	lcvezra	1173
5	500am	1122
6	Enderslayerxz3	1033
7	Hyp3rion_	449
8	Kiki_Majiki	446
9	rarrq	358
10	thewindmillman	353
11	NebulousBadger	344
12	HellsSponge	343
13	mwrty	330
14	El_Jalapeno	292
15	surfinggiraffejp	288
16	beeperbeeper5	255
17	Zythose	252
18	ROY4LE	245
19	pintsizedrogue	244
20	Jovaphobic	232
21	Meatlaugh	218
22	Fullut	217
23	Groovy_MoonBird	204
23	thescout7	204
25	__Fanda__	203
26	Corran_Dahgus	200
27	Bazongoman	193
28	OreoPenguin_	191
29	Cryptacity	189
29	lordpipe	189
31	cedric72	179
32	Smoke____	162
33	Mahoose	160
34	Nicky_H225	159
34	SvenskaHugo	159
36	PegLegPete93	151
37	TheShyPig	144
38	Steelynan	141
39	Blackberry1310	140
40	titanlax	136
41	Jiminie	135
42	TooManyDuck	133
43	Rumpletaezer	132
44	chipklip	131
45	RoskobiOne	130
45	RodSerlingCringe	130
47	Marbz_	129
48	KarlKaek	128
49	_big_shrimpin_	127
50	rotten_mango	124
51	claivin	121
52	Rebytre	118
52	BRRRN179	118
52	Maenara	118
55	wezzzi	116
55	pixelviolin	116
57	PigDab	111
58	MovingFish7	109
59	thgrocks	107
60	Toiton	105
61	fluddd	104
62	TAKrules	102
62	Windo_licker	102
64	xxPipperDipperxx	101
64	WET_WET_WET	101
66	EcksD	100
67	Akoot_	99
68	Aezekial	98
69	Drawgirll	95
70	TheMilkerOfCats	94
71	PlasticOtari	90
72	Bandito_Roamer	88
72	TechnoNinja64	88
74	Freak_Genius	84
75	chrolus	81
75	babycamm	81
77	Merv__	80
77	Unitas_isa	80
79	SSytex_X	79
80	Bumpy419	78
80	Zielo2017PL	78
82	Cambo5000	75
82	selectrix	75
82	VentiHilton	75
85	PhantomsGhost_	73
85	TheSecondLord	73
85	ibarker21	73
85	Nicole_Plus	73
85	Fizznut909	73
90	kinas45y5	72
91	KingMatthew506	70
92	squigglybones	69
92	Shavrin	69
94	Froste131	68
94	BlancoFlaco	68
94	FirsTimeGamingTV	68
94	XeroByMyth	68
94	TheTrueClipse	68
94	Inbefour	68
100	slkiey	66
100	RobotMinion101	66
102	Yellowpowr	65
103	SaucyDark	64
103	Ssor69	64
105	DarlaMeow	63
106	heysushii	61
106	SpicyMeatballs	61
106	Winklepicker279	61
106	Di_infiri	61
106	BronkerBrum	61
106	00000000-0000-0000-0009-01ff0c3e5e4f	61
112	epiksk8erduck	60
113	Mewar	59
114	stopfive	58
114	privatemeekly	58
116	fkGrim	57
117	noam464	56
118	ShedJr_	55
118	Donutt	55
120	eitanzaki	54
120	Russiancat1	54
