rank	username	minecraft:mined/minecraft:gravel
1	lordpipe	126124
2	TheSecondLord	119907
3	joethahobo	93831
4	Spacewardharpy7	77234
5	gcaisawesome	73443
6	Ezekson	62001
7	EcksD	61213
8	Enderslayerxz3	54557
9	PigDab	51305
10	pintsizedrogue	47128
11	TheShyPig	45917
12	noam464	44752
13	PhantomsGhost_	44476
14	Zythose	43074
15	Di_infiri	40200
16	HellsSponge	39304
17	YungMaki	38369
18	sebastiensaborio	37454
19	EMC_	36372
20	thewindmillman	36183
21	EveryonesUncle	34720
22	Blaiku	32898
23	Smoke____	29446
24	Werbe	29234
25	Snowflowe	28679
26	beeperbeeper5	28410
27	AssEatrAndLicker	27792
28	Natofthese	26946
29	NomadicRobin_	26745
30	Cowison	25233
31	eitanzaki	24420
32	Dedalus36	23640
33	500am	22624
34	Kakolbus	20094
35	Miko_Fullbuster	19385
36	Fullut	19281
37	Hyp3rion_	18494
38	m_be9	17266
39	claivin	16446
40	12Magner05	15747
41	SpaceGrenadier	15548
42	MeetTheWollo	14186
43	Hoid_the_Roamer	13839
44	Skylord_Luke	12989
45	yulgur1	12673
46	Franco093	12419
47	Deathkob	12010
48	Frozil12	11685
49	alderban107	10565
50	LordSpeed37	10078
51	Skippeh	10070
52	ApophisNova	9761
52	MyNamaSheff	9761
54	Lord_Jord	9724
55	set67	9675
56	Swexti	9561
57	Maenara	9435
58	BlancoFlaco	9364
59	eviltunix	9287
60	SaucyDark	9247
61	oxfordschool	9222
62	Groundler	8743
63	vandmanden	8695
64	Onennon	8678
65	obzii	8594
66	RebelAndroid	8172
67	_TCARREIRA_	8017
68	MilleGrug	7980
69	sp00ky_ghost977	7954
70	MyNameIsJobo	7656
71	bigstankyy	7547
72	T045RTY	7478
73	Blackberry1310	7412
74	stavgod	7364
75	thescout7	7259
76	Mahoose	7235
77	PlasticOtari	7128
78	Groovy_MoonBird	6999
79	picardred	6972
80	ssleepless	6945
81	Kubelz	6900
82	Mewar	6774
83	Winklepicker279	6748
84	Quotary	6619
85	mwrty	6549
86	kekhon	6519
87	BumbleBeever	6400
88	Awyrlas	6381
89	Legendosh	6302
90	ROY4LE	6130
91	SvenskaHugo	6094
92	Freak_Genius	6058
93	Cocoamallows	6032
94	__Fanda__	5915
95	ImpavidArcher	5856
96	diamondgolem35	5849
97	the_fireminer	5800
98	Hiryu27	5726
99	__tomato	5706
100	CoffeeNoir	5507
101	El_Jalapeno	5505
102	FelixPSY375	5497
103	Xclax101	5471
104	MightyWertu	5262
105	fluddd	5245
106	stahouo	5217
107	PlzNoBM	5215
108	andy_rex	5150
109	ExtraDumb	5127
110	_Virify_	5122
111	Spenduh	5110
112	rarrq	5086
113	Rocco_Lane	4982
114	TheThomas69	4974
115	TechnoNinja64	4954
116	Bumpy419	4925
117	livingdaydreams	4836
118	Sky_light_KING	4753
119	surfinggiraffejp	4694
120	SuperPooch06	4657
121	Incinere	4623
122	SingedBread	4570
123	Hyugo	4566
124	Arceus1975	4555
125	HyperCave	4512
126	Chromary	4478
127	Inchef	4470
128	Zoeyfortnite	4391
129	RodSerlingCringe	4354
130	Jackattack53	4216
131	MangoTheFish	4180
132	I_Am_Mushkin	4173
133	Shogunite	4132
134	KG1999	4045
135	Inbefour	4043
136	Njensen7	4042
137	Merv__	3999
138	PortlyPete69	3914
139	wezzzi	3857
140	ProfessorBee	3820
141	Racengan	3806
142	Nicserso	3786
143	Sral7	3770
144	Dusk_95	3747
145	_Karmaa	3712
146	RobotMinion101	3680
147	Hermanni__	3676
148	Seyaboy	3645
149	NameGenerat0r	3603
150	h2p_emrld	3597
151	jnp_gaming	3555
152	FishyBoy3811	3516
153	BobDeBouwer1337	3515
154	Blu3beast	3504
155	Historical_Sand	3464
156	cedric72	3405
157	beeleg	3364
157	Steven1282598	3364
159	Euclidoris	3361
160	Iagoku	3342
161	DemTechAlpha	3313
162	AltnumberF4	3311
163	M_Patata	3282
164	Rumpletaezer	3264
165	Soplight	3260
166	MasterNueve	3218
167	KarlKaek	3217
168	chipklip	3213
169	XboxPanda	3137
170	soundad	3042
171	Airem_Core	3012
172	audiocracked	2984
173	YungWali	2974
174	SSytex_X	2969
175	awesomeoneme	2955
176	Hisiste	2938
177	AuroraValkyrie	2929
178	fred870d	2880
179	lcvezra	2865
180	heckface	2858
181	Jovaphobic	2816
182	NoChumpChange	2766
183	Tobinator_007	2736
184	teslawolf38	2733
185	Cyntrical	2708
186	Meatlaugh	2699
187	Marbz_	2677
188	MinttyFressh	2649
189	himak1	2628
190	Deodorante	2555
191	jushykins	2533
192	Barlycorn	2509
193	UrbanPlanner1978	2472
194	Kowcio_	2462
195	djancak	2461
196	MousePlays	2457
197	Yatitay	2454
198	JEWISHBadenBeele	2443
199	SammiWolfGirl	2395
200	gabriels543	2351
201	hcb238	2342
202	TooManyDuck	2340
203	Kyrum2169	2306
204	lizardfightclub	2269
205	Comma__	2263
206	error10101	2248
207	r123moore	2227
208	Jiminie	2200
209	Rasmanden	2171
210	Leyna3	2139
211	EcksDofficial	2121
212	Nicky_H225	2103
213	Xovalt_	2100
214	CalebDHawk	2097
215	Kubeusz2010	2086
216	anbbang	2040
217	trexgb	2006
218	hm947	1995
219	HolyVenom	1928
220	censorsheep	1924
221	SkateboardR6	1921
222	q_wq	1912
222	CollinMH06	1912
224	Bandito_Roamer	1874
225	titanlax	1872
226	emrekn	1867
227	Razzgriz	1848
228	Vetral1	1837
229	CharlieButt	1833
230	jacxhadow	1827
231	theonlymagikarp	1808
232	Dan_Scha	1806
233	CyrusIsTired	1804
234	lotarp	1791
234	burbankbuilder28	1791
236	GravitySaint	1789
237	2blox	1777
238	_Nuf	1766
239	SquadMonster	1735
240	Nycteus_	1732
241	Myszoaz	1726
241	ThatMan_Dave	1726
243	HesDemonPants	1725
244	_Dean_123	1724
245	Fuhrer_Teemo	1687
246	TheTrueClipse	1673
247	paranoid_plant	1667
247	Gab4101	1667
249	Xalithia	1663
250	Akoot_	1647
251	TheDankPlatypus	1638
252	xxPipperDipperxx	1627
253	DTwenty	1624
