rank	username	minecraft:mined/minecraft:jukebox
1	noam464	140
2	Blackberry1310	104
3	kekhon	71
3	Soplight	71
5	chipklip	57
6	lcvezra	56
7	claivin	47
8	NomadicRobin_	36
9	Mahoose	30
10	ROY4LE	21
10	RobotMinion101	21
10	Blu3beast	21
13	Fullut	20
13	jnp_gaming	20
15	ItsColin11	19
15	TheTrueClipse	19
15	Inbefour	19
18	eitanzaki	18
18	CruncyIsTaken	18
20	lordpipe	17
21	beeperbeeper5	16
21	Xclax101	16
23	H72l9w	15
23	CalebDHawk	15
25	pintsizedrogue	14
25	YungMaki	14
27	12Magner05	13
27	Kubeusz2010	13
27	Nicserso	13
30	Drlzyy	12
30	EveryonesUncle	12
30	fluddd	12
30	Eraxa	12
30	Legendosh	12
30	TechnoNinja64	12
30	PlasticOtari	12
37	Groovy_MoonBird	11
37	TheSecondLord	11
37	Freak_Genius	11
40	Incinere	10
40	Quaintster	10
42	500am	9
42	Hyp3rion_	9
42	BlankityMcBlank	9
45	6king6colt6	8
45	Historical_Sand	8
45	rarrq	8
45	TheShyPig	8
45	HellsSponge	8
45	Njensen7	8
51	SaucyDark	7
51	ShedJr_	7
51	Inchef	7
51	Onennon	7
51	Powowowow	7
56	Kkanot	6
56	burbankbuilder28	6
56	MangoTheFish	6
56	Bumpy419	6
56	Blaiku	6
56	SingedBread	6
56	Miko_Fullbuster	6
63	ImpavidArcher	5
63	joethahobo	5
63	Comma__	5
63	epiksk8erduck	5
63	sammidk	5
63	Frozil12	5
63	sebastiensaborio	5
63	Ezekson	5
63	kinas45y5	5
72	PhantomsGhost_	4
72	Dedalus36	4
72	heckface	4
72	ProfessorBee	4
72	xxPipperDipperxx	4
72	gabriels543	4
72	MyNameIsJobo	4
72	Airem_Core	4
72	Spenduh	4
72	jcool7	4
72	Hermanni__	4
72	Quotary	4
72	Enderslayerxz3	4
72	Zoeyfortnite	4
86	Merv__	3
86	Euclidoris	3
86	Prodiginus	3
86	bloodbiter	3
86	Cambo5000	3
86	mwrty	3
86	egglapras	3
86	fallingemma	3
86	SuperPooch06	3
86	Parcc	3
86	Werbe	3
86	Kynigito	3
86	RodSerlingCringe	3
86	AlphaWolfPlaysMC	3
86	Jiminbub	3
86	_Bguette_	3
86	DarlaMeow	3
86	NameGenerat0r	3
86	stahouo	3
86	SammiWolfGirl	3
86	2blox	3
107	Jovaphobic	2
107	seanitoo	2
107	_Virify_	2
107	dabloons	2
107	xXTheWolfmanXx	2
107	hm947	2
107	Hpdinosaur	2
107	MOSS000	2
107	jushykins	2
107	_Dean_123	2
107	Windo_licker	2
107	Di_infiri	2
107	pappaberg	2
107	kars0n	2
107	Drewen24	2
107	NYJ	2
107	PartyPhoenix	2
107	Meatlaugh	2
107	Fildyr	2
107	Nagasaki_Riku	2
107	smogfrog	2
107	Northernrabbit	2
107	diggydog67	2
130	Astronicky	1
130	dudcreeper	1
130	teslawolf38	1
130	lewieinnit	1
130	neurotic_a	1
130	ssleepless	1
130	Furiuosbeast0404	1
130	RebelAndroid	1
130	T045RTY	1
130	awesomeoneme	1
130	Barjas	1
130	fr0stss	1
130	elmer1234	1
130	LoboTheLobster	1
130	Mercadies	1
130	Ravenbie	1
130	DarkDescent2392	1
130	zorin123	1
130	Guillemet	1
130	Kamflame10	1
130	thescout7	1
130	Awyrlas	1
130	intropass	1
130	r123moore	1
130	Paintz	1
130	M_Patata	1
130	Mobstr	1
130	TableTim	1
130	BlueZabu	1
130	Jackattack53	1
130	Norrhede	1
130	Chromary	1
130	Rumpletaezer	1
130	Arceus1975	1
130	thewindmillman	1
130	tobinwilliams	1
130	Hiryu27	1
130	msJabberwock	1
130	Skylord_Luke	1
130	fred870d	1
130	MinerDec	1
130	_Cloverbelle_	1
130	Maenara	1
130	ADEXTV	1
130	Unusederas	1
130	stuy9	1
130	TheFireTurtle	1
130	fkGrim	1
130	sufjanlover	1
130	Deathkob	1
130	proxivitoid	1
130	MAns_44	1
130	El_Jalapeno	1
130	Yahir091	1
130	Spacewardharpy7	1
130	MasterNueve	1
130	sp00ky_ghost977	1
130	Cocoamallows	1
130	Razzgriz	1
130	pixelviolin	1
130	yatsuta	1
130	Kowcio_	1
130	Kijiki	1
130	__tomato	1
130	Luigipunch989	1
130	obzii	1
130	Eczbek	1
130	Vellu21	1
130	laron58	1
130	xorompole	1
130	oxfordschool	1
130	EcksD	1
130	cichy096	1
130	MeetTheWollo	1
130	h2p_emrld	1
