rank	username	minecraft:mined/minecraft:lightning_rod
1	12Magner05	270
2	PlasticOtari	140
3	Nicserso	110
4	thewindmillman	80
5	Mahoose	76
6	Manaateee	60
7	Kakolbus	51
8	jessewegottacook	50
9	k_ce	48
10	Mattesco	37
11	Steelynan	33
12	500am	25
13	AdmiralSmoke	24
14	luseis	22
15	ImpavidArcher	19
15	TheSecondLord	19
17	pintsizedrogue	17
18	CoffeeNoir	16
19	Apollo_993	15
20	Lez_	12
20	noam464	12
20	JETrotter	12
20	mihimihimihi	12
24	Prismyst	10
24	Jackattack53	10
24	Hyp3rion_	10
27	shadowthemonkey	9
28	CharlieButt	7
28	Solar_Power	7
28	weabis	7
28	calamariclam_I	7
32	Alteriity	6
32	joethahobo	6
32	MineMaster0012	6
35	ItsGrayWolf	5
35	Enigma0251	5
35	StinkyDiplomat	5
38	beeperbeeper5	4
38	Eraxa	4
38	EcksD	4
41	Winklepicker279	3
41	LeonelSalamanca	3
41	MAns_44	3
41	2blox_	3
45	PazinGaming	2
45	teslawolf38	2
45	nattybears	2
45	Touched_Bread	2
45	SuperPooch06	2
45	NameGenerat0r	2
45	FreakGenius	2
45	UCP_TheKingK	2
45	Jimb0nat0r	2
54	jerrypeter472	1
54	eitanzaki	1
54	MC_Gamer_Geek	1
54	QuiCreans	1
54	CaracolCxnt	1
54	_Nat666	1
54	gonnagecha	1
54	Toasty_Tom	1
54	AuroraSkies	1
54	CuzIm2Kev	1
54	fluddd	1
54	Spacewardharpy7	1
54	CheifJumbo	1
54	pixelviolin	1
54	YungMaki	1
54	MirielThePastor	1
54	FishisTTV	1
