rank	username	minecraft:mined/minecraft:magenta_shulker_box
1	Hyp3rion_	1315
2	500am	700
3	pintsizedrogue	416
4	TheShyPig	380
5	livingdaydreams	316
6	PlasticOtari	295
7	jnp_gaming	198
8	monky_irl	184
9	Fullut	152
10	lordpipe	138
11	Spenduh	136
12	Lez_	128
13	YungMaki	115
14	Hisiste	107
15	beeperbeeper5	99
16	HellsSponge	97
17	MAns_44	92
18	Eraxa	89
18	Enderxz3	89
20	ConnorDanky_	78
21	Creativebuilder2	75
22	Merv__	72
23	Chromary	71
24	Yamdalorian	70
25	Jackattack53	69
26	I_Am_Mushkin	67
26	burbankbuilder28	67
26	Blaiku	67
29	kekhon	62
30	TheSecondLord	61
31	luseis	59
31	Jimb0nat0r	59
33	Kowcio_	56
34	Huwulling	52
34	Comma__	52
34	fluddd	52
37	Covalents	51
38	Akoot_	49
39	skroobiez	45
40	sp00ky_ghost977	42
41	Hoid_the_Roamer	39
42	T045RTY	38
43	Voxin2K	37
44	Apollo_993	36
44	mwrty	36
46	Bumpy419	33
47	thescout7	32
47	Jonafrog99	32
47	oscminus	32
50	2Stout	31
51	r123moore	29
52	Myszoaz	28
52	SteveCraftBlocks	28
52	fade_emerge78823	28
55	Manaateee	26
55	Groundler	26
57	set67	25
57	4774	25
57	obzii	25
60	_Nuf	24
60	Rasmanden	24
60	Njensen7	24
63	crashomon	23
64	noam464	22
65	PazinGaming	21
66	Karbl	20
67	Krowuss	19
68	Hpdinosaur	18
68	AlazelTheReal	18
68	NameGenerat0r	18
71	SpacesickPrism	17
72	Swexti	16
73	Winklepicker279	15
73	Mattesco	15
73	Jiminbub	15
73	claivin	15
73	Racengan	15
73	miramyu	15
79	Aezekial	14
79	fffMike	14
81	hanaryheatwave	13
82	Crizma_	12
82	Xalithia	12
82	Juh1s	12
85	Mahoose	11
85	rarrq	11
85	Kouridragon	11
85	IamCL4SSY	11
85	Soplight	11
90	joethahobo	10
90	Awyrlas	10
92	ROY4LE	9
92	emreknugrlu	9
92	SexcMf	9
95	Houstonion	8
95	thewindmillman	8
95	wwwwinnebagoooo	8
98	teslawolf38	7
98	Alteriity	7
98	Blackberry1310	7
98	poopybh	7
98	TheKingK_	7
103	Mr_Byzantine	6
103	PhantomsGhost_	6
103	Crowman1	6
103	MattieHD	6
103	KaptainKornhole	6
103	emrekn	6
103	Olib3ar	6
103	K_a__a_n	6
111	MixerDixer	5
111	6king6colt6	5
111	Euclidoris	5
111	xxPipperDipperxx	5
111	Ecplosive	5
111	__tomato	5
111	Ezekson	5
118	eitanzaki	4
118	catandmoose	4
118	Touched_Bread	4
118	maoz_ven	4
118	Werbe	4
118	PigDab	4
118	Fuad_R	4
118	MakeHistory157	4
118	Zoeyfortnite	4
127	diamondgolem35	3
127	Smashic	3
127	Inchef	3
127	Di_infiri	3
127	fragrantmonke444	3
127	SammiWolfGirl	3
127	EcksD	3
134	jushykins	2
134	m_be9	2
134	Marbz_	2
134	BronkerBrum	2
134	k1ngGilgamesh	2
134	Maenara	2
134	wezzzi	2
134	Smiguli_	2
134	OG_Songsee	2
134	StarCookiees_	2
134	KingMatthew506	2
134	elliebelle107	2
134	taengoos	2
134	Legendosh	2
134	TheSandwhich_	2
134	00000000-0000-0000-0009-01ff0c3e5e4f	2
150	_Virify_	1
150	_Huge_Male_	1
150	BadenStayFly	1
150	ExtraDumb	1
150	ImpavidArcher	1
150	SaucyDark	1
150	Clxpzy	1
150	pr33tu	1
150	surfinggiraffejp	1
150	olliebollie48	1
150	yheece	1
150	Malware_Mara	1
150	rpyoungg	1
150	WET_WET_WET	1
150	Hiryu27	1
150	F_Uhre	1
150	AlexxO_o	1
150	EdGalbraith	1
150	JoeSaysBingBong	1
150	Tyrannosplart	1
150	KSI	1
150	1442	1
150	rezi	1
150	lunkuku	1
150	Spacewardharpy7	1
150	deleteduser3c11b	1
150	Jij0	1
150	Pumpkin_P_Patch	1
150	djancak	1
150	infiniteQuery	1
150	Steelynan	1
150	skitzxo	1
