rank	username	minecraft:mined/minecraft:mangrove_roots
1	Touched_Bread	5990
2	corvidpartyfor6	5017
3	Yamdalorian	3766
4	SpacesickPrism	2908
5	luseis	2756
6	Mr_Byzantine	1522
7	Kakolbus	1150
8	k_ce	1108
9	Manaateee	1090
10	Huwulling	1060
11	Enderxz3	1053
12	crashomon	845
13	beeperbeeper5	828
14	j5ylim	755
15	Druid95	666
16	Mattesco	659
17	500am	531
18	Jackattack53	499
19	Pumpkin_P_Patch	488
20	EveryonesUncle	477
21	pintsizedrogue	474
22	TheWickedBird	470
23	hermmm_	426
24	Soplight	401
25	pixelviolin	295
26	Steelynan	258
27	Mahoose	244
28	xxPipperDipperxx	198
29	excelsionprime	156
30	thewindmillman	127
31	Nicserso	112
32	AlexxO_o	100
33	Apollo_993	95
34	Olib3ar	93
35	mihimihimihi	89
36	PigDab	85
37	Jonafrog99	82
37	oscminus	82
39	Marbz_	67
40	Merv__	65
41	Smashic	58
41	PlasticOtari	58
43	ImpavidArcher	55
43	T045RTY	55
45	Segotep999	53
46	Kowcio_	52
47	TheKingK_	51
48	ECstardust	48
49	hanaryheatwave	44
50	Fuad_R	40
51	OPTOMA_KING	34
52	lordpipe	32
53	DinoDoctor_	31
53	Krowuss	31
53	00000000-0000-0000-0009-01fc3bb26159	31
56	NATE_the_HALO	30
57	EMC_	29
58	skroobiez	26
58	Felenov	26
60	12Magner05	25
61	MrKrabOnCoke	24
62	PazinGaming	22
62	Spacewardharpy7	22
64	Alteriity	21
65	Jimb0nat0r	17
66	Sorry_Arey	15
67	YungMaki	14
68	Lez_	13
69	_Huge_Male_	12
69	SteveCraftBlocks	12
71	MAns_44	11
72	RebytreGT	10
73	SygnalX	9
73	EngagedGrub41	9
75	TheSecondLord	8
76	CaracolCxnt	6
76	U_Mos_	6
76	Reneedium	6
79	SmashingPump	4
79	Secret_Canary	4
81	ebidy	3
81	ActualPatbaf	3
81	Pofen	3
81	noam464	3
85	CLG_Kata	2
85	Crowman1	2
85	Pineapplesugr	2
85	Hyp3rion_	2
85	thebaddruid	2
85	Galactic_Badger	2
85	GooseWithin	2
85	EdGalbraith	2
85	ItsDeltaMC	2
85	00000000-0000-0000-0009-01ff0c3e5e4f	2
95	Da_Boss_Rani	1
95	TheDankPlatypus	1
95	AstreaTSS	1
