rank	username	minecraft:mined/minecraft:moss_block
1	noam464	18266
2	pintsizedrogue	13447
3	EMC_	11977
4	Iamthejo	11025
5	EcksD	7771
6	thewindmillman	7447
7	AdmiralSmoke	6725
8	Hyp3rion_	5711
9	luseis	5437
10	Mahoose	4466
11	Kakolbus	4358
12	Blackberry1310	3714
13	TheSecondLord	2232
14	12Magner05	1992
15	PlasticOtari	1943
16	Enderxz3	1932
17	xxPipperDipperxx	1470
18	eitanzaki	1446
19	YungMaki	1342
20	NomadicRobin_	1127
21	Inchef	1033
22	Lutres_	965
23	Lez_	885
24	Legendosh	861
25	Kowcio_	784
26	Flores991	747
27	Marbz_	734
28	Krowuss	722
29	00000000-0000-0000-0009-01ff0c3e5e4f	695
30	Jimi7hits	663
31	iSammael	611
32	H0UNDFRMH3LL	598
33	wwwwinnebagoooo	595
34	Ryker	563
35	SuperPooch06	550
36	groofles	534
37	Sleepy_Time_	528
38	Steelynan	505
39	Crowman1	485
40	Mattesco	475
41	WYFYoyo	469
42	Jimb0nat0r	439
43	AlexxO_o	421
44	PigDab	409
45	Huwulling	387
46	beeperbeeper5	359
47	Alteriity	335
48	PazinGaming	311
49	Avocadogerms	307
50	jessewegottacook	306
51	Merv__	295
52	Jackattack53	284
53	ApophisNova	282
54	MyNamaSheff	279
55	_stets	271
56	RebelAndroid	270
57	Segotep999	268
58	fade_emerge78823	261
59	SvenskaHugo	256
60	Rebytre	252
61	Ezekson	249
62	IgnoredBee	244
63	Mr_Sun15	235
64	Pofen	219
65	Quotary	211
66	Fuad_R	208
66	Nicserso	208
68	diamondgolem35	204
68	EtherealEspresso	204
70	MineMaster0012	198
71	soundad	195
72	rachcl	184
73	ECstardust	183
74	CoffeeNoir	180
75	SyntheticSurgeon	179
76	Manaateee	171
77	SkinnyBois	167
78	bearlystraight	165
79	k_ce	161
79	hanaryheatwave	161
81	RoskobiOne	158
82	MAns_44	156
83	EveryonesUncle	154
84	itburb	150
85	orxngejuice	148
86	mihimihimihi	138
86	pixelviolin	138
88	fluddd	135
89	non089	133
90	shadowthemonkey	131
90	Deathkob	131
92	nattybears	127
93	2blox_	124
94	CheifJumbo	122
95	dimitri0s	116
96	HoltGrim	114
96	LeonelSalamanca	114
98	dartwaffle	112
98	GooseWithin	112
100	SteveCraftBlocks	111
101	CattSoup	110
102	TheDankPlatypus	109
103	SpacesickPrism	106
104	LeGold	97
105	FreakGenius	94
106	_Huge_Male_	89
107	ITDV	88
108	Groovy_MoonBird	84
109	ImpavidArcher	83
110	BINKENSTOCK	81
110	Sorry_Arey	81
112	500am	80
113	thebaddruid	76
114	hm947	75
115	0Vyp_	73
116	SmashingPump	71
117	joethahobo	66
118	PortlyPete69	62
118	Sheldor097	62
120	kyouma777	61
121	StinkyDiplomat	56
122	SlayerCrypto	55
123	Rocco_Lane	54
124	Valoth	49
125	athereall	47
125	EngagedGrub41	47
127	lordpipe	44
127	Soplight	44
127	LeEricc	44
130	Mr_Byzantine	43
130	shrimp_flips	43
132	gcaisawesome	42
133	coobert42	41
134	JETrotter	40
134	SvenskaSara	40
136	SvenskaAlvar	39
137	Eczbek	38
138	AuroraSkies	37
139	Arceus1975	34
139	PaperCanvas	34
141	LeauVox4921	33
141	_Boipl_	33
143	Auseawesome	32
144	ShedJr_	31
145	BPTY4618	30
146	Gamergirl420628	29
147	TheALV	27
148	corvidpartyfor6	26
149	zToasty69z	25
150	_Razaria	23
150	Lord_Doob	23
152	prizm_	22
152	Dakar_	22
152	Spacewardharpy7	22
152	MilleGrug	22
156	im_very_saad	21
157	q_wq	20
157	Prismyst	20
157	Winklepicker279	20
157	NameGenerat0r	20
161	lizardfightclub	19
161	Kekoo	19
163	Smashic	18
163	Silvo614	18
165	Da_Boss_Rani	17
166	OffWithTheirHead	16
167	Tommhh	15
167	ActualPatbaf	15
167	FadedSpade82	15
170	TemoraScorpendra	14
170	Killercatty78	14
170	T045RTY	14
173	AMOTOS_LASODEMIA	13
174	No_Bena	12
174	RatatJuice	12
174	MrKrabOnCoke	12
174	Jonafrog99	12
178	Miroryk	11
178	MinttyFressh	11
178	Skylord_Luke	11
178	Human_Resource	11
178	tsitrawhy	11
183	benediktine1	10
183	Nycteus_	10
183	Spenduh	10
183	SammiWolfGirl	10
187	KarlKaek	9
187	DinoDoctor_	9
187	Dan_Scha	9
187	TJawesome09	9
187	mobunni	9
192	robocrypto	8
192	Tsuki95	8
192	_HoneySlime_	8
192	XboxPanda	8
192	Sepulcro	8
192	00000000-0000-0000-0009-01fc796cc078	8
198	chrolus	7
198	_Nat666	7
198	luvRust	7
198	XxCookiequeenxX	7
198	Tiktola01	7
198	kalzor	7
198	Yahir091	7
198	WildTamara	7
206	CaracolCxnt	6
206	MattieHD	6
206	Toriankel	6
206	ItsDeltaMC	6
206	Hermanni__	6
211	__lizi	5
211	himak1	5
211	NLKBuilder	5
211	eli_tschki	5
211	thedreadeddream	5
211	UCP_TheKingK	5
211	satuern	5
218	excelsionprime	4
218	saniyasoup	4
218	The_Fulgurator	4
218	Luminad3	4
218	weabis	4
218	NATE_the_HALO	4
218	00000000-0000-0000-0009-01f80c5e9346	4
218	00000000-0000-0000-0009-01f73aa9620f	4
226	SquadMonster	3
226	xPixelRainx	3
226	I_Moose	3
226	Masssonnn	3
226	BusinesManFrecks	3
226	Veillax135	3
226	Druid95	3
226	sp00ky_ghost977	3
226	Meeerkat	3
226	infiniteQuery	3
226	_i_ERROR_i_	3
226	_Dri_	3
238	Frozil20	2
238	Creativebuilder2	2
238	KGTV	2
238	2Stout	2
238	IamLettuce13	2
238	Malware_Mara	2
238	TheWildMateo	2
238	The_Cruncy	2
238	floodjon	2
238	Ghemmah	2
238	fw3xy74	2
238	Blu3beast	2
238	Vicemaniac	2
238	KujikawaRisechi	2
238	Heisenbberrg	2
238	Trioxide	2
238	00000000-0000-0000-0009-01fa3caf2694	2
255	MuffinManzz	1
255	MatsTheGoat	1
255	CLG_Kata	1
255	AgressiveEggdog	1
255	tuckerdoodle	1
255	ZaneABrain	1
255	TAKrules	1
255	_themselves	1
255	Megabatman	1
255	ChampPog_	1
255	rarrq	1
255	Koffeeinz	1
255	SnowyAvi	1
255	PaigeDown	1
255	ItsHydroMC	1
255	sugqr_Rush	1
255	Kkanot	1
255	imcombxt	1
255	Touched_Bread	1
255	CollinMH06	1
255	Di_infiri	1
255	krxjcii	1
255	sammidk	1
255	Elastiq	1
255	Akoot_	1
255	parodypatient	1
255	TruestTurnip	1
255	ClimbingGrandad	1
255	3_Solar_3	1
255	LazySupport00	1
255	Bonzaidalek	1
255	TheEnderMan548	1
255	brofrickcheaters	1
255	Joshuarumold	1
255	AshleySpiritHawk	1
255	CalebDHawk	1
255	jcool7	1
255	NoobyandApple	1
255	Fire_beast	1
