rank	username	minecraft:mined/minecraft:moss_carpet
1	pintsizedrogue	724
2	thewindmillman	482
3	PlasticOtari	460
4	Smoke____	387
5	Miko_Fullbuster	360
6	Mahoose	241
7	Flores991	238
8	SvenskaHugo	171
9	Blackberry1310	158
10	xxPipperDipperxx	156
11	NomadicRobin_	141
12	Enderslayerxz3	139
13	Legendosh	123
14	EMC_	122
15	PigDab	115
16	SammiWolfGirl	101
17	lordpipe	78
18	TheSecondLord	76
19	eitanzaki	73
20	Hyp3rion_	65
21	CoffeeNoir	62
22	ShedJr_	60
23	sebastiensaborio	56
24	MineMaster0012	48
25	beeperbeeper5	46
26	EveryonesUncle	43
27	_stets	38
27	orxngejuice	38
29	12Magner05	36
30	500am	34
31	Kowcio_	33
32	SuperPooch06	31
33	noam464	30
33	MyNameIsDakar	30
35	Gamergirl420628	27
36	himak1	26
37	_Boipl_	24
38	YungMaki	23
39	Tommhh	22
39	Kakolbus	22
41	WYFYoyo	21
42	Quotary	20
43	rachcl	19
43	Deathkob	19
45	Jackattack53	16
45	ApophisNova	16
45	MyNamaSheff	16
48	SquadMonster	14
48	benediktine1	14
50	Rebytre	12
50	GlitchyPlate810	12
52	SlayerCrypto	10
53	Groovy_MoonBird	9
53	soundad	9
53	ImpavidArcher	9
53	CheifJumbo	9
53	Ezekson	9
53	2blox	9
59	neurotic_a	6
59	Auseawesome	6
59	Inchef	6
59	Arceus1975	6
59	Skylord_Luke	6
64	Nycteus_	5
64	mobunni	5
66	saniyasoup	4
67	Valoth	3
67	cwartzo	3
67	Rocco_Lane	3
67	Akoot_	3
67	MAns_44	3
67	TheEnderman548	3
73	Merv__	2
73	hm947	2
73	MinttyFressh	2
73	egglapras	2
73	regulator75	2
73	Quaintster	2
73	Freak_Genius	2
73	jcool7	2
81	diamondgolem35	1
81	Nesquiczek	1
81	TAKrules	1
81	Myszoaz	1
81	joethahobo	1
81	Kochnuudel	1
81	ROY4LE	1
81	2Stout	1
81	eli_tschki	1
81	Dan_Scha	1
81	Klerick	1
81	XxCookiequeenxX	1
81	im_very_saad	1
81	Spacewardharpy7	1
81	Hylo482y	1
81	kinas45y5	1
81	Fire_beast	1
