rank	username	minecraft:mined/minecraft:nether_brick_slab
1	FreakGenius	1224
2	Kakolbus	1008
3	BobDeBouwer1337	827
4	yulgur1	737
5	Hyp3rion_	692
6	pintsizedrogue	550
7	Mahoose	385
8	MyNameIsJobo	381
9	YungMaki	328
10	Eraxa	240
11	HellsSponge	230
12	Vorlice	190
13	PigDab	188
14	TheShyPig	178
15	Kowcio_	158
16	AdmiralSmoke	157
17	ooga47	147
17	SkinnyBois	147
19	Saucepeh	146
20	Frozil20	133
21	jnp_gaming	131
22	livingdaydreams	116
23	ciemacigans	103
24	EcksD	94
25	Deathkob	80
26	KliBeast21	77
27	Blackberry1310	75
27	anbbang	75
29	Werbe	74
30	TheBiggestFeller	72
31	Rebytre	65
32	Snowflowe	63
33	k_ce	61
33	Lord_Jord	61
35	beeperbeeper5	56
35	mwrty	56
35	TechnoNinja64	56
38	m_be9	55
38	burbankbuilder28	55
40	Merv__	52
41	Jindong	46
42	lcvezra	44
43	Soplight	40
44	OfficerAnvil	36
45	El_Jalapeno	33
46	_Nuf	28
46	_i_ERROR_i_	28
48	_Bguette_	27
49	Groundler	26
50	Blu3beast	25
51	eitanzaki	24
51	CaptainDeadBread	24
53	DermeinUser	23
53	MAns_44	23
53	Skippeh	23
56	SmashingPump	22
57	noam464	20
58	500am	19
59	Di_infiri	18
60	Spacewardharpy7	17
60	stellarjay	17
62	Druid95	16
62	Enderxz3	16
64	Kamflame10	15
64	Shogunite	15
66	ShedJr_	14
66	Lez_	14
66	whoaluv	14
66	Sral7	14
70	Chromary	13
70	IamCL4SSY	13
72	H72l9w	12
73	EMC_	11
73	TheSecondLord	11
73	AlphaWolfPlaysMC	11
73	luseis	11
73	PlasticOtari	11
78	Vizzoid	10
78	Njensen7	10
80	Bandito_Roamer	9
80	dudcreeper	9
80	Freeman666	9
83	Arceus1975	8
84	joethahobo	7
85	bloodbiter	6
85	xxPipperDipperxx	6
85	Jackattack53	6
85	RobotMinion101	6
85	starbits140	6
85	jcool7	6
91	rarrq	5
91	kekhon	5
91	Nyxiom_	5
91	Mattesco	5
91	TheEnderMan548	5
96	6king6colt6	4
96	Rumpletaezer	4
96	FlashMigma	4
96	lordpipe	4
96	sp00ky_ghost977	4
96	Hermanni__	4
102	PazinGaming	3
102	ImpavidArcher	3
102	Reamdin	3
102	Secret_Canary	3
102	ApophisNova	3
102	F_Uhre	3
102	ADEXTV	3
102	fluddd	3
102	IAmTheWalrus910	3
102	BlankityMcBlank	3
102	obzii	3
102	MyNamaSheff	3
102	MrMeisterProper	3
115	Mr_Byzantine	2
115	teslawolf38	2
115	Tolhart	2
115	CoffeeNoir	2
115	Swexti	2
115	12Magner05	2
115	BilboBaggins23	2
115	Giannism	2
115	thewindmillman	2
115	Zythose	2
115	dendydoom	2
115	Hiryu27	2
115	The11thDoctor	2
115	halfwayup	2
115	LeonelSalamanca	2
115	EveryonesUncle	2
115	Tyrannosplart	2
115	The_slideV3	2
115	Quincannon	2
115	Fildyr	2
115	Aezekial	2
115	stavgod	2
115	kyouma777	2
115	Nicserso	2
115	UrbanPlanningEx	2
115	diggydog67	2
141	q_wq	1
141	HollieDaNugget	1
141	SOA1RR	1
141	301851	1
141	Shadoko_	1
141	jushykins	1
141	Tiberonus	1
141	Megarboh	1
141	xX_HaroldHolt_Xx	1
141	Guillemet	1
141	Pelbo	1
141	MRC_Gaming	1
141	emrekn	1
141	eviltunix	1
141	yheece	1
141	OreTheBear	1
141	oscminus	1
141	Corbsman	1
141	Onennon	1
141	HwamzUK	1
141	DemTechAlpha	1
141	claivin	1
141	RaahLowe	1
141	Sepulcro	1
141	MakeHistory157	1
141	MineMaster0012	1
141	Spenduh	1
141	annoyingenderman	1
141	Sheldor097	1
141	striker90333	1
141	Aryamanee	1
141	Iamthejo	1
141	ConnorDanky_	1
141	Biites	1
141	MandenR1	1
