rank	username	minecraft:mined/minecraft:peony
1	beeperbeeper5	169
2	BlancoFlaco	140
3	YungMaki	111
4	burbankbuilder28	95
5	500am	92
6	KeruNatsema	76
7	EveryonesUncle	72
8	_Dean_123	70
9	Freak_Genius	68
10	jnp_gaming	48
11	purpolepickle	47
12	00000000-0000-0000-0009-01ff0c3e5e4f	45
13	_Boipl_	40
14	Hyp3rion_	39
15	Dali1465	37
16	Windo_licker	35
17	pintsizedrogue	33
17	Racengan	33
17	cichy096	33
20	DinoDoctor_	32
20	CoffeeNoir	32
22	Mahoose	30
22	xxPipperDipperxx	30
22	Skylord_Luke	30
25	Moofyman	28
25	PlasticOtari	28
27	Kakolbus	22
27	Chromary	22
29	Arceus1975	21
29	obtusely	21
31	Gundam_Steven	20
31	Crowman1	20
33	Jeteight	19
33	Jiminie	19
35	Inchef	18
35	CharlieButt	18
35	Gryglu583	18
35	SammiWolfGirl	18
39	joethahobo	17
39	Akoot_	17
39	AuroraSkies	17
42	SpacesickPrism	16
43	eitanzaki	15
43	kekhon	15
43	Kubeusz2010	15
43	Smoke____	15
47	Huwulling	14
47	Scathra	14
47	EngagedGrub41	14
47	EcksDofficial	14
51	ImpavidArcher	13
51	RatatJuice	13
51	musique99	13
51	ZigzagLily43042	13
51	_Karmaa	13
51	mobunni	13
57	_stets	12
57	TheSecondLord	12
57	LotusProject	12
57	Jackattack53	12
57	NomadicRobin_	12
57	Deathkob	12
57	lordpipe	12
57	pixelviolin	12
57	AltnumberF4	12
57	diggydog67	12
57	Freedrik	12
68	ReyTheLegend	11
68	EtherealEspresso	11
68	ZoomieZoomie	11
71	Dedalus36	10
71	Blackberry1310	10
71	XboxPanda	10
71	Lutres_Torane	10
71	wwwwinnebagoooo	10
71	Kowcio_	10
77	tuckerdoodle	9
77	Wooptey	9
77	Mimiir345	9
77	egglapras	9
77	himak1	9
77	Di_infiri	9
77	DTwenty	9
77	Spacewardharpy7	9
77	Eraxa	9
77	MissCeleste7	9
77	CrazyPotater	9
88	ExtraDumb	8
88	Xalithia	8
88	KartivGal	8
88	Quinasin	8
88	Dusk_95	8
93	6king6colt6	7
93	Jackster03	7
93	Prismyst	7
93	orxngejuice	7
93	PegLegPete93	7
93	xo_Marren_xo	7
93	Th6masss	7
93	Ezekson	7
101	Myszoaz	6
101	eclipseboi	6
101	Marbz_	6
101	thewindmillman	6
101	Gmoney390	6
101	TheShyPig	6
101	TheEnderman548	6
101	jaimshae	6
101	Quotary	6
110	Lez_	5
110	LeauVox4921	5
110	r123moore	5
110	noam464	5
110	HellsSponge	5
110	Nycteus_	5
110	Frozil12	5
110	MightyWertu	5
110	_Tilariel_	5
110	obzii	5
110	Hermanni__	5
121	T045RTY	4
121	jacxhadow	4
121	bloodbiter	4
121	Snowflowe	4
121	Rebytre	4
