rank	username	minecraft:mined/minecraft:pink_stained_glass
1	Manaateee	1103
2	SpacesickPrism	968
3	Lez_	456
4	lordpipe	211
5	Tyrannosplart	125
6	Yamdalorian	116
7	cuddlyMonster	106
8	Incinere	96
9	EveryonesUncle	85
10	beeperbeeper5	80
10	Kowcio_	80
12	emreknugrlu	75
13	Werbe	73
14	gcaisawesome	64
15	Andy__Dufresne	51
16	LuvLuvLove	33
17	BlankityMcBlank	29
18	lorpus	28
19	AltnumberF4	27
20	pintsizedrogue	22
21	Groundler	21
22	chipklip	18
22	AssFullaCum	18
24	Apollo_993	16
25	luseis	15
26	corvidpartyfor6	13
26	mwrty	13
26	TechnoNinja64	13
29	ECstardust	12
29	Bumpy419	12
31	Mahoose	11
31	jnp_gaming	11
33	ShedJr_	10
34	AuroraValkyrie	9
34	Arceus1975	9
34	GooseWithin	9
34	SkateboardR6	9
34	TheEnderMan548	9
39	pr33tu	7
39	500am	7
39	WET_WET_WET	7
39	Inbefour	7
39	NameGenerat0r	7
39	Biites	7
45	robertsnose	6
45	CoffeeNoir	6
47	Xalithia	5
47	walll	5
47	StarCookiees_	5
47	Steelynan	5
51	SaucyDark	4
51	Wooptey	4
51	titanlax	4
51	_i_ERROR_i_	4
55	SOA1RR	3
55	Smashic	3
55	4774	3
55	CollinMH06	3
55	EcksD	3
55	KamFurnace	3
61	6king6colt6	2
61	kekhon	2
61	2_young_2_die	2
61	MyNameIsJobo	2
61	SuperPooch06	2
61	AlexxO_o	2
61	wezzzi	2
61	MakeHistory157	2
61	PortlyPete69	2
70	Groovy_MoonBird	1
70	CLG_Kata	1
70	eitanzaki	1
70	Literally_Rat	1
70	Blackberry1310	1
70	MinttyFressh	1
70	_Nuf	1
70	Secret_Canary	1
70	xxPipperDipperxx	1
70	noam464	1
70	craaaash	1
70	Hyp3rion_	1
70	Billious	1
70	ooga47	1
70	Mr_Sun15	1
70	Nicky19	1
70	ItsCorruptMC	1
70	Soap_Bender	1
70	HellsSponge	1
70	blackeemperor	1
70	MightyWertu	1
70	Cocoamallows	1
70	2a1169f5-2eaf-4ab7-adff-73315e7d9ddf	1
70	Soplight	1
70	obzii	1
70	mountaingirl311	1
