rank	username	minecraft:mined/minecraft:polished_andesite
1	Xclax101	5968
2	MightyWertu	2976
3	Quotary	2807
4	EveryonesUncle	2444
5	500am	2261
6	AuroraValkyrie	2212
7	MattieHD	1904
8	beeperbeeper5	1687
9	joethahobo	1681
10	Ezekson	1462
11	Fuhrer_Teemo	1342
12	TheShyPig	1267
13	Lord_Jord	1241
14	PlasticOtari	1216
15	El_Jalapeno	1153
16	Snowflowe	1010
17	m_be9	990
18	Cowison	913
19	AdmiralSmoke	898
20	Legendosh	891
21	jimintyy	887
22	burbankbuilder28	839
23	lcvezra	798
24	xolstoi	767
25	Inchef	744
26	weabis	712
27	Jackattack53	690
28	DarkS0L	681
29	Maenara	666
30	12Magner05	616
31	himak1	578
32	obzii	555
33	ProbsNotNova	550
34	PazinGaming	477
35	WyngGoy	470
36	NameGenerat0r	457
37	Jovaphobic	449
38	yulgur1	448
39	Groovy_MoonBird	415
40	MoistMicrowave	405
41	kekhon	367
41	pixelviolin	367
43	Zythose	363
44	Ryan_GEMS	356
45	teslawolf38	351
46	6king6colt6	348
47	ProfessorDiaper	335
48	noam464	323
49	CaptainDeadBread	319
50	Mr_Byzantine	316
51	mihimihimihi	310
51	OfficerAnvil	310
53	Wolverine4302	304
54	__tomato	301
54	EngagedGrub41	301
56	Winklepicker279	283
57	TeenMomTom	279
58	The_slideV3	275
59	Lord_Zacler	274
60	Steelynan	265
61	rarrq	262
62	Skylord_Luke	254
63	Arceus1975	253
64	bpmm	252
64	Skippeh	252
66	Onennon	248
67	Akoot_	246
68	VentiHilton	245
69	Da_Boss_Rani	244
69	Optiprimus	244
71	HellsSponge	236
72	Jackster03	234
73	_Karmaa	229
74	eitanzaki	227
75	Werbe	224
76	Racengan	222
77	Kakolbus	216
78	SquadMonster	212
79	Jij0	208
80	bloodbiter	207
80	Kowcio_	207
82	YungMaki	205
83	seramalen	204
84	cog	201
85	pintsizedrogue	188
85	Malorn_Aetherius	188
85	Manaateee	188
88	ganyuganyu	184
89	Lez_	182
89	PortlyPete69	182
91	impossibleteapot	174
92	valkam13	173
92	FreakGenius	173
94	DemTechAlpha	172
95	fkGrim	170
96	killmeiamtraitor	169
97	Mahoose	164
98	Hyp3rion_	160
99	_Nuf	158
100	the_fireminer	157
101	jcool7	150
102	luseis	149
103	EcksD	147
104	RoskobiOne	144
105	j5ylim	143
105	Merv__	143
107	SpacesickPrism	142
108	calamariclam_I	140
109	_Dean_123	136
109	Matorz	136
111	Frozil20	128
112	Drewen24	127
113	lordpipe	126
114	Huwulling	120
114	ROY4LE	120
114	Kura2218	120
117	Warlord324	117
118	Groundler	113
119	thewindmillman	112
120	Kamflame10	110
121	Blu3beast	109
122	Fildyr	108
122	sp00ky_ghost977	108
122	ConnorDanky_	108
125	k_ce	107
126	Natty	103
126	Sral7	103
128	Spacewardharpy7	101
129	BumbleBeever	100
130	alderban107	99
131	Nicserso	98
132	vandmanden	97
133	Enderxz3	89
134	Eraxa	88
134	mawileite	88
136	Rebytre	86
136	Rasmanden	86
138	IdeallyGrey	85
139	CalebDHawk	84
140	LexMakesHistory	83
141	Fuad_R	82
142	thescout7	80
143	Historical_Sand	79
144	Tyrannosplart	78
145	NotMeanttoChange	76
146	titanlax	75
147	diamondgolem35	73
147	_TCARREIRA_	73
149	Tommhh	71
149	Tiberonus	71
151	Inbefour	69
152	CuzIm2Kev	68
153	MinttyFressh	67
154	RefluxRatio	65
154	Donutt	65
156	Dakar_	63
157	Meatlaugh	60
157	layabout100	60
159	Blackberry1310	59
159	BilboBaggins23	59
161	Lukeee33	57
161	youhjjhhhjj	57
163	Simon_Lowell	55
163	r123moore	55
163	LazySupport00	55
163	LetsDoItLive	55
167	StinkyDiplomat	54
167	fluddd	54
169	Kijiki	53
170	_stets	52
170	Alteriity	52
170	Chromary	52
170	TheWildMateo	52
174	XHectorSalamanca	51
174	ConnorTG5	51
176	ImpavidArcher	50
177	Ssor69	49
177	masskedman	49
177	jnp_gaming	49
180	Zoeyfortnite	48
181	Fullut	47
181	Di_infiri	47
183	SmashingPump	46
183	lorpus	46
183	platinumzero	46
186	Comma__	45
186	TechnoNinja64	45
188	DSYisDizzy	44
188	_Boipl_	44
190	SammiWolfGirl	42
190	HesDemonPants	42
192	Toiton	41
193	GoofyBread	40
194	hanaryheatwave	39
194	CrateOfBoxes	39
194	07shiny	39
197	lilsay	38
197	Bazongoman	38
197	bearlystraight	38
200	Sleek_Storm_721	36
200	IWorkAtIkea	36
200	GooseWithin	36
203	SexcMf	35
204	chipklip	34
204	oscminus	34
204	mobunni	34
207	ApophisNova	33
207	UCP_TheKingK	33
207	MyNamaSheff	33
210	claivin	32
210	Princesse_Louise	32
212	Incinere	31
212	eviltunix	31
212	brycepants	31
215	Shin69	30
216	Spenduh	29
216	non089	29
218	sammidk	28
219	audiocracked	27
220	Otto_chan	26
220	Awyrlas	26
220	theonlymagikarp	26
220	prizm_	26
220	legal_tax_evader	26
220	Deathkob	26
226	TheSecondLord	25
226	Megarboh	25
226	PigDab	25
229	LeauVox4921	24
229	andy_rex	24
229	spellmre	24
229	DanTheBuilderino	24
229	Nycteus_	24
229	Chaotic1s	24
229	scarletwarrior1	24
236	_Huge_Male_	23
236	4774	23
236	Zaridey	23
236	Dogcorn69420	23
240	CoffeeNoir	22
240	cedric72	22
240	groofles	22
243	Myszoaz	21
243	ITDV	21
243	crying_wolf_13	21
243	selectrix	21
243	GravitySaint	21
248	CharlieButt	20
248	NotoriousNina	20
250	Shiirazu	19
251	XxCookiequeenxX	18
251	_Bguette_	18
251	The_Quack_Dealer	18
251	Jamstroxian	18
255	Notta	17
255	Scathra	17
255	Motsaro	17
255	Mewar	17
255	MyNameIsJobo	17
255	HyperCave	17
255	BreadBacon	17
262	ItsGrayWolf	16
262	SamZombie	16
262	dendydoom	16
262	Gab4101	16
262	h2p_emrld	16
267	SyK7	15
267	fr_ser	15
267	Mattesco	15
270	q_wq	14
270	AlphaWolfPlaysMC	14
270	shrimp_flips	14
270	MAns_44	14
270	Factoroni	14
270	Soul_Atreus	14
270	xX_Stalin69_Xx	14
270	Hermanni__	14
278	NotP0tato	13
278	Alphanzt99	13
278	G1ldor	13
278	Smashic	13
278	SellyZ	13
278	Soplight	13
278	skrongus	13
285	T045RTY	12
285	Jakobo1337	12
285	SteveCraftBlocks	12
285	Eraza	12
285	DermeinUser	12
285	JETrotter	12
285	RobotMinion101	12
285	OffWithTheirHead	12
285	NoxXIV	12
294	ARandomHedge	11
294	k1ngGilgamesh	11
294	MakeHistory157	11
294	xzvu	11
298	seanitoo	10
298	MadBroMad	10
298	nocturne78	10
