rank	username	minecraft:mined/minecraft:polished_blackstone_brick_wall
1	beeperbeeper5	595
2	Lord_Jord	354
3	benediktine1	232
4	eitanzaki	182
5	HellsSponge	180
6	PlasticOtari	166
7	Deathkob	157
8	Dusk_95	137
9	pintsizedrogue	134
10	r123moore	90
11	Winklepicker279	88
12	Eczbek	74
13	noam464	67
14	lordpipe	62
15	luseis	59
16	Kubeusz2010	58
17	Legendosh	51
18	CliffEmAll	47
19	Mythic1130	43
20	500am	42
21	trexgb	40
22	Mattesco	38
23	Cowison	36
23	Kakolbus	36
25	PigDab	32
26	TheSecondLord	29
27	kekhon	26
28	EveryonesUncle	25
28	YungMaki	25
30	joethahobo	23
30	rarrq	23
32	Fullut	22
33	Smoke____	21
34	Crowman1	20
34	Vorlice	20
34	Ezekson	20
37	FreakGenius	19
38	Eraxa	16
39	RebelAndroid	15
39	TheShyPig	15
39	Spacewardharpy7	15
39	sp00ky_ghost977	15
39	Optiprimus	15
44	ogoa	14
44	ZoomieZoomie	14
44	00000000-0000-0000-0009-01ff0c3e5e4f	14
47	KarlKaek	12
47	ITDV	12
47	Di_infiri	12
50	BobDeBouwer1337	11
50	Elastiq	11
52	Blackberry1310	10
52	Snowflowe	10
54	ProfessorDiaper	9
54	fffMike	9
56	gusstationwerker	8
57	Mahoose	7
57	ShedJr_	7
59	gustarlep	6
60	FishyBoy3811	5
61	MousePlays	4
61	Blaiku	4
61	Decaying_Lotus	4
61	djancak	4
65	Jakobo1337	3
65	himak1	3
67	thewindmillman	2
67	CattSoup	2
69	0R_6	1
69	CoffeeNoir	1
69	Swexti	1
69	lorpus	1
69	drunkeeez	1
69	Arceus1975	1
69	JitteryJared2	1
69	DeuceTempestus	1
69	Moofyman	1
69	Shogunite	1
69	Steelynan	1
