rank	username	minecraft:mined/minecraft:polished_diorite_stairs
1	burbankbuilder28	1404
2	Marbz_	341
3	PlasticOtari	314
4	Ezekson	291
5	Lord_Jord	238
6	Hoid_the_Roamer	216
7	MrExplorer	200
7	HellsSponge	200
9	m_be9	155
10	Inbefour	127
11	Legendosh	126
12	Stiar	124
13	RedcatVII	108
14	pappaberg	93
15	LittleBug562	86
16	Lukeee33	74
17	Groovy_MoonBird	68
17	andy_rex	68
19	Kubelz	66
20	Rasmanden	62
21	titanlax	59
22	Darkgon	55
23	ImpavidArcher	54
24	Megarboh	53
25	KarlKaek	49
26	MattieHD	45
27	himak1	43
27	CalebDHawk	43
29	Maenara	41
30	jacxhadow	40
30	lordpipe	40
32	Jovaphobic	39
32	rarrq	39
32	Lowjinx	39
35	ApophisNova	36
35	MyNamaSheff	36
37	Akoot_	35
38	TheShyPig	33
39	_Karmaa	31
40	valkam13	30
41	Merv__	29
41	DemTechAlpha	29
41	The_slideV3	29
41	Teebone15	29
45	oreee	28
46	Winklepicker279	26
47	Werbe	24
48	seanitoo	23
49	Mahoose	22
49	AltnumberF4	22
51	JESS_THE_RERE	21
52	Xalithia	20
53	KlausVonStiglitz	19
53	YungMaki	19
55	pintsizedrogue	18
55	kekhon	18
55	slkiey	18
58	Jaka_Saurus_715	16
58	Deerfoot	16
60	Optiprimus	15
60	EcksD	15
60	trexgb	15
63	Froste131	14
64	noam464	13
64	DarlaMeow	13
66	vandmanden	12
67	Matorz	11
67	SSytex_X	11
67	JayToe	11
70	SaucyDark	10
70	ROY4LE	10
70	07shiny	10
73	Ssor69	9
73	AlphaWolfPlaysMC	9
73	kinas45y5	9
76	RodSerlingCringe	8
76	Soplight	8
78	beeperbeeper5	7
78	Nekomin0	7
78	Vellu21	7
81	rats_life	6
81	ShedJr_	6
81	ratglock	6
81	tortillatitan	6
81	MyNameIsJobo	6
81	_naturell	6
81	NoChumpChange	6
81	DanTheBuilderino	6
81	starbits140	6
81	MilleGrug	6
91	tramizu	5
91	Cryptacity	5
91	Comma__	5
91	dnlksl	5
91	bpmm	5
91	Racengan	5
91	Western_1	5
98	Cowison	4
98	Blackberry1310	4
98	Jokerman369	4
98	Arceus1975	4
98	Jeteight	4
98	seramalen	4
98	Frozil12	4
105	fkGrim	3
105	Fuhrer_Teemo	3
105	Toriankel	3
105	MineMaster0012	3
109	joethahobo	2
109	Prodiginus	2
109	Allanon1235	2
109	Chromary	2
109	NarwhalTaco	2
109	Truckoss	2
109	fred870d	2
109	Ajax6	2
109	lillips	2
109	Blu3beast	2
109	Cyntrical	2
109	fluddd	2
109	Sheldor097	2
109	Hermanni__	2
109	Enderslayerxz3	2
124	Mr_Byzantine	1
124	teslawolf38	1
124	q_wq	1
124	eitanzaki	1
124	T045RTY	1
124	Auseawesome	1
124	12Magner05	1
124	Ardennes	1
124	500am	1
124	Hanselhoof	1
124	thescout7	1
124	BlueZabu	1
124	Onennon	1
124	Blamphe	1
124	cog	1
124	Dreamdbr14	1
124	Smoke____	1
