rank	username	minecraft:mined/minecraft:powder_snow
1	Mattesco	2713
2	00000000-0000-0000-0009-01ff0c3e5e4f	1391
3	Segotep999	369
4	wwwwinnebagoooo	286
5	Rebytre	267
6	autisticcupcake	257
7	TheSecondLord	166
8	MAns_44	134
9	longappendage	133
10	corvidpartyfor6	112
11	StinkyDiplomat	100
12	ZeroAbyssTTV	97
13	Mr_Byzantine	92
14	bur1su	88
14	k_ce	88
16	AdmiralSmoke	70
17	Enderxz3	68
18	Gemstuff	66
19	melono_o	62
20	thewindmillman	61
21	djancak	60
22	Moofyman	58
23	Hermanni__	55
24	xxPipperDipperxx	53
24	Manaateee	53
24	ConJaBz	53
27	Ze_BaronKrigler	51
28	_HoneySlime_	50
28	Lord_Jord	50
30	Malware_Mara	49
31	_Razaria	46
31	excelsionprime	46
31	Legendosh	46
34	Skylord_Luke	43
34	AppleJacks	43
36	mobunni	42
37	Alteriity	39
38	Solar_Power	36
38	ZPlaysAGame1231	36
40	Sleepy_Time_	35
40	corpsecity	35
42	PigDab	34
43	PlasticOtari	29
44	FadedSpade82	28
45	Kowcio_	27
46	500am	26
47	MinttyFressh	25
48	CaracolCxnt	24
48	mihimihimihi	24
50	Apollo_993	23
50	Mobstr	23
50	shrimp_flips	23
53	Miroryk	21
53	SvenskaHugo	21
55	Mr_Sun15	20
55	zToasty69z	20
57	hm947	19
57	Harobrime	19
57	Zopir	19
60	Creativebuilder2	18
60	Umbreon900	18
62	shineh10	17
62	lwyl	17
62	Huwulling	17
62	_Nat666	17
62	monky_irl	17
67	Prismyst	16
67	Vicemaniac	16
69	pintsizedrogue	15
69	Jackattack53	15
71	Soplight	14
71	BurgerKnight	14
73	Trioxide	13
74	Jellybean1312	12
74	Inchef	12
74	PosPsycher	12
74	TheWildMateo	12
74	YungMaki	12
79	_stets	11
79	IronArshXS	11
79	joethahobo	11
79	weabis	11
83	PazinGaming	10
83	NLKBuilder	10
83	Hyp3rion_	10
83	Vegvisir	10
87	StrdyFiber	9
87	SmashingPump	9
87	Jimi7hits	9
90	iwantabanana	8
90	Nicky_H225	8
90	_Boipl_	8
90	floodjon	8
90	Symchro	8
90	luseis	8
90	Druid95	8
90	underscore_2	8
90	00000000-0000-0000-0009-01f9013b764e	8
99	ITDV	7
99	beeperbeeper5	7
99	HyperCave	7
99	Ghemmah	7
99	Thomez_	7
99	lordpipe	7
99	Jimb0nat0r	7
106	SteveCraftBlocks	6
106	CowOfTheNile	6
106	Petjok	6
106	TheEnderMan548	6
106	Physics_Breaker	6
111	No_Bena	5
111	12Magner05	5
111	Glowhetic	5
111	noam464	5
111	TJawesome09	5
111	Defaultname88	5
111	RedcatVII	5
111	Toriankel	5
111	tonyth3tiger	5
111	NATE_the_HALO	5
121	CLG_Kata	4
121	IronVines	4
121	BiggieDawg	4
121	00000000-0000-0000-0009-01f192fbace5	4
125	ZaneABrain	3
125	Lez_	3
125	VanJosh	3
125	Moham	3
125	SlayerCrypto	3
125	The_Fulgurator	3
125	MrQuanQuan	3
125	GigaSl	3
133	ECstardust	2
133	EMC_	2
133	nattybears	2
133	Mahoose	2
133	jessewegottacook	2
133	LitoDelvito	2
133	WraitheDX	2
133	SvenskaAlvar	2
133	Lord_Zacler	2
133	Deathkob	2
133	kyouma777	2
133	SpacesickPrism	2
133	Rhysil	2
146	BPTY4618	1
146	Merv__	1
146	Flores991	1
146	AltNumberF5	1
146	Smashic	1
146	Kkanot	1
146	GOOBERGABE04	1
146	CrateOfBoxes	1
146	JETrotter	1
146	GothicJamm	1
146	LeonelSalamanca	1
146	Blu3beast	1
146	Nycteus_	1
146	Sepulcro	1
146	Spacewardharpy7	1
146	pixelviolin	1
146	MineMaster0012	1
146	BungalowBeet	1
146	EricAurum	1
146	Quotary	1
146	AltnumberF4	1
146	00000000-0000-0000-0009-01f073f37a91	1
