rank	username	minecraft:mined/minecraft:prismarine_bricks
1	HellsSponge	21582
2	Snowflowe	13370
3	Smoke____	12694
4	noam464	11587
5	Bumpy419	10799
6	Frozil12	10405
7	Ezekson	9800
8	lizardfightclub	9452
9	Zythose	8284
10	PhantomsGhost_	7518
11	TheShyPig	7486
12	joethahobo	6865
13	Spacewardharpy7	6693
14	MightyWertu	5147
15	pintsizedrogue	5085
16	diamondgolem35	4601
17	SpookyDraggin	4481
18	Hiryu27	4375
19	I_Am_Mushkin	4253
20	Blaiku	4025
21	eitanzaki	3929
22	MilleGrug	3781
23	jcool7	3134
24	chipklip	2951
25	Vorlice	2944
26	TechnoNinja64	2933
27	Di_infiri	2915
28	Legendosh	2824
29	Kakolbus	2748
30	ImpavidArcher	2704
31	Comma__	2525
32	Blu3beast	1918
33	Notta	1889
34	beeperbeeper5	1766
35	Maenara	1756
36	Paintz	1490
37	voiding_	1348
38	Jackattack53	1318
39	Groundler	1184
40	PigDab	1125
41	NameGenerat0r	1107
42	Mahoose	1073
43	Vellu21	1045
44	Powowowow	1015
45	eiC_	999
46	YungMaki	939
47	Zaridey	887
48	djancak	885
49	elicobnoah	822
50	diggydog67	803
51	Barlycorn	771
52	sebastiensaborio	752
53	Skippeh	723
54	Merv__	710
55	stavgod	684
56	12Magner05	640
57	stahouo	625
58	_naturell	593
59	Fullut	580
60	livingdaydreams	518
61	Iagoku	490
62	Incinere	476
63	DarlaMeow	441
64	thewindmillman	411
65	M_Patata	386
65	MasterNueve	386
67	gcaisawesome	378
68	Blackberry1310	364
69	Freak_Genius	340
70	claivin	324
71	Enderslayerxz3	321
72	Mr_Byzantine	306
73	Sky_light_KING	299
74	The_slideV3	256
75	Eraxa	255
76	EcksD	241
77	loveseeker	226
78	ApophisNova	222
78	MyNamaSheff	222
80	ROY4LE	208
81	LittleBug562	207
82	EcksDofficial	202
83	SammiWolfGirl	197
84	Racengan	193
85	Rumpletaezer	191
86	MAns_44	190
87	Hisiste	183
88	Omar_Alone	175
89	ooga47	173
90	Onennon	171
91	hm947	153
92	MeetTheWollo	133
93	Lord_Jord	132
94	Awyrlas	119
95	ssleepless	114
96	monky_irl	112
97	Z3braYTIL	104
98	obzii	102
99	oxfordschool	96
100	TheSecondLord	95
101	Inbefour	92
102	kekhon	90
103	ZoharGoldMine	88
103	PortlyPete69	88
103	Zoeyfortnite	88
106	TheSeismicDuck	87
107	Jovaphobic	84
108	UrbanPlanner1978	83
109	Arceus1975	82
110	NomadicRobin_	78
111	Sral7	74
112	BumbleBeever	72
113	SingedBread	71
114	AuroraValkyrie	69
115	_Dean_123	65
115	himak1	65
115	Chromary	65
118	John6970	64
119	MinttyFressh	63
119	thescout7	63
119	XxCookiequeenxX	63
122	RebelAndroid	62
123	intropass	61
123	SokaOtaku	61
125	fred870d	60
126	TheDankPlatypus	58
126	WyngGoy	58
128	ShedJr_	55
129	Bandito_Roamer	53
130	KarlKaek	52
131	LetsDoItLive	49
132	KingMatthew506	44
133	TheTrueClipse	40
134	vandmanden	37
135	Xclax101	35
136	titanlax	33
136	gabriels543	33
136	Hyp3rion_	33
139	Winklepicker279	32
140	awesomeoneme	30
140	Guillemet	30
142	NinjaKnifeKill	29
142	masskedman	29
144	whoaluv	28
145	Groovy_MoonBird	26
