rank	username	minecraft:mined/minecraft:purple_concrete
1	lordpipe	3951
2	MakeHistory157	3744
3	YungMaki	3457
4	thewindmillman	1655
5	jnp_gaming	1308
6	TheSecondLord	1030
7	HellsSponge	655
8	Kowcio_	633
9	TheShyPig	543
10	PigDab	503
11	Ezekson	484
12	royal_2	476
12	ROY4LE	476
14	Pumpkin_P_Patch	427
15	EMC_	368
16	Hoid_the_Roamer	256
17	beeperbeeper5	235
18	skitzxo	226
19	TechnoNinja64	200
20	set67	195
21	mobunni	183
22	joethahobo	172
23	_Huge_Male_	162
24	PortlyPete69	159
25	WyngGoy	155
26	ConnorDanky_	135
27	Frozil20	132
28	CornOnTheCobalt	131
29	Notta	130
30	xxPipperDipperxx	129
30	Nicserso	129
32	Spacewardharpy7	79
33	Fullut	67
34	Soap_Bender	65
34	SvenskaHugo	65
36	noam464	64
37	LexMakesHistory	60
38	xzvu	56
39	6king6colt6	50
40	mihimihimihi	39
41	burbankbuilder28	34
42	Racengan	26
43	Manaateee	23
44	fluddd	17
45	lunkuku	16
46	pr33tu	15
47	IamCL4SSY	13
47	Legendosh	13
49	starbits140	12
50	pintsizedrogue	10
50	Napoleonpancake	10
50	500am	10
50	Di_infiri	10
50	Arceus1975	10
50	sp00ky_ghost977	10
56	Yamdalorian	9
57	Cyntrical	8
57	Jimb0nat0r	8
59	Eraxa	7
59	EcksD	7
61	oscminus	6
61	claivin	6
61	Blaiku	6
64	Lez_	5
64	QuiCreans	5
64	AssFullaCum	5
67	Werbe	4
67	TheKingK_	4
69	xXTheWolfmanXx	3
69	Mahoose	3
69	MattieHD	3
69	Enderxz3	3
73	PazinGaming	2
73	rarrq	2
73	mwrty	2
73	k1ngGilgamesh	2
73	pixelviolin	2
73	annebolyn	2
79	KarlKaek	1
79	bigstankyy	1
79	Incinere	1
79	eitanzaki	1
79	T045RTY	1
79	Septemb3r	1
79	gcaisawesome	1
79	crashomon	1
79	Hyp3rion_	1
79	Mattesco	1
79	MousePlays	1
79	luseis	1
79	Tyrannosplart	1
79	Dakar_	1
79	jcool7	1
