rank	username	minecraft:mined/minecraft:red_carpet
1	HellsSponge	1816
2	beeperbeeper5	1201
3	TheShyPig	1063
4	Ezekson	472
5	r123moore	406
6	EveryonesUncle	340
7	Xclax101	333
8	Di_infiri	327
9	Legendosh	316
10	YungMaki	273
11	burbankbuilder28	247
12	Merv__	215
13	SpookyDraggin	211
13	jnp_gaming	211
15	joethahobo	197
16	Historical_Sand	185
17	Eraxa	181
18	thescout7	178
19	Soplight	173
20	NameGenerat0r	170
21	Steelynan	157
22	SkateboardR6	154
23	sufjanlover	150
24	Skylord_Luke	145
25	Mahoose	142
26	_Dean_123	136
27	fluddd	132
28	Freak_Genius	130
29	NoChumpChange	117
30	Hermanni__	116
31	kekhon	114
32	SaucyDark	111
33	El_Jalapeno	101
34	Inbefour	100
35	MinttyFressh	95
36	awesomeoneme	89
37	Lord_Jord	83
38	OfficerAnvil	78
39	cedric72	77
40	h2p_emrld	73
41	Onennon	66
41	PlasticOtari	66
43	Blackberry1310	63
44	Reamdin	61
44	Swexti	61
46	FlackoJonah	56
47	BlankityMcBlank	55
48	Inchef	54
49	rarrq	51
49	Smoke____	51
51	Sky_light_KING	47
52	500am	46
52	Rebytre	46
52	lillips	46
55	teslawolf38	45
56	lordpipe	44
56	Sral7	44
58	TheSecondLord	43
58	xorompole	43
58	oxfordschool	43
61	Dedalus36	39
61	PigDab	39
63	John6970	38
64	emrekn	37
64	Frozil12	37
64	Ze_BaronKrigler	37
67	stahouo	36
68	RoskobiOne	35
68	T045RTY	35
68	m_be9	35
68	xxPipperDipperxx	35
68	CaptainBadKid	35
68	fffMike	35
68	KingMatthew506	35
75	eitanzaki	34
76	Chromary	33
77	Spacewardharpy7	32
77	Optiprimus	32
77	UltraZombie	32
80	DScatgirls	29
81	Fildyr	25
82	pintsizedrogue	24
82	Gundam_Steven	24
82	MustardDrinker	24
82	Werbe	24
82	Meatlaugh	24
82	Blaiku	24
88	LoboTheLobster	23
88	XboxPanda	23
88	fr_ser	23
88	Rumpletaezer	23
92	thewindmillman	22
93	AuroraValkyrie	21
93	heckface	21
93	Factoroni	21
93	Kijiki	21
93	CalebDHawk	21
98	Zaridey	18
99	Akoot_	16
99	lcvezra	16
101	Megarboh	15
101	mwrty	15
101	KermitTheKripple	15
101	Deguns123	15
105	CoffeeNoir	14
105	fw3xywashere	14
105	NotMeowMix	14
105	Umbreon900	14
109	ShedJr_	13
109	set67	13
109	Maenara	13
109	Quotary	13
113	Myszoaz	12
113	nut_e	12
115	redikul	11
115	MovingFish7	11
115	EcksD	11
118	RebelAndroid	10
118	bloodbiter	10
118	Awyrlas	10
118	Zorin_Blitz	10
118	NomadicRobin_	10
118	MinuteMira	10
124	Tolhart	9
124	gcaisawesome	9
124	Winklepicker279	9
124	Mattesco	9
124	EcksDofficial	9
129	12Magner05	8
129	SteveCraftBlocks	8
129	MangoTheFish	8
129	pappaberg	8
129	Jimi7hits	8
129	BuildTheGondola	8
129	obzii	8
129	Eczbek	8
137	Drlzyy	7
137	Wooptey	7
137	Fullut	7
137	FishyBoy3811	7
137	GlitchyPlate810	7
137	TheOuterCore	7
137	TechnoNinja64	7
144	dabloons	6
144	diamondgolem35	6
144	himak1	6
144	chipklip	6
144	Segotep999	6
144	SammiWolfGirl	6
144	Winston_Ingram	6
151	ColeSnyder	5
151	Vizzoid	5
151	theonlymagikarp	5
151	Voxin2K	5
151	Afinnity	5
151	claivin	5
151	Nycteus_	5
151	Kowcio_	5
159	Mr_Byzantine	4
159	_NieToksikpl_	4
159	Incinere	4
