rank	username	minecraft:mined/minecraft:sand
1	joethahobo	552062
2	PigDab	442634
3	lordpipe	306284
4	HellsSponge	270320
5	EcksD	232424
6	Spacewardharpy7	231779
7	EveryonesUncle	208033
8	noam464	184500
9	Smoke____	173601
10	TheSecondLord	170903
11	Zythose	164101
12	Enderslayerxz3	162325
13	gcaisawesome	160047
14	obzii	136573
15	YungMaki	125799
16	Frozil12	110844
17	Blu3beast	104488
18	PhantomsGhost_	102768
19	beeperbeeper5	100627
20	Ezekson	99940
21	Hyp3rion_	91889
22	TheShyPig	89063
23	eitanzaki	81516
24	thewindmillman	76840
25	Blaiku	76016
26	eviltunix	73136
27	El_Jalapeno	71055
28	Chromary	69886
29	NomadicRobin_	68233
30	picardred	66583
31	MeetTheWollo	66363
32	Dogcorn69420	64636
33	Snowflowe	57220
34	Groovy_MoonBird	56195
35	Di_infiri	54432
36	12Magner05	52459
37	kekhon	51993
38	Werbe	51919
39	AssEatrAndLicker	51834
40	Mahoose	51408
41	cedric72	50582
42	SkateboardR6	48081
43	SvenskaHugo	47083
44	RebelAndroid	46804
45	sebastiensaborio	44592
46	jnp_gaming	44386
47	Bumpy419	43855
48	TechnoNinja64	42967
49	Blackberry1310	42702
50	SuperPooch06	41689
51	Swexti	36981
52	AuroraValkyrie	36746
53	Kim_Jong_eel	33684
54	Natofthese	33453
55	Legendosh	33002
56	Sral7	32885
57	bigstankyy	31838
58	pintsizedrogue	31816
59	SingedBread	31792
60	Franco093	31706
61	Mewar	31530
62	lillips	31470
63	PlzNoBM	30417
64	Awyrlas	29962
65	_Karmaa	29609
66	KG1999	29380
67	Optiprimus	28815
68	mwrty	27359
69	MightyWertu	27337
70	ImpavidArcher	27042
71	Groundler	26951
72	Powowowow	26901
73	Skippeh	26373
74	Maenara	26048
75	set67	25804
76	m_be9	25191
77	Kakolbus	24280
78	Onennon	24147
79	BumbleBeever	24051
80	Inbefour	23947
81	Racengan	23757
82	fred870d	22972
83	Freak_Genius	22734
84	Njensen7	22162
85	Hoid_the_Roamer	21984
86	500am	21318
87	Arceus1975	21039
88	Fullut	20720
89	King_Pancake1	20442
90	MilleGrug	20388
91	Winklepicker279	19809
92	Lord_Jord	18917
93	Nycteus_	18739
94	MyNameIsJobo	18727
95	sp00ky_ghost977	18567
96	Hiryu27	18556
97	OtariCharlie	18530
98	T045RTY	18326
99	WyngGoy	17893
100	_TCARREIRA_	17176
101	Jovaphobic	16848
102	Skylord_Luke	16778
103	ApophisNova	16585
103	MyNamaSheff	16585
105	Jackattack53	16545
106	thescout7	16303
107	yulgur1	16128
108	AlphaWolfPlaysMC	15745
109	MakeHistory157	14935
110	Kowcio_	14629
111	Merv__	14574
112	ROY4LE	14477
113	lizardfightclub	14384
114	masskedman	14243
115	Myszoaz	13726
116	burbankbuilder28	13574
117	Ajax6	13144
118	Rumpletaezer	13111
119	walll	13032
120	TheDankPlatypus	12927
121	Ssor69	12891
122	EMC_	12664
123	JEWISHBadenBeele	12202
124	__tomato	12176
125	Spenduh	12001
126	FreddyFart	11996
127	Nicserso	11818
128	LordSpeed37	11665
129	Miko_Fullbuster	11633
130	Quotary	11532
131	cog	11477
132	Akoot_	11264
133	Deathkob	10822
134	_NieToksikpl_	10758
135	mafiKiwi	10732
136	Euclidoris	10697
137	gabriels543	10585
138	wezzzi	10576
139	_Dean_123	10440
140	Hyugo	10276
141	Iagoku	10263
142	vandmanden	10081
143	Inchef	9968
144	chipklip	9952
145	MustaLoordi	9856
146	stahouo	9836
147	Zoeyfortnite	9821
148	SpaceGrenadier	9764
149	_Dri_	9742
150	Alexanderjac	9656
151	Xalithia	9264
152	error10101	9245
153	Eraxa	9227
154	DC_XII	9169
155	Barlycorn	9063
156	SDMNAEK	8908
157	2Stout	8843
158	Comma__	8811
159	loveseeker	8802
160	301851	8763
161	RodSerlingCringe	8756
162	ExtraDumb	8671
163	ItsJWolff	8549
164	Notta	8537
165	_stets	8492
166	diggydog67	8209
167	teslawolf38	8040
168	NameGenerat0r	7981
169	CoffeeNoir	7861
170	Hermanni__	7859
171	ssleepless	7456
172	Soplight	7439
173	Nicky19	7382
174	claivin	7371
175	squillz105	7287
176	KingFaenor	7185
177	Yahir091	7017
178	CliffEmAll	6966
179	Xclax101	6960
180	OverallConcept	6959
181	GlitchyPlate810	6882
182	rarrq	6858
183	Flores991	6845
184	Luigipunch989	6764
185	XboxPanda	6744
186	Quaintster	6679
187	Historical_Sand	6498
188	himak1	6455
189	__Fanda__	6372
190	stavgod	6246
191	awesomeoneme	6204
192	CyrusIsTired	6159
193	kinas45y5	6139
194	Gundam_Steven	6096
195	FishisTTV	6051
196	PegLegPete93	5984
197	oreee	5945
198	Ailmast	5915
199	Jiminie	5897
200	Strangemonkey71	5881
201	radioactv_jelly	5876
202	SaucyDark	5832
203	HyperCave	5813
204	jcool7	5810
205	Dan_Scha	5706
206	brrh	5693
207	SpookyDraggin	5620
208	HolyVenom	5603
209	TheOuterCore	5589
210	Cocoamallows	5564
211	RobotMinion101	5557
212	FishyBoy3811	5532
213	Sheldor097	5513
214	Kouridragon	5481
215	BronkerBrum	5405
216	bloodbiter	5350
217	MSK__	5332
218	ProfessorBee	5312
219	diamondgolem35	5277
220	lOlmantschi	5232
221	SwooshBoi	5133
222	layabout100	5095
223	Covalents	4997
224	OfficerAnvil	4994
225	H72l9w	4927
226	titanlax	4896
227	Wooptey	4891
227	2blox	4891
229	Incinere	4828
230	r123moore	4800
231	Studyhallsaver	4746
232	PortlyPete69	4609
233	MattieHD	4600
234	Wolf_Mauler_73	4561
235	I_Am_Mushkin	4553
236	CrateOfBoxes	4552
237	Hisiste	4546
238	TheEnderman548	4542
239	surfinggiraffejp	4462
240	WET_WET_WET	4457
241	Zaridey	4430
242	Nicky_H225	4418
243	Rasmanden	4412
244	1442	4411
245	Cryptacity	4390
246	h2p_emrld	4307
247	AltnumberF4	4255
248	YungWali	4247
249	paranoid_plant	4072
250	Dreamdbr14	4055
