rank	username	minecraft:mined/minecraft:sandstone
1	joethahobo	202983
2	Spacewardharpy7	114337
3	gcaisawesome	90823
4	Frozil12	85383
5	TheShyPig	80744
6	PigDab	52290
7	Smoke____	44115
8	500am	40080
9	YungMaki	35593
10	TheSecondLord	34890
11	sebastiensaborio	28420
12	Merv__	23386
13	Kim_Jong_eel	22518
14	Groovy_MoonBird	22274
15	beeperbeeper5	22215
16	Hoid_the_Roamer	21347
17	Blackberry1310	20484
18	HellsSponge	17172
19	SkateboardR6	16648
20	Legendosh	16482
21	stahouo	16182
22	El_Jalapeno	15547
23	RebelAndroid	15480
24	Deodorante	15090
25	Menthas	14510
26	loveseeker	14337
27	Mahoose	14139
28	Di_infiri	14127
29	__tomato	13594
30	lordpipe	13416
31	Arceus1975	12286
32	Skippeh	11983
33	Soplight	11783
34	eviltunix	11701
35	Blaiku	10654
36	noam464	9675
37	Zythose	9280
38	Onennon	9206
39	Queen_Jalapeno	9204
40	Wowful	8840
41	_TCARREIRA_	8633
42	Freak_Genius	8470
43	_Karmaa	8288
44	victorLIE	7741
45	_stets	7389
46	2Stout	6757
47	AuroraValkyrie	6589
48	Sral7	6566
49	EveryonesUncle	6479
50	Hermanni__	6466
51	Bumpy419	6000
52	TechnoNinja64	5947
53	KarlKaek	5730
54	eitanzaki	5565
55	Ezekson	5564
56	walll	5497
57	NameGenerat0r	5469
58	cedric72	5425
59	pintsizedrogue	5361
60	FreddyFart	5301
61	Fullut	5240
62	RodSerlingCringe	5209
63	Enderslayerxz3	5197
64	Euclidoris	5127
65	TheMilkerOfCats	5123
66	Swexti	5089
67	xXTheWolfmanXx	5058
68	TheDankPlatypus	4722
69	EcksD	4574
70	SvenskaHugo	4562
71	King_Pancake1	4345
72	Optiprimus	4163
73	ImpavidArcher	4118
74	Kakolbus	4065
75	SteveCraftBlocks	4023
76	paranoid_plant	3975
77	CoffeeNoir	3866
78	mwrty	3692
79	audiocracked	3642
80	Chickenchaser2	3607
81	KingFaenor	3552
82	SingedBread	3364
83	dongli	3319
84	TheDumbHuman	3258
85	stellarjay	3135
86	SwooshBoi	3131
87	Jackattack53	3057
88	chipklip	3016
89	Meatlaugh	2909
90	kekhon	2846
91	ApophisNova	2800
91	MyNamaSheff	2800
93	Maenara	2779
94	thechoosenone69	2692
95	Xalithia	2589
96	ExtraDumb	2566
97	himak1	2551
98	PhantomsGhost_	2390
99	Inbefour	2318
100	teslawolf38	2317
101	SpaceGrenadier	2286
102	Z3braYTIL	2240
103	Karetoko	2203
104	Blu3beast	2188
105	Kyrum2169	2106
106	MilleGrug	2040
107	KG1999	1971
108	Ajax6	1907
109	BodaciousCake	1896
110	claivin	1853
111	Sheldor097	1835
112	jnp_gaming	1834
113	thewindmillman	1817
114	SuperPooch06	1793
115	SexcMf	1692
116	peach0s	1670
117	SteveWithClout	1658
118	PegLegPete93	1637
119	Powowowow	1602
120	Rumpletaezer	1570
121	EcksDofficial	1514
122	_Bguette_	1498
123	Studyhallsaver	1459
124	CrateOfBoxes	1422
125	Ssor69	1382
126	erkada	1376
127	thgrocks	1375
128	mads388a	1337
129	diggydog67	1334
130	MattieHD	1319
131	ReyTheLegend	1302
132	12Magner05	1300
133	Rich_Kat	1229
134	Deathkob	1221
135	BlankityMcBlank	1218
136	Akoot_	1200
137	adiccting01	1191
138	Skylord_Luke	1190
139	Njensen7	1173
140	MustardDrinker	1164
141	_AceOfSpace_	1149
142	Werbe	1138
143	CACTUSLAD	1137
144	WyngGoy	1125
145	ElectricDragon81	1092
146	Hpdinosaur	1088
