rank	username	minecraft:mined/minecraft:smooth_sandstone
1	500am	4575
2	Kim_Jong_eel	4303
3	Steelynan	3073
4	gcaisawesome	2618
5	Merv__	2401
6	TheDankPlatypus	2328
7	Di_infiri	2028
8	NameGenerat0r	1817
9	xolstoi	1536
10	2Stout	1407
11	RebelAndroid	1390
12	Hyugo	1384
13	Enderxz3	1306
14	Blackberry1310	1170
15	Soplight	1060
16	FreakGenius	1054
17	_stets	1023
18	Felenov	971
19	Frozil20	958
20	YungMaki	904
21	__tomato	805
22	Kowcio_	804
23	Lord_Jord	740
24	Mahoose	718
24	xzvu	718
26	KarlKaek	711
27	TheShyPig	690
28	SteveCraftBlocks	687
29	Sral7	675
30	joethahobo	670
31	SaintJosie	609
32	beeperbeeper5	595
33	jessewegottacook	500
34	Inchef	483
35	Franco093	463
36	SpacesickPrism	460
37	kekhon	443
38	Groovy_MoonBird	441
39	Hpdinosaur	431
40	SwooshBoi	428
41	Deodorante	415
42	Dakar_	387
43	Jakobo1337	362
44	ReyTheLegend	361
45	Legendosh	315
46	_Bguette_	313
47	Jackattack53	308
48	XxCookiequeenxX	300
49	Onennon	296
50	PlasticOtari	293
51	John6970	285
52	_TCARREIRA_	224
53	yheece	217
54	ImpavidArcher	207
55	Btabtab	184
56	CueMix	182
57	Werbe	179
58	Inbefour	178
59	AdmiralSmoke	172
60	pintsizedrogue	169
61	Akoot_	162
62	groofles	147
63	Tyrannosplart	145
64	Vizzoid	123
65	luseis	118
66	QuacksonThe3rd	115
67	RobotMinion101	114
68	PazinGaming	108
68	TechnoNinja64	108
70	Manaateee	106
71	ConnorDanky_	104
72	SexcMf	103
73	Arceus1975	99
74	eitanzaki	96
74	EveryonesUncle	96
76	epiksk8erduck	94
77	Meatlaugh	92
77	IAmTheWalrus910	92
77	RoboTramp7865	92
80	Wowful	83
81	Spacewardharpy7	82
82	SkateboardR6	81
83	LeGold	80
84	ApophisNova	68
84	MyNamaSheff	68
86	IamCL4SSY	62
87	Nicserso	61
88	Winklepicker279	60
88	oscminus	60
88	claivin	60
91	WarMachina	58
91	HolyVenom	58
93	rarrq	56
94	CoffeeNoir	53
94	NotMeanttoChange	53
94	Waffleman258	53
97	Sleepy_Time_	52
97	Fuad_R	52
99	Hermanni__	51
100	peach0s	50
101	himak1	48
102	jnp_gaming	46
103	G1ldor	45
104	xxPipperDipperxx	43
105	TiborSterle	42
106	ProfessorBee	39
106	Karetoko	39
108	Sleek_Storm_721	36
108	SquadMonster	36
110	legal_tax_evader	34
110	Hiryu27	34
110	FreddyFart	34
110	DarlaMeow	34
110	stellarjay	34
115	Wooptey	33
115	WyngGoy	33
117	Krowuss	31
117	Segotep999	31
117	AltnumberF4	31
120	Chickenchaser2	30
121	andy_rex	29
121	The_Quack_Dealer	29
123	ShedJr_	28
123	burbankbuilder28	28
125	yoyoYoloMonke	27
125	SirDodgyBob	27
127	Skylord_Luke	26
127	fw3xy74	26
127	The_slideV3	26
127	Jimb0nat0r	26
131	Da_Boss_Rani	25
131	Smashic	25
131	4774	25
131	r123moore	25
135	Blaiku	24
135	ElectricDragon81	24
135	EcksD	24
138	Kakolbus	22
139	xXTheWolfmanXx	21
139	Incinere	21
141	NatalieTW	20
141	Fullut	20
141	mwrty	20
141	smogfrog	20
145	Kyrum2169	18
146	lorpus	17
146	thewindmillman	17
146	Eraxa	17
149	Blu3beast	16
149	_i_ERROR_i_	16
149	_3Stump_	16
149	HesDemonPants	16
153	MeowMeowMcmuffin	15
153	sandmire	15
153	noam464	15
153	MyNameIsJobo	15
153	IdeallyGrey	15
158	KingFaenor	14
159	Voxin2K	13
159	Ajax6	13
161	Mr_Byzantine	11
161	teslawolf38	11
161	Howertt	11
161	cedric72	11
161	LeonelSalamanca	11
161	DennyKai	11
161	little_dUki	11
168	RoskobiOne	10
168	I_Am_Mushkin	10
168	Spenduh	10
171	Myszoaz	9
171	TheSecondLord	9
171	okCrypto	9
171	drompje	9
175	SuperPooch06	8
175	Snowflowe	8
175	thechoosenone69	8
175	fluddd	8
175	UCP_TheKingK	8
180	ITDV	7
180	m_be9	7
