rank	username	minecraft:mined/minecraft:soul_lantern
1	TheWickedBird	1048
2	Crowman1	475
3	luseis	153
4	beeperbeeper5	151
5	rarrq	134
6	Kowcio_	116
7	noam464	113
8	_Dean_123	87
9	eitanzaki	83
10	MrExplorer	70
11	TheSecondLord	69
12	Legendosh	64
13	Ezekson	59
14	Mahoose	51
15	Eraxa	49
16	HellsSponge	41
17	SpacesickPrism	38
18	ScootOfBoot	36
19	kekhon	32
20	Mr_Byzantine	30
20	Blackberry1310	30
22	pintsizedrogue	28
23	ConnorDanky_	26
24	500am	25
24	Mattesco	25
24	Manaateee	25
27	r123moore	23
28	CattSoup	22
28	Enderxz3	22
30	MrKrabOnCoke	21
31	thewindmillman	19
31	MAns_44	19
33	MuffinManzz	18
33	poopybh	18
35	Fullut	17
35	UncreativeArtist	17
35	CalebDHawk	17
38	pixelviolin	15
38	Yamdalorian	15
40	Druid95	13
41	Marbz_	12
41	FishyBoy3811	12
41	cuddlyMonster	12
44	Huwulling	11
44	mwrty	11
44	TheShyPig	11
44	mihimihimihi	11
48	RoskobiOne	10
48	Lez_	10
48	Historical_Sand	10
48	NieToksikpl	10
48	_Nat666	10
48	Kakolbus	10
48	PlasticOtari	10
55	StarCookiees_	9
56	SteveCraftBlocks	8
56	Jonafrog99	8
56	U_Mos_	8
56	ZeroKraken	8
60	q_wq	7
60	Skylord_Luke	7
60	Akoot_	7
60	Nicserso	7
64	12Magner05	6
64	seramalen	6
66	robertsnose	5
66	T045RTY	5
66	HUNTERmaun	5
66	Hoid_the_Roamer	5
66	Mr_Sun15	5
66	PaperCanvas	5
66	SammiWolfGirl	5
66	_i_ERROR_i_	5
66	2blox_	5
75	Wooptey	4
75	shadowthemonkey	4
75	CarltheCuck	4
75	Boipl	4
75	Pumpkin_P_Patch	4
75	EtherealEspresso	4
75	LuvLuvLove	4
75	00000000-0000-0000-0009-01ff0c3e5e4f	4
83	Groovy_MoonBird	3
83	RebelAndroid	3
83	joethahobo	3
83	Jackattack53	3
83	Billious	3
83	Moofyman	3
83	Olib3ar	3
83	Elastiq	3
83	parodypatient	3
83	EdGalbraith	3
83	EveryonesUncle	3
83	lordpipe	3
83	NATE_the_HALO	3
83	ZoomieZoomie	3
97	Cowison	2
97	PazinGaming	2
97	teslawolf38	2
97	Alteriity	2
97	jacxhadow	2
97	MattieHD	2
97	DocZelenka	2
97	NomadicRobin_	2
97	gustarlep	2
97	Mr_Gulle_	2
97	Dakar_	2
97	Vegvisir	2
97	Synthoum	2
97	doublemaki	2
97	Sheldor097	2
97	Iamthejo	2
97	11Brewer	2
97	EcksD	2
97	Jimb0nat0r	2
116	hbaoo	1
116	CLG_Kata	1
116	ECstardust	1
116	DinoDoctor_	1
116	RatatJuice	1
116	_AceOfSpace_	1
116	ShedJr_	1
116	skroobiez	1
116	SquadMonster	1
116	royal_2	1
116	eclipseboi	1
116	Eeppari	1
116	ROY4LE	1
116	Cellcorgi649	1
116	0nly_sn1per	1
116	Di_infiri	1
116	Chromary	1
116	corpsecity	1
116	Zythose	1
116	podduszenie	1
116	_buffgirls	1
116	SvenskaSara	1
116	Jekyll	1
116	F_Uhre	1
116	Kokeech	1
116	lizardfightclub	1
116	GooseWithin	1
116	Jimbboo	1
116	the_russell1611	1
116	Fuad_R	1
116	Acartec	1
116	Blaiku	1
116	Spacewardharpy7	1
116	tonyth3tiger	1
116	Steelynan	1
116	Kubeusz2010	1
116	TheBananaKat	1
116	Kitchen_Moose	1
116	Quotary	1
116	es0th	1
