rank	username	minecraft:mined/minecraft:stone
1	joethahobo	4533369
2	Spacewardharpy7	3523365
3	gcaisawesome	3302954
4	EcksD	2482351
5	Werbe	2344428
6	EMC_	2120612
7	Iamthejo	1763390
8	HellsSponge	1598349
9	PigDab	1547980
10	Di_infiri	1432615
11	YungMaki	1385612
12	AdmiralSmoke	1202996
13	Ezekson	1193095
14	noam464	1191612
15	TheShyPig	1081524
16	12Magner05	917505
17	Blaiku	891033
18	lordpipe	775966
19	Steelynan	765075
20	beeperbeeper5	703662
21	Zythose	701923
22	thewindmillman	680735
23	pintsizedrogue	679109
24	vandmanden	581674
25	NatalieTW	554556
26	PazinGaming	532227
27	EveryonesUncle	507077
28	Deathkob	503540
29	m_be9	487445
30	TheSecondLord	474541
31	RebelAndroid	462109
32	Skippeh	455104
33	Hyp3rion_	408044
34	Mewar	401669
35	non089	400824
36	Cowison	341501
37	eitanzaki	321061
38	MyNameIsJobo	277751
39	mihimihimihi	267488
40	500am	265500
41	Kakolbus	265126
42	MirielThePastor	261279
43	Mahoose	259524
44	luseis	254772
45	Manaateee	254058
46	Frozil20	250705
47	Blackberry1310	245944
48	Mattesco	238123
49	Snowflowe	237413
50	Jackattack53	233936
51	ImpavidArcher	233026
52	Jonafrog99	218926
53	q_wq	217570
54	Enderxz3	214302
55	SuperPooch06	210502
56	Marbz_	205327
57	Inchef	203307
58	Kowcio_	202093
59	oscminus	201595
60	Spenduh	200657
61	Franco093	196675
62	Skylord_Luke	196247
63	El_Jalapeno	193118
64	PlasticOtari	189385
65	Segotep999	186756
66	FelixPSY375	185940
67	OrewaSora	185059
68	PhantomsGhost_	182998
69	CoffeeNoir	182564
70	Xclax101	182372
71	ProfessorBee	178360
72	SvenskaHugo	176947
73	thescout7	176665
74	Hisiste	174488
75	kekhon	172788
76	obzii	169788
77	rarrq	169496
78	Nicserso	163665
79	Maenara	163064
80	Lez_	161619
81	_i_ERROR_i_	159373
82	FreakGenius	158028
83	FishyBoy3811	152929
84	Lord_Jord	148392
85	xzvu	143433
86	Rasmanden	142350
87	MilleGrug	137706
88	Bumpy419	130701
89	set67	130182
90	Ryan_GEMS	129900
91	fluddd	128620
92	Hermanni__	127683
93	Legendosh	126684
94	audiocracked	126036
95	Onennon	125886
96	Njensen7	124925
97	TechnoNinja64	123429
98	Fullut	123222
99	Inbefour	122251
100	Rumpletaezer	121444
101	BobDeBouwer1337	120893
102	_Virify_	120544
103	T045RTY	117135
104	Shogunite	116788
105	alderban107	115432
106	_Karmaa	115124
107	pixelviolin	114669
108	Rocco_Lane	113019
109	_Mythic____	112593
110	Jimb0nat0r	112465
111	mwrty	111847
112	SpacesickPrism	110613
113	ApophisNova	109088
114	MyNamaSheff	109063
115	bigstankyy	108989
116	Zoeyfortnite	108102
117	BumbleBeever	107462
118	PlzNoBM	106837
119	Historical_Sand	103648
120	Winklepicker279	103571
121	NameGenerat0r	102068
122	Jovaphobic	101271
123	livingdaydreams	99375
124	Quotary	98780
125	Blu3beast	96522
126	cedric72	95134
127	SammiWolfGirl	94979
128	anbbang	92251
129	M_Patata	91967
130	EngagedGrub41	91438
131	MightyWertu	91098
132	hanaryheatwave	88670
132	Deodorante	88670
134	XboxPanda	88006
135	claivin	87353
136	Soplight	86595
137	lillips	86264
138	MasterNueve	85925
139	Groovy_MoonBird	85002
140	Tyrannosplart	84662
141	_Nuf	84301
142	diamondgolem35	83610
143	Mr_Byzantine	83609
144	catandmoose	82546
145	Arceus1975	81680
146	Groundler	81514
147	h2p_emrld	81336
148	LeonelSalamanca	80507
149	PortlyPete69	79877
150	StinkyDiplomat	79782
151	SingedBread	79686
152	NoChumpChange	78758
153	Lutres_	78520
154	eviltunix	78395
155	Jimi7hits	78358
156	soundad	78308
157	Racengan	77781
158	Sral7	76224
159	Steve897	75239
160	SkateboardR6	74031
161	TooManyDuck	73501
162	Swexti	73255
163	Akoot_	73066
164	CollinMH06	71183
165	6king6colt6	70519
