rank	username	minecraft:mined/minecraft:stonecutter
1	pintsizedrogue	580
1	Frozil12	580
3	Freak_Genius	459
4	TheShyPig	263
5	Mahoose	250
6	Legendosh	231
7	HellsSponge	230
8	Soplight	209
9	PlasticOtari	197
10	noam464	179
11	Onennon	172
12	lordpipe	168
13	beeperbeeper5	143
14	kekhon	123
15	joethahobo	122
16	Snowflowe	108
17	Sral7	106
18	Smoke____	102
19	thescout7	99
20	Megarboh	89
21	rarrq	86
21	TheSecondLord	86
21	Jiminie	86
24	Fullut	77
25	Blackberry1310	71
26	Ezekson	70
27	Merv__	66
28	500am	64
29	EcksDofficial	56
30	eitanzaki	53
30	Hisiste	53
32	RebelAndroid	48
33	Ryker	45
33	Cryptacity	45
35	Quotary	44
36	ImpavidArcher	42
36	T045RTY	42
38	soundad	41
39	Alteriity	40
39	Rumpletaezer	40
39	ogoa	40
39	Kowcio_	40
39	YungMaki	40
44	Di_infiri	39
44	thewindmillman	39
46	Mattesco	37
46	Skippeh	37
48	chipklip	36
48	Enderslayerxz3	36
50	Akoot_	35
51	Malorn_Aetherius	34
52	12Magner05	33
52	Lord_Jord	33
54	Eraxa	32
55	Deathkob	31
56	Xclax101	30
57	_Nuf	29
57	2Stout	29
57	sp00ky_ghost977	29
60	Historical_Sand	28
60	MyNameIsJobo	28
60	ApophisNova	28
60	EveryonesUncle	28
60	oxfordschool	28
60	MyNamaSheff	28
66	m_be9	26
66	Blaiku	26
66	UCP_TheKingK	26
69	Comma__	25
69	Arceus1975	25
71	NomadicRobin_	24
71	DarkS0L	24
71	Kubeusz2010	24
71	EcksD	24
75	Ssor69	23
76	Paint	22
76	ROY4LE	22
76	Stiar	22
76	Kakolbus	22
80	Hyp3rion_	21
81	mwrty	20
81	ooga47	20
81	PigDab	20
81	Steelynan	20
85	Groovy_MoonBird	19
85	Werbe	19
85	__tomato	19
88	Cowison	18
88	Marbz_	18
88	_Bguette_	18
88	stahouo	18
92	gcaisawesome	17
92	claivin	17
92	fluddd	17
95	jacxhadow	16
95	Kubelz	16
95	Maenara	16
95	stavgod	16
95	jnp_gaming	16
100	Jovaphobic	15
100	xxPipperDipperxx	15
102	_stets	14
102	6king6colt6	14
102	diamondgolem35	14
102	Rebytre	14
102	AlphaWolfPlaysMC	14
102	Lutres_Torane	14
108	ProfessorBee	13
108	M_Patata	13
108	SuperPooch06	13
108	Kim_Jong_eel	13
108	ReyTheLegend	13
108	tsitrawhy	13
114	MixerDixer	12
114	Xalithia	12
114	pappaberg	12
114	brofrickcheaters	12
118	Bandito_Roamer	11
118	SaucyDark	11
118	ShedJr_	11
118	CharlieButt	11
118	The_slideV3	11
118	Shogunite	11
124	_Virify_	10
124	EMC_	10
124	hm947	10
124	redikul	10
124	RodSerlingCringe	10
124	Blu3beast	10
124	wwwwinnebagoooo	10
124	Spacewardharpy7	10
124	MasterNueve	10
124	jcool7	10
124	TechnoNinja64	10
135	RoskobiOne	9
135	Drlzyy	9
135	Chromary	9
135	LexMakesHistory	9
135	_Karmaa	9
135	WyngGoy	9
135	Luigipunch989	9
142	TooManyDuck	8
142	Hpdinosaur	8
142	Jackster03	8
142	H72l9w	8
142	dopplexd	8
142	Smashic	8
142	Parcc	8
142	FishyBoy3811	8
142	NameGenerat0r	8
142	Groundler	8
142	kyouma777	8
153	Natty	7
153	301851	7
153	Stynxy	7
153	NotMeanttoChange	7
153	Motsaro	7
