rank	username	minecraft:mined/minecraft:stripped_dark_oak_log
1	EveryonesUncle	5214
2	Manaateee	2804
3	500am	2663
4	pintsizedrogue	2568
5	Mattesco	1570
6	ImpavidArcher	1450
7	H0UNDFRMH3LL	1419
7	Mahoose	1419
9	Nicserso	1347
10	TheSecondLord	1265
11	YungMaki	919
12	TheShyPig	860
13	beeperbeeper5	803
14	KarlKaek	555
15	Mr_Byzantine	540
16	kekhon	537
17	Steelynan	527
18	Zythose	474
19	Rebytre	473
20	luseis	425
21	burbankbuilder28	422
22	EcksD	402
23	PlasticOtari	391
24	xzvu	386
25	PortlyPete69	353
25	Skippeh	353
27	Frozil20	350
27	Jakobo1337	350
29	Merv__	346
30	El_Jalapeno	322
31	Werbe	294
32	ConnorDanky_	283
33	Blackberry1310	279
34	Arceus1975	252
35	Kowcio_	235
36	Soplight	225
37	censorsheep	212
38	HolyVenom	211
39	SvenskaHugo	208
40	M_Patata	206
41	EMC_	199
42	MasterNueve	198
43	UCP_TheKingK	195
44	Chromary	170
45	LazySupport00	159
46	shrimp_flips	150
47	CalebDHawk	143
48	IamCL4SSY	140
49	seramalen	137
50	weabis	129
51	titanlax	126
52	Ravenbie	123
53	Ozixar	120
53	xolstoi	120
55	SquadMonster	119
56	Dakar_	115
57	Kakolbus	114
58	iSammael	106
59	BlancoFlaco	104
60	noam464	103
61	ExtraDumb	100
61	ZigzagLily43042	100
63	thescout7	97
64	xxPipperDipperxx	93
65	NieToksikpl	91
65	bearlystraight	91
67	rarrq	87
67	Enderxz3	87
69	Snowflowe	86
70	Kubeusz2010	85
71	Smashic	84
71	NameGenerat0r	84
73	Marbz_	83
74	m_be9	82
75	hanaryheatwave	81
75	Deathkob	81
77	madderfall	79
78	Cryptacity	78
79	Awyrlas	77
80	Winklepicker279	76
80	Elastiq	76
82	Ezekson	71
83	_Huge_Male_	70
84	anbbang	69
85	Pofen	67
85	MrExplorer	67
87	MilleGrug	66
88	thebaddruid	65
89	Eraxa	64
90	fkGrim	57
91	Spacewardharpy7	55
92	Bandito_Roamer	53
93	set67	51
93	_Cloverbelle_	51
95	MyNameIsJobo	48
96	hollowww	47
97	theofiel	46
98	FreakGenius	45
99	k_ce	44
100	prizm_	41
100	Meatlaugh	41
100	SpacesickPrism	41
103	DarkS0L	40
104	jnp_gaming	39
105	lillips	38
106	ROY4LE	37
106	TechnoNinja64	37
106	AdmiralSmoke	37
109	ReflexCode	34
110	fluddd	32
111	livingdaydreams	31
111	Barlycorn	31
113	lordpipe	29
114	dudcreeper	28
114	Cowison	28
114	Ryan_GEMS	28
117	PazinGaming	26
117	SuperPooch06	26
117	Hiryu27	26
120	Historical_Sand	25
120	Notta	25
120	TheDankPlatypus	25
123	DinoDoctor_	24
124	eitanzaki	23
124	brofrickcheaters	23
124	Quotary	23
127	dongli	22
127	ChosenBruh	22
127	Di_infiri	22
130	emrekn	21
130	Krowuss	21
132	joethahobo	20
132	smogfrog	20
134	Huwulling	18
134	jessewegottacook	18
134	Euclidoris	18
134	eiC_	18
134	SaintJosie	18
134	SingedBread	18
140	GingerNeutron	17
141	TinMaster	16
141	corvidpartyfor6	16
141	Leithz6	16
144	SexcMf	15
144	Deguns123	15
146	Felenov	14
146	_Mythic____	14
146	Biites	14
149	RatatJuice	13
149	nocturne78	13
149	yheece	13
149	Akoot_	13
149	_Bguette_	13
149	tsitrawhy	13
155	Luminad3	12
155	NomadicRobin_	12
157	Fullut	11
157	Racengan	11
157	Druid95	11
160	teslawolf38	10
160	RebelAndroid	10
160	cheerytomato	10
160	AngalexikCZ	10
160	Nach0Bear	10
160	gcaisawesome	10
160	Nycteus_	10
167	Hpdinosaur	9
167	ShedJr_	9
167	Lez_	9
167	lorpus	9
167	Lord_Jord	9
167	HellsSponge	9
173	SmashingPump	8
173	SaucyDark	8
173	CoffeeNoir	8
173	Stiar	8
173	0Vyp_	8
173	thgrocks	8
173	sp00ky_ghost977	8
173	pixelviolin	8
173	starbits140	8
173	obzii	8
173	annoyingenderman	8
184	diamondgolem35	7
184	r123moore	7
184	KingEgg1	7
184	Hail_the_wombat	7
184	Maenara	7
184	MakeHistory157	7
184	Zetsey	7
184	Spenduh	7
184	SammiWolfGirl	7
184	Hermanni__	7
184	Legendosh	7
184	2blox_	7
196	Cartoonmaniac	6
196	Inchef	6
196	2Stout	6
196	Russiancat1	6
200	Queen_Jalapeno	5
200	dartwaffle	5
200	tompup	5
203	_Razaria	4
203	SteveCraftBlocks	4
203	Touched_Bread	4
203	Ch4osDoom64	4
203	0nly_sn1per	4
203	Norrhede	4
203	AnnieBathory	4
203	JETrotter	4
203	RobotMinion101	4
203	GooseWithin	4
203	LeonelSalamanca	4
203	XxCookiequeenxX	4
203	Blu3beast	4
203	Blaiku	4
203	lcvezra	4
203	snizv1	4
203	Sheldor097	4
203	_3Stump_	4
203	MusicMe1005	4
222	Groovy_MoonBird	3
222	q_wq	3
222	6king6colt6	3
222	tsohomie	3
222	dopplexd	3
222	SDMNAEK	3
222	Nicky_H225	3
222	CaptainSteve345	3
222	ImDisconnected_	3
222	CollinMH06	3
222	oscminus	3
222	The11thDoctor	3
222	Kouridragon	3
222	KeruNatsema	3
222	groofles	3
222	stuy9	3
222	audiocracked	3
222	claivin	3
222	MightyWertu	3
222	Yahir091	3
222	Lord_Doob	3
222	IAmTheWalrus910	3
222	07shiny	3
222	Jij0	3
222	LeeMcGee30	3
222	ZoomieZoomie	3
222	cichy096	3
222	The_SlideV5	3
250	Napoleonpancake	2
250	Incinere	2
250	Ryker	2
250	T045RTY	2
250	Alteriity	2
250	Myszoaz	2
250	FirsTimeGamingTV	2
250	Cortexia	2
250	MonkeySaint	2
250	paranoid_plant	2
250	NotMeanttoChange	2
250	eviltunix	2
250	benediktine1	2
250	LAVA129	2
250	HyperCave	2
250	PigDab	2
250	ADEXTV	2
250	yulgur1	2
250	Lord_Zacler	2
250	Lutres_	2
250	jake314810	2
250	The_slideV3	2
250	Lekol	2
250	Avocadogerms	2
250	Groundler	2
250	OffWithTheirHead	2
250	TheTommyGun63	2
250	_Ruzeeq_	2
250	Optiprimus	2
250	PabloGonza02	2
250	kyouma777	2
250	Shin69	2
250	Segotep999	2
250	LeEricc	2
250	jcool7	2
250	TheOnlyRake	2
250	CattSoup	2
250	Kateesaur	2
250	h2p_emrld	2
289	Diamondpanda4	1
289	JohnnyFyes	1
289	xyct	1
289	Lotheburgh	1
289	LittleBug562	1
289	ECstardust	1
289	hm947	1
289	maliraspberry	1
289	NatrixxddxYT	1
289	SidorAlex	1
289	MoistMicrowave	1
289	actuallysadie	1
