rank	username	minecraft:mined/minecraft:torch
1	Zythose	14923
2	joethahobo	8647
3	Enderslayerxz3	8013
4	HellsSponge	7604
5	Mahoose	6802
6	pintsizedrogue	6756
7	Smoke____	6122
8	beeperbeeper5	5408
9	TheShyPig	4755
10	Ezekson	4356
11	picardred	4015
12	Legendosh	3821
13	Arceus1975	3812
14	EveryonesUncle	3797
15	himak1	3791
16	YungMaki	3535
17	Freak_Genius	3519
18	El_Jalapeno	3338
19	lordpipe	3326
20	m_be9	3276
21	PlasticOtari	3260
22	Di_infiri	3175
23	Spacewardharpy7	3042
24	Bumpy419	3017
25	Lord_Jord	2821
26	gcaisawesome	2669
27	Snowflowe	2651
28	kekhon	2497
29	Xclax101	2452
30	Skylord_Luke	2390
31	Drawgirll	2200
32	Onennon	2169
33	500am	2014
34	EMC_	2013
35	BumbleBeever	2000
36	Xalithia	1925
37	Miko_Fullbuster	1886
38	Merv__	1864
39	Werbe	1824
40	Maenara	1819
41	thescout7	1780
42	MilleGrug	1762
43	Blackberry1310	1650
44	eitanzaki	1626
45	Historical_Sand	1602
46	Steelynan	1561
47	RoskobiOne	1549
48	MyNameIsJobo	1509
49	PhantomsGhost_	1496
50	obzii	1489
51	Hermanni__	1480
52	Kakolbus	1463
53	TechnoNinja64	1385
54	Rumpletaezer	1377
55	burbankbuilder28	1324
56	CoffeeNoir	1315
57	Blaiku	1279
58	Notta	1261
59	h2p_emrld	1212
60	Franco093	1210
61	ImpavidArcher	1199
62	CalebDHawk	1194
63	Inbefour	1180
64	KarlKaek	1071
65	MightyWertu	1067
66	awesomeoneme	1057
67	TheSecondLord	1036
68	Eraxa	1028
69	Hyp3rion_	1021
70	Inchef	1004
71	DanTheBuilderino	993
72	AuroraValkyrie	984
73	PigDab	982
74	EcksDofficial	971
75	Shogunite	962
76	noam464	958
77	Frozil12	947
78	Soplight	931
79	ApophisNova	912
79	MyNamaSheff	912
81	titanlax	901
82	Awyrlas	898
83	Jovaphobic	891
83	Quotary	891
85	thewindmillman	887
86	jnp_gaming	884
87	Groundler	871
88	Euclidoris	862
89	Akoot_	861
90	ProfessorBee	852
91	SammiWolfGirl	848
92	Powowowow	845
93	Ssor69	807
94	_Dean_123	793
95	mwrty	783
96	TheEnderman548	754
97	Wooptey	748
98	Sral7	728
99	Menthas	716
100	Skippeh	715
101	rarrq	713
102	Fullut	702
103	Jiminie	698
104	jacxhadow	688
104	EcksD	688
106	Marbz_	676
107	RebelAndroid	673
108	Barlycorn	672
109	oxfordschool	670
110	cedric72	669
111	teslawolf38	666
112	Njensen7	631
113	Dogcorn69420	629
114	xxPipperDipperxx	624
115	q_wq	616
116	The11thDoctor	609
117	NoChumpChange	601
118	Sky_light_KING	600
119	Mr_Byzantine	587
120	Groovy_MoonBird	583
121	_Karmaa	570
122	6king6colt6	568
123	RodSerlingCringe	563
124	Lutres_Torane	562
125	Winklepicker279	555
126	Jackattack53	547
127	MakeHistory157	545
128	NameGenerat0r	535
129	Zaridey	533
130	Dusk_95	532
131	Megarboh	520
132	Blu3beast	513
133	Malorn_Aetherius	510
134	Comma__	496
135	eiC_	493
136	CompAir	490
137	Hoid_the_Roamer	489
138	Kubeusz2010	486
139	Houstonion	476
140	2Stout	472
141	Dedalus36	467
142	T045RTY	461
143	eviltunix	453
144	bloodbiter	450
145	Kowcio_	440
146	jiggywraps	437
147	kinas45y5	433
148	diamondgolem35	422
149	fluddd	420
150	sp00ky_ghost977	419
151	Chromary	417
152	Stynxy	413
153	censorsheep	407
154	set67	399
155	Dragonfest	398
155	ooga47	398
157	wezzzi	397
158	Airem_Core	396
159	GLLogan2	393
160	claivin	387
161	Iagoku	384
162	Cowison	383
163	KingMatthew506	376
164	MeetTheWollo	375
165	OfficerAnvil	373
166	Hisiste	370
167	MrExplorer	369
168	M_Patata	363
169	Racengan	362
170	TheDankPlatypus	361
171	BobDeBouwer1337	359
172	r123moore	358
173	Prodiginus	355
174	Hiryu27	354
175	Mattesco	351
176	07shiny	349
177	SaucyDark	348
178	__tomato	346
179	crying_wolf_13	342
179	Darkgon	342
181	ShedJr_	341
181	pixelviolin	341
183	emrekn	339
184	XxCookiequeenxX	338
185	anbbang	334
186	12Magner05	328
187	Nicky_H225	326
187	MysticalKitty139	326
189	NomadicRobin_	324
189	lillips	324
189	lcvezra	324
192	MyNameIsDakar	323
193	PlzNoBM	321
194	JESS_THE_RERE	317
194	RadarHz	317
196	Dnulgreb	314
197	cichy096	309
198	TheThomas69	307
199	heckface	306
200	Ryker	304
201	Hyugo	303
202	Rebytre	300
203	MasterNueve	297
204	ImDisconnected_	294
205	LexMakesHistory	293
205	Spenduh	293
207	CaymusKid	291
208	fffMike	290
209	stellarjay	289
210	XboxPanda	287
210	whoaluv	287
210	SkateboardR6	287
213	_TCARREIRA_	286
213	JayToe	286
215	KingFaenor	283
216	H72l9w	280
217	epiksk8erduck	277
217	Warlord324	277
219	IVapeCloudz	272
219	ayamefag	272
221	Jimi7hits	270
222	_Nuf	262
222	chipklip	262
224	NotMeowMix	261
225	livingdaydreams	258
226	yulgur1	256
226	SingedBread	256
228	hcb238	255
228	SuperPooch06	255
228	layabout100	255
231	CollinMH06	253
232	Nycteus_	251
232	Strangemonkey71	251
234	Typadopoulos	250
235	Meatlaugh	249
235	Optiprimus	249
237	_stets	248
237	_8man	248
239	loveseeker	246
240	FishyBoy3811	245
241	PortlyPete69	244
242	ExtraDumb	242
243	Deathkob	239
244	starbits140	238
245	Kouridragon	237
245	fkGrim	237
247	SpaceGrenadier	235
248	AuroraSkies	234
249	CrateOfBoxes	232
250	_Bguette_	229
250	smogfrog	229
252	Da_Boss_Rani	225
252	The_slideV3	225
252	IAmTheWalrus910	225
255	Fildyr	224
255	jaimshae	224
257	SSytex_X	222
258	AlphaWolfPlaysMC	219
259	xXTheWolfmanXx	218
259	Smiguli_	218
259	Kyrum2169	218
262	ROY4LE	216
263	Mewar	214
264	DTwenty	213
265	BlankityMcBlank	211
266	Karetoko	208
266	laron58	208
268	MixerDixer	206
268	theonlymagikarp	206
268	Vorlice	206
271	Eczbek	205
272	CruncyIsTaken	204
273	djancak	202
274	_Virify_	201
274	Jackster03	201
274	stahouo	201
277	Kferno	198
278	MattieHD	195
278	wiqor	195
280	DarlaMeow	194
280	Wolverine4302	194
282	Swexti	193
283	DarkS0L	191
284	Incinere	189
285	Deerfoot	185
286	xPixelRainx	184
286	RedcatVII	184
288	UncreativeArtist	180
288	Covalents	180
290	Bandito_Roamer	177
290	ElectricDragon81	177
292	RatatJuice	176
293	Zoeyfortnite	175
294	I_Am_Mushkin	174
294	Katsuragi0243218	174
294	zmpeg	174
297	Ecplosive	169
297	gabriels543	169
297	fred870d	169
300	MangoTheFish	168
