rank	username	minecraft:mined/minecraft:tuff
1	thewindmillman	22792
2	pintsizedrogue	17392
3	gcaisawesome	8687
4	Marbz_	8291
5	500am	7452
6	Miko_Fullbuster	5874
7	Hyp3rion_	4584
8	beeperbeeper5	4030
9	Segotep999	3542
10	MinttyFressh	3415
11	Mattesco	2985
12	fade_emerge78823	2518
13	Smashic	2339
14	Njensen7	2231
15	SvenskaHugo	2228
16	Smoke____	2227
17	RoskobiOne	2016
18	Jimi7hits	1969
19	Fuad_R	1940
20	RebelAndroid	1889
21	PlasticOtari	1540
22	Ryker	1538
23	Enderslayerxz3	1467
24	xPixelRainx	1357
25	Steelynan	1352
26	Legendosh	1342
27	Skylord_Luke	1296
28	ToastedGamingYT	1289
29	Mahoose	1238
30	TheSecondLord	1175
31	Jiminie	1166
32	AltnumberF4	1137
33	TheALV	1125
34	SingedBread	1032
35	Megarboh	960
36	Hermanni__	932
37	kyouma777	905
38	TheOuterCore	885
39	joethahobo	838
40	BungalowBeet	788
41	Da_Boss_Rani	767
42	EveryonesUncle	760
43	Alteriity	749
44	EMC_	742
45	fw3xywashere	710
46	The_Fulgurator	706
47	PigDab	700
48	prizm_	666
49	YungMaki	635
50	AuroraSkies	632
51	fluddd	621
52	ccwildfire1	568
53	tuckerdoodle	564
54	ATurtle4936	527
55	_stets	511
56	12Magner05	503
57	AlexxO_o	493
58	MSK__	486
59	MAns_44	460
60	Weepingbiel	444
61	LeauVox4921	442
62	Ezekson	427
63	SvenskaAlvar	421
64	Masssonnn	413
65	Winklepicker279	401
65	Rebytre	401
67	Jackattack53	383
68	pixelviolin	373
69	MilleGrug	371
70	nut_e	366
71	Lutres_Torane	356
72	ItsDeltaMC	354
73	BronkerBrum	353
74	mobunni	339
75	Lord_Doob	329
76	Aryamanee	328
77	EcksD	325
78	Huwulling	318
79	Vegvisir	292
80	JitteryJared2	275
81	00000000-0000-0000-0009-01f898304150	272
82	TAKrules	270
82	Kubelz	270
84	hm947	264
85	Drlzyy	244
85	Soplight	244
87	EtherealSilveon	236
88	obtusely	232
89	Flores991	228
90	dimondking777	207
91	Skippeh	202
92	Kakolbus	195
93	SquadMonster	190
94	RoBe__	187
95	ApophisNova	184
95	MyNamaSheff	184
97	Crowman1	175
98	T045RTY	167
98	Deathkob	167
98	Kekoo	167
101	lordpipe	159
102	TerraVl	153
102	ConJaBz	153
104	Freak_Genius	151
104	coobert42	151
104	00000000-0000-0000-0009-01ff0c3e5e4f	151
107	HoltGrim	148
108	crying_wolf_13	147
109	Lord_Zacler	144
110	Steven1282598	142
111	dartwaffle	141
112	TJawesome09	129
113	Inchef	127
114	iHuntWeeaboos	125
115	Chickenchaser2	122
116	Dan_Scha	119
117	breadbowlgamer	118
117	GlitchyPlate810	118
119	wwwwinnebagoooo	116
119	Hylo482y	116
121	Jeteight	112
121	EricAurum	112
123	_Boipl_	111
124	ImpavidArcher	109
124	HolyVenom	109
124	UCP_TheKingK	109
127	Khelvoryk	98
127	Kowcio_	98
129	_NieToksikpl_	97
130	Hail_the_wombat	94
130	IdeallyGrey	94
132	FlirtingWithBoys	92
133	eitanzaki	91
133	Yahir091	91
135	shrimp_flips	90
136	Sepulcro	87
137	MyNameIsDakar	84
138	Xi_J1nping	80
139	rarrq	79
140	jcool7	78
141	bananamix994	76
142	diamondgolem35	75
142	lizardfightclub	75
144	noam464	73
145	alderban107	71
146	TheEnderman548	68
147	underscore_2	67
147	starbits140	67
149	PhantomBionic	65
150	Valoth	63
151	CyrusIsTired	62
152	SuperPooch06	60
153	_Karmaa	58
154	TheDankPlatypus	57
154	verynothing	57
156	Spenduh	56
157	Toriankel	55
158	KGTV	54
159	RadarHz	52
160	Lord_Jord	50
161	yulgur1	49
162	sp00ky_ghost977	45
163	Ev0luti0nz	44
163	BiggieDawg	44
165	JuuustYeet	43
165	WeebleSock	43
165	2blox	43
168	hcb238	42
168	KingEgg1	42
170	DarkS0L	41
170	tsitrawhy	41
172	Covalents	40
172	Touched_Bread	40
172	noful	40
175	ChampPog_	39
175	KeruNatsema	39
175	WYFYoyo	39
178	Racengan	38
179	Myszoaz	35
179	groofles	35
179	SpicyDuckMan	35
182	ShedJr_	33
183	Gryglu583	32
184	Veillax135	28
184	HellsSponge	28
186	Th6masss	27
186	fffMike	27
188	LitoDelvito	26
189	Enigma0251	25
189	Xalithia	25
191	mrnosetackle	23
191	Bonzaidalek	23
191	EtherealEspresso	23
191	Eczbek	23
195	Prismyst	22
195	Vicemaniac	22
197	Kamflame10	19
197	egglapras	19
199	CoffeeNoir	18
200	NomadicRobin_	17
200	Sheldor097	17
202	ROY4LE	16
202	floodjon	16
202	Toasty_Tom	16
202	Spacewardharpy7	16
206	strongman951753	14
206	rachcl	14
206	MrQuanQuan	14
206	3ce60713-c405-4bff-83bf-c5c7ae3ee0fe	14
210	Sleepy_Time_	13
210	Rexorout	13
212	The_lost_his_tea	12
212	XboxPanda	12
212	XLIFluid	12
215	chrolus	10
215	Lumien_	10
215	Solar_Power	10
215	Leonidas2k17	10
219	dimitri0s	9
219	StinkyDiplomat	9
219	Ze_BaronKrigler	9
222	CollinMH06	8
223	DolphinLaugh	7
224	ZaneABrain	6
224	athereall	6
226	Merv__	5
226	q_wq	5
226	Jonte0599	5
226	_Dri_	5
226	Umbreon900	5
231	Base_Tempest	4
231	Harobrime	4
231	BINKENSTOCK	4
231	smarticuno	4
231	TheWildMateo	4
231	SpaggeDR	4
237	Rocco_Lane	3
237	HyperCave	3
237	Joestra	3
237	Human_Resource	3
241	nataliecool	2
241	KarlKaek	2
241	neurotic_a	2
241	Glowhetic	2
241	MinuteMira	2
246	_Razar	1
246	Auseawesome	1
246	SteveCraftBlocks	1
246	Awyrlas	1
246	CharlieButt	1
246	cwartzo	1
246	wilgot_	1
246	Klerick	1
246	Frozil12	1
246	technic_squirrel	1
246	Quotary	1
