rank	username	minecraft:mined/minecraft:wall_torch
1	Mahoose	2863
2	pintsizedrogue	2347
3	HellsSponge	2132
4	m_be9	1950
5	gcaisawesome	1760
6	burbankbuilder28	1759
7	TheShyPig	1680
8	Onennon	1478
9	500am	1414
10	kekhon	1413
11	beeperbeeper5	1398
12	himak1	1375
13	Werbe	1331
14	El_Jalapeno	1298
15	Enderxz3	1260
16	Euclidoris	1246
17	Smoke____	1235
18	Ezekson	1230
19	Legendosh	1193
20	lordpipe	1169
21	FreakGenius	1157
22	joethahobo	1124
23	Inbefour	1033
24	Hermanni__	982
25	Rumpletaezer	964
26	PlasticOtari	930
27	Xclax101	911
28	Lord_Jord	908
29	Bumpy419	891
30	Kowcio_	873
31	wwwwinnebagoooo	872
32	ThiccExotic	863
33	Arceus1975	862
33	Akoot_	862
35	Maenara	855
36	Ssor69	745
37	Esme_1	736
38	Snowflowe	727
39	Di_infiri	718
40	KarlKaek	713
41	Blackberry1310	704
41	Xalithia	704
41	Skylord_Luke	704
44	Spacewardharpy7	700
45	Skippeh	692
46	Comma__	688
47	Franco093	665
48	NatalieTW	661
49	YungMaki	657
49	TechnoNinja64	657
51	censorsheep	614
52	q_wq	613
53	CalebDHawk	604
54	Fullut	582
55	BumbleBeever	579
56	6king6colt6	575
57	thescout7	562
58	luseis	552
59	Zaridey	533
60	ImpavidArcher	525
61	Inchef	524
62	Eraxa	516
63	TheSecondLord	511
64	T045RTY	508
65	CoffeeNoir	506
66	Kubeusz2010	498
67	teslawolf38	497
68	Merv__	481
69	Mr_Byzantine	470
70	TheDankPlatypus	469
71	eitanzaki	466
72	RatatJuice	452
73	Iamthejo	451
74	PazinGaming	450
75	Steelynan	449
76	Malorn_Aetherius	447
77	bloodbiter	441
78	_Dean_123	427
79	Zythose	425
80	Njensen7	412
81	Soplight	407
82	EMC_	405
83	_Karmaa	392
84	SaintJosie	388
85	bladeefan2009	386
86	Dragonfest	385
86	sp00ky_ghost977	385
88	RebelAndroid	379
89	RoskobiOne	374
90	DarkS0L	366
91	PhantomsGhost_	364
92	Rebytre	360
93	DanTheBuilderino	355
94	Groundler	352
95	Awyrlas	347
95	JayToe	347
97	F_Uhre	343
97	MightyWertu	343
99	SpaceGrenadier	325
99	Barlycorn	325
101	OfficerAnvil	321
102	Jackattack53	314
102	Jimi7hits	314
102	_TCARREIRA_	314
105	Jovaphobic	309
106	Hisiste	300
107	jacxhadow	297
108	rarrq	295
109	Historical_Sand	293
110	2Stout	292
111	thewindmillman	291
112	Frozil20	290
113	picardred	289
113	MyNameIsDakar	289
113	07shiny	289
116	Wooptey	288
116	MyNameIsJobo	288
118	Kakolbus	287
119	jewbacaman	286
120	H72l9w	285
121	Hyugo	283
122	ProfessorBee	280
123	legal_tax_evader	278
124	Lez_	275
124	AlphaWolfPlaysMC	275
126	eviltunix	273
126	SammiWolfGirl	273
128	RadarHz	270
129	Groovy_MoonBird	268
129	fkGrim	268
131	SaucyDark	267
131	jnp_gaming	267
133	Blaiku	266
134	mwrty	263
135	Vetral1	261
135	Shogunite	261
137	Airem_Core	259
138	xolstoi	256
139	ConnorDanky_	254
140	MattieHD	253
141	livingdaydreams	251
142	FirsTimeGamingTV	250
142	Mattesco	250
144	FallenCorps	249
145	ApophisNova	246
145	MyNamaSheff	246
147	ooga47	245
148	claivin	243
149	corvidpartyfor6	240
150	djancak	239
151	Powowowow	237
152	Burge_r	236
153	SingedBread	235
154	Cowison	234
154	wezzzi	234
156	selectrix	233
157	xxPipperDipperxx	229
157	cedric72	229
159	Lutres_Torane	227
160	set67	226
160	Covalents	226
162	LeauVox4921	225
162	Winklepicker279	225
162	fluddd	225
165	Megarboh	224
165	Hyp3rion_	224
167	fade_emerge78823	221
168	malgosia14	219
169	PigDab	218
