rank	username	minecraft:mined/minecraft:white_carpet
1	HellsSponge	4351
2	Di_infiri	3646
3	Lez_	2154
4	joethahobo	1974
5	jnp_gaming	1495
6	eitanzaki	1384
7	beeperbeeper5	1287
8	FreakGenius	1045
9	Kowcio_	1033
10	thescout7	823
11	m_be9	795
12	noam464	779
13	TheShyPig	748
14	Njensen7	540
15	Hermanni__	534
16	kekhon	457
17	Mahoose	350
18	Huwulling	328
19	MightyWertu	319
20	YungMaki	318
21	_Mythic____	296
22	Ezekson	273
23	CattSoup	269
24	Blackberry1310	243
24	Blaiku	243
26	Creativebuilder2	242
27	Manaateee	212
28	Kubeusz2010	207
29	Legendosh	197
30	ProfessorBee	195
31	Swexti	193
32	Lord_Jord	168
33	PlasticOtari	166
34	anbbang	157
35	ApophisNova	154
35	MyNamaSheff	154
37	Groundler	143
38	MaGro2010	137
39	BlankityMcBlank	134
40	Frozil20	132
41	pintsizedrogue	130
42	Crowman1	126
43	Merv__	124
44	bloodbiter	122
44	Smashic	122
44	Hyp3rion_	122
47	AdmiralSmoke	117
48	EcksD	106
49	lillips	103
50	xxPipperDipperxx	102
50	Werbe	102
52	rarrq	101
53	r123moore	98
54	Kakolbus	96
55	Prismyst	95
56	_Bguette_	92
57	titanlax	90
58	500am	78
59	thewindmillman	76
60	cedric72	72
61	Akoot_	70
62	sp00ky_ghost977	69
63	TheDankPlatypus	68
64	luseis	65
65	420BreadLizard	64
66	NameGenerat0r	63
67	diggydog67	62
68	IamCL4SSY	61
68	MovingFish7	61
70	Fildyr	60
71	Kubelz	59
72	Rumpletaezer	58
73	ImpavidArcher	55
73	Touched_Bread	55
73	The11thDoctor	55
76	SmashingPump	54
77	livingdaydreams	53
77	TechnoNinja64	53
79	PigDab	52
79	SingedBread	52
81	Steelynan	51
82	hm947	50
82	Gryglu583	50
82	NoChumpChange	50
85	fr0stss	49
86	CoffeeNoir	48
86	fluddd	48
88	TheSecondLord	47
89	diamondgolem35	46
89	fffMike	46
91	MinttyFressh	45
91	legal_tax_evader	45
91	EveryonesUncle	45
94	lcvezra	44
95	Fullut	43
95	Spacewardharpy7	43
97	Snowflowe	42
97	AstreaTSS	42
97	MustaLoordi	42
97	lordpipe	42
101	Meme25327	41
102	M_Patata	39
102	yheece	39
104	Kyrum2169	38
105	NotMeanttoChange	37
105	Jackattack53	37
105	Dakar_	37
105	MasterNueve	37
109	CLG_Kata	35
109	ROY4LE	35
109	Mattesco	35
112	Reamdin	34
112	Segotep999	34
114	Eczbek	33
115	ougstur	31
115	Eraxa	31
117	impossibleteapot	30
118	RoskobiOne	29
118	Xalithia	29
118	Onennon	29
118	ConnorDanky_	29
122	Tyrannosplart	28
122	xorompole	28
124	killmeiamtraitor	27
124	stavgod	27
124	Soplight	27
124	Enderxz3	27
124	Jimb0nat0r	27
129	whoaluv	25
130	MattieHD	24
130	Warlord324	24
130	AltnumberF4	24
133	dopplexd	22
133	Jakobo1337	22
133	PlasmaElk	22
133	OfficerAnvil	22
133	xolstoi	22
138	SlowMoNinja1994	21
138	El_Jalapeno	21
138	Nycteus_	21
141	Da_Boss_Rani	20
141	_Dean_123	20
141	cichy096	20
144	Inchef	19
145	Harotio	18
145	nocturne78	18
145	ScootOfBoot	18
145	Kim_Jong_eel	18
145	Jimi7hits	18
145	MAns_44	18
151	Cowison	17
151	AuroraValkyrie	17
151	AJplaysMC_	17
151	selectrix	17
151	ayamefag	17
151	jaimshae	17
157	ITDV	16
157	Celeste_121	16
159	j5ylim	15
159	6king6colt6	15
159	RebelAndroid	15
159	Fuhrer_Teemo	15
159	MS_Pryxx	15
159	__tomato	15
159	ediballbearings	15
159	Dogcorn69420	15
167	Groovy_MoonBird	14
167	Myszoaz	14
167	eiC_	14
167	Arceus1975	14
167	LilLizardWizard	14
167	SkateboardR6	14
167	AskewCap	14
174	k_ce	13
174	Bandito_Roamer	13
174	TheFlfthHorseman	13
174	SnowyAvi	13
174	set67	13
174	mwrty	13
174	emrekn	13
174	Lord_Zacler	13
182	ECstardust	12
182	himak1	12
182	Chromary	12
182	_Boipl_	12
182	Skylord_Luke	12
182	mihimihimihi	12
182	MakeHistory157	12
182	Cocoamallows	12
182	tsitrawhy	12
191	Swalt	11
191	SuperPooch06	11
191	AnnieBathory	11
191	zToasty69z	11
191	The_slideV3	11
191	ewpunk	11
191	Druid95	11
191	athereall	11
191	alderban107	11
191	HuangMeiHua	11
201	KingFaenor	10
201	MrKrabOnCoke	10
201	Sleepy_Time_	10
201	slkiey	10
201	excelsionprime	10
201	fade_emerge78823	10
201	oscminus	10
201	TheWildMateo	10
201	Leyna3	10
201	NomadicRobin_	10
201	StinkyDiplomat	10
201	PlzNoBM	10
201	Quotary	10
201	Powowowow	10
215	bur1su	9
215	FjordVPN	9
215	Tiberonus	9
215	Megarboh	9
215	Tmb1	9
215	Masssonnn	9
215	nitram49b	9
215	Krowuss	9
215	Bumpy419	9
215	Rebytre	9
215	wrinkledpiglet	9
215	jewbacaman	9
215	wezzzi	9
215	KermitTheKripple	9
215	claivin	9
215	Blu3beast	9
215	Steve897	9
215	BumbleBeever	9
215	SammiWolfGirl	9
215	SpacesickPrism	9
215	TheALV	9
215	Iamthejo	9
215	vandmanden	9
215	coobert42	9
215	00000000-0000-0000-0009-01ff0c3e5e4f	9
240	Hpdinosaur	8
240	youhjjhhhjj	8
240	Alteriity	8
240	ShedJr_	8
240	Kamflame10	8
240	lorpus	8
240	0nly_sn1per	8
240	pixelviolin	8
248	PhantomsGhost_	7
248	TooManyDuck	7
248	T045RTY	7
248	NinjaKnifeKill	7
248	SpaceGrenadier	7
248	FirsTimeGamingTV	7
248	lunathelemon	7
248	gcaisawesome	7
248	olliebollie48	7
248	nut_e	7
248	ogld	7
248	Trever101	7
248	EfficientC52	7
248	Hisiste	7
248	MustardSquid	7
248	Sral7	7
264	SaltineDream	6
264	Louiis123	6
264	Rx5	6
264	Sleek_Storm_721	6
264	dongli	6
264	jimintyy	6
264	Kkanot	6
264	Marbz_	6
264	SussySmurf	6
264	sxc_	6
264	weabis	6
264	Quaintster	6
264	marumochis	6
264	TheTommyGun63	6
264	carbo_bro	6
264	non089	6
264	jcool7	6
281	I_Am_Mushkin	5
281	SaucyDark	5
281	Scathra	5
281	platinumzero	5
281	XboxPanda	5
281	Donutt	5
281	_Crimson_Legate	5
281	Deathkob	5
281	Soap_Bender	5
281	DanTheBuilderino	5
281	ImagineRamen	5
281	UCP_TheKingK	5
281	Spenduh	5
281	ZoomieZoomie	5
281	Skippeh	5
281	Kiki_Majiki	5
281	skrongus	5
281	Zoeyfortnite	5
299	fanofbands101	4
299	DinoDoctor_	4
